province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,OWNED,1,166837,50.23,36122,10.88,9026
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,RENTED,1,143875,43.32,36122,10.88,21657
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,RENT FREE,1,21433,6.45,36122,10.88,5439
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,OWNED,2,166837,50.23,85263,25.67,30678
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,RENTED,2,143875,43.32,85263,25.67,47249
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,RENT FREE,2,21433,6.45,85263,25.67,7336
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,OWNED,3,166837,50.23,102234,30.78,49466
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,RENTED,3,143875,43.32,102234,30.78,47971
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,RENT FREE,3,21433,6.45,102234,30.78,4797
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,OWNED,4,166837,50.23,49953,15.04,31887
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,RENTED,4,143875,43.32,49953,15.04,16468
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,RENT FREE,4,21433,6.45,49953,15.04,1598
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,OWNED,5,166837,50.23,22026,6.63,16171
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,RENTED,5,143875,43.32,22026,6.63,5067
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,TOTAL,RENT FREE,5,21433,6.45,22026,6.63,788
