province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,NA,NA,NA,YES,BANNU DISTRICT,NA,112545,54701,17728,40116,95920,97936,4410,95419,103677,72962,9.45
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,NA,NA,YES,BANNU TEHSIL,NA,95106,44751,14461,35894,82051,80998,4131,78534,86976,58741,9.16
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU SADDAR QH,NA,YES,BANNU SADDAR QH,NA,23375,18029,1904,3442,20998,21702,3502,19902,22172,20206,9.21
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU SADDAR QH,AMANDI PC,YES,AMANDI PC,NA,1980,1348,247,385,1914,1972,41,1836,1938,1600,9.77
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU SADDAR QH,AMANDI PC,NO,AMANDI,0000066,1194,745,182,267,1161,1189,3,1187,1167,990,9.48
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU SADDAR QH,AMANDI PC,NO,GARHI PIRAN,0000064,190,140,22,28,185,190,1,167,184,144,10.92
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU SADDAR QH,AMANDI PC,NO,NASRAT SHAH KHEL,0000061,112,64,15,33,110,111,1,111,110,8,9.91
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU SADDAR QH,AMANDI PC,NO,SUKARI HASAN KHEL,0000067,484,399,28,57,458,482,36,371,477,458,10
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU SADDAR QH,BAZAR AHMED KHAN PC,YES,BAZAR AHMED KHAN PC,NA,2813,1982,319,512,2413,2799,100,2364,2608,2511,9
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU SADDAR QH,BAZAR AHMED KHAN PC,NO,BAZAR AHMED KHAN,0000140,1411,926,184,301,1354,1408,16,1261,1347,1326,8.67
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU SADDAR QH,BAZAR AHMED KHAN PC,NO,GUL AHMAD SHAH,0000153,146,110,18,18,115,145,0,124,139,140,9.63
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU SADDAR QH,BAZAR AHMED KHAN PC,NO,HASAN KHEL ISAKI,0000142,652,510,62,80,421,651,1,451,554,493,9.1
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU SADDAR QH,BAZAR AHMED KHAN PC,NO,KOTKA SHER ZAD,0000110,223,165,25,33,213,220,80,214,221,205,8.79
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU SADDAR QH,BAZAR AHMED KHAN PC,NO,SHAH JEHAN SHAH,0000156,156,120,15,21,111,153,2,110,144,141,9.63
