province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,NA,NA,NA,YES,BANNU DISTRICT,49948,27628,22319,1,77.63,87.05,65.52,100,5181,4029,0,7935,3196,0,3648,2260,0,48434,1514,37715,28606,2410,11740,26290
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,NA,NA,YES,BANNU TEHSIL,49948,27628,22319,1,77.63,87.05,65.52,100,5181,4029,0,7935,3196,0,3648,2260,0,48434,1514,37715,28606,2410,11740,26290
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU CANTONMENT,NA,YES,BANNU CANTONMENT,8316,5313,3003,0,82.82,90.59,66.82,0,790,577,0,2638,399,0,537,386,0,7531,785,6694,5595,266,3398,5380
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU CANTONMENT,CHARGE NO 01,YES,CHARGE NO 01,8316,5313,3003,0,82.82,90.59,66.82,0,790,577,0,2638,399,0,537,386,0,7531,785,6694,5595,266,3398,5380
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 01,1955,1178,777,0,74.15,80.62,63.22,0,253,145,0,424,81,0,110,130,0,1882,73,1586,1248,62,428,1161
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 02,6361,4135,2226,0,85.51,93.42,68.15,0,537,432,0,2214,318,0,427,256,0,5649,712,5108,4347,204,2970,4219
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU MC,NA,YES,BANNU MC,41632,22315,19316,1,76.51,86.09,65.32,100,4391,3452,0,5297,2797,0,3111,1874,0,40903,729,31021,23011,2144,8342,20910
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU MC,CHARGE NO 07,YES,CHARGE NO 07,41632,22315,19316,1,76.51,86.09,65.32,100,4391,3452,0,5297,2797,0,3111,1874,0,40903,729,31021,23011,2144,8342,20910
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU MC,CHARGE NO 07,NO,CIRCLE NO 01,8894,4895,3999,0,73,85.74,57.31,0,1086,731,0,1275,491,0,548,286,0,8641,253,6544,4849,414,2196,4374
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU MC,CHARGE NO 07,NO,CIRCLE NO 02,7928,4244,3684,0,80.96,90.5,69.8,0,815,700,0,1196,604,0,782,462,0,7919,9,6035,4381,464,1129,3944
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU MC,CHARGE NO 07,NO,CIRCLE NO 03,7587,3827,3760,0,78.53,87.45,69.53,0,745,691,0,961,620,0,608,473,0,7529,58,5635,4223,411,1595,3817
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU MC,CHARGE NO 07,NO,CIRCLE NO 04,5621,2925,2696,0,76.92,85.87,67.18,0,573,510,0,690,440,0,493,293,0,5279,342,4172,3098,308,911,2782
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU MC,CHARGE NO 07,NO,CIRCLE NO 05,6593,3877,2716,0,82.31,89.55,71.34,0,739,491,0,761,372,0,409,226,0,6552,41,5065,3863,316,1396,3650
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU TEHSIL,BANNU MC,CHARGE NO 07,NO,CIRCLE NO 06,5009,2547,2461,1,63.56,71.04,55.99,100,433,329,0,414,270,0,271,134,0,4983,26,3570,2597,231,1115,2343
