province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,UNDER CONSTRUCTION,2550,2.48,KITCHEN,SEPARATE,58015,56.37,1720
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,UNDER CONSTRUCTION,2550,2.48,KITCHEN,SHARED,31166,30.28,649
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,UNDER CONSTRUCTION,2550,2.48,KITCHEN,NONE,13746,13.36,181
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,UNDER CONSTRUCTION,2550,2.48,BATH,SEPARATE,65472,63.61,1798
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,UNDER CONSTRUCTION,2550,2.48,BATH,SHARED,30484,29.62,615
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,UNDER CONSTRUCTION,2550,2.48,BATH,NONE,6971,6.77,137
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,UNDER CONSTRUCTION,2550,2.48,LATRINE,SEWER,16155,15.7,552
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,UNDER CONSTRUCTION,2550,2.48,LATRINE,SEPTIC TANK,23116,22.46,682
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,UNDER CONSTRUCTION,2550,2.48,LATRINE,OPEN DRAIN,7944,7.72,244
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,UNDER CONSTRUCTION,2550,2.48,LATRINE,PIT WITH SLAB,21006,20.41,419
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,UNDER CONSTRUCTION,2550,2.48,LATRINE,OTHER,13690,13.3,255
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,UNDER CONSTRUCTION,2550,2.48,LATRINE,NONE,21016,20.42,398
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,LESS THAN 5 YEARS,9961,9.68,KITCHEN,SEPARATE,58015,56.37,5646
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,LESS THAN 5 YEARS,9961,9.68,KITCHEN,SHARED,31166,30.28,2839
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,LESS THAN 5 YEARS,9961,9.68,KITCHEN,NONE,13746,13.36,1476
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,LESS THAN 5 YEARS,9961,9.68,BATH,SEPARATE,65472,63.61,6402
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,LESS THAN 5 YEARS,9961,9.68,BATH,SHARED,30484,29.62,2822
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,LESS THAN 5 YEARS,9961,9.68,BATH,NONE,6971,6.77,737
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,LESS THAN 5 YEARS,9961,9.68,LATRINE,SEWER,16155,15.7,1869
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,LESS THAN 5 YEARS,9961,9.68,LATRINE,SEPTIC TANK,23116,22.46,2275
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,LESS THAN 5 YEARS,9961,9.68,LATRINE,OPEN DRAIN,7944,7.72,683
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,LESS THAN 5 YEARS,9961,9.68,LATRINE,PIT WITH SLAB,21006,20.41,2565
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,LESS THAN 5 YEARS,9961,9.68,LATRINE,OTHER,13690,13.3,980
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,LESS THAN 5 YEARS,9961,9.68,LATRINE,NONE,21016,20.42,1589
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,KITCHEN,SEPARATE,58015,56.37,15241
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,KITCHEN,SHARED,31166,30.28,8049
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,KITCHEN,NONE,13746,13.36,3231
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,BATH,SEPARATE,65472,63.61,17129
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,BATH,SHARED,30484,29.62,7710
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,BATH,NONE,6971,6.77,1682
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,LATRINE,SEWER,16155,15.7,5027
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,LATRINE,SEPTIC TANK,23116,22.46,5686
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,LATRINE,OPEN DRAIN,7944,7.72,1862
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,LATRINE,PIT WITH SLAB,21006,20.41,5721
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,LATRINE,OTHER,13690,13.3,3833
