province_name,district_code,district_name,area_name,area_type,gender,total_population,literacy_ratio,literacy_status,count
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,ALL SEXES,577909,44.82,ILLITERATE,318901
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,ALL SEXES,577909,44.82,TOTAL LITERATE,259008
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,ALL SEXES,577909,44.82,FORMAL LITERATE,254851
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,ALL SEXES,577909,44.82,INFORMAL LITERATE,4157
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,MALE,286130,67.8,ILLITERATE,92145
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,MALE,286130,67.8,TOTAL LITERATE,193985
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,MALE,286130,67.8,FORMAL LITERATE,192335
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,MALE,286130,67.8,INFORMAL LITERATE,1650
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,FEMALE,291775,22.28,ILLITERATE,226753
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,FEMALE,291775,22.28,TOTAL LITERATE,65022
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,FEMALE,291775,22.28,FORMAL LITERATE,62515
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,FEMALE,291775,22.28,INFORMAL LITERATE,2507
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,TRANSGENDER,4,25,ILLITERATE,3
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,TRANSGENDER,4,25,TOTAL LITERATE,1
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,TRANSGENDER,4,25,FORMAL LITERATE,1
