province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,NA,NA,NA,YES,LAKKI MARWAT DISTRICT,89252,45765,43487,0,65.37,79.4,50.72,0,9811,6468,0,8609,4113,0,4244,2264,0,89219,33,63208,45990,4603,18329,40438
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,NA,NA,YES,LAKKI MARWAT TEHSIL,59273,30735,28538,0,66.84,79.63,53.15,0,6640,4506,0,6336,2997,0,3183,1640,0,59247,26,42826,31283,3326,12917,28243
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,LAKKI MARWAT MC,NA,YES,LAKKI MARWAT MC,59273,30735,28538,0,66.84,79.63,53.15,0,6640,4506,0,6336,2997,0,3183,1640,0,59247,26,42826,31283,3326,12917,28243
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,LAKKI MARWAT MC,CHARGE NO 06,YES,CHARGE NO 06,59273,30735,28538,0,66.84,79.63,53.15,0,6640,4506,0,6336,2997,0,3183,1640,0,59247,26,42826,31283,3326,12917,28243
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,LAKKI MARWAT MC,CHARGE NO 06,NO,CIRCLE NO 01,9446,4871,4575,0,66.15,80.6,51.15,0,1029,653,0,936,554,0,712,369,0,9440,6,6760,5065,558,2258,4626
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,LAKKI MARWAT MC,CHARGE NO 06,NO,CIRCLE NO 02,25594,13376,12218,0,71.24,81.22,60.36,0,2735,2047,0,3031,1407,0,1504,799,0,25574,20,18914,13661,1340,5594,11885
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,LAKKI MARWAT MC,CHARGE NO 06,NO,CIRCLE NO 03,11211,5832,5379,0,67.09,81.25,51.75,0,1396,930,0,1262,585,0,487,270,0,11211,0,8083,6015,715,2138,5734
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,LAKKI MARWAT MC,CHARGE NO 06,NO,CIRCLE NO 04,13022,6656,6366,0,57.93,74.04,41.17,0,1480,876,0,1107,451,0,480,202,0,13022,0,9069,6542,713,2927,5998
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,NA,NA,YES,SARAI NAURANG TEHSIL,29979,15030,14949,0,62.28,78.92,45.82,0,3171,1962,0,2273,1116,0,1061,624,0,29972,7,20382,14707,1277,5412,12195
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,NAURANG TC,NA,YES,NAURANG TC,29979,15030,14949,0,62.28,78.92,45.82,0,3171,1962,0,2273,1116,0,1061,624,0,29972,7,20382,14707,1277,5412,12195
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,NAURANG TC,CHARGE NO 02,YES,CHARGE NO 02,29979,15030,14949,0,62.28,78.92,45.82,0,3171,1962,0,2273,1116,0,1061,624,0,29972,7,20382,14707,1277,5412,12195
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,NAURANG TC,CHARGE NO 02,NO,CIRCLE NO 01,20575,10377,10198,0,63.2,80.09,46.24,0,2200,1285,0,1565,755,0,747,458,0,20569,6,13840,10110,895,3776,8400
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,NAURANG TC,CHARGE NO 02,NO,CIRCLE NO 02,9404,4653,4751,0,60.33,76.38,44.96,0,971,677,0,708,361,0,314,166,0,9403,1,6542,4597,382,1636,3795
