province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,1 PERSON,1,1251,1.28,1.94,15424,15.82,5.11,723
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,2 PERSONS,1,3955,4.06,1.85,15424,15.82,5.11,2053
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,3 PERSONS,1,4685,4.8,2.01,15424,15.82,5.11,1994
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,4 PERSONS,1,6633,6.8,2.18,15424,15.82,5.11,2286
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,5 PERSONS,1,8582,8.8,2.4,15424,15.82,5.11,2252
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,6 PERSONS,1,10105,10.36,2.59,15424,15.82,5.11,1961
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,7 PERSONS,1,10788,11.06,2.8,15424,15.82,5.11,1546
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,8 PERSONS,1,10314,10.58,3.02,15424,15.82,5.11,1095
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,9 PERSONS,1,8785,9.01,3.28,15424,15.82,5.11,633
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,32429,33.25,4.49,15424,15.82,5.11,881
