province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_00_04,age_below_1,age_01,age_02,age_03,age_04,group_05_09,age_05,age_06,age_07,age_08,age_09,group_10_14,age_10,age_11,age_12,age_13,age_14,group_15_19,age_15,age_16,age_17,age_18,age_19,group_20_24,age_20,age_21,age_22,age_23,age_24,group_25_29,age_25,age_26,age_27,age_28,age_29,group_30_34,age_30,age_31,age_32,age_33,age_34,group_35_39,age_35,age_36,age_37,age_38,age_39,group_40_44,age_40,age_41,age_42,age_43,age_44,group_45_49,age_45,age_46,age_47,age_48,age_49,group_50_54,age_50,age_51,age_52,age_53,age_54,group_55_59,age_55,age_56,age_57,age_58,age_59,group_60_64,age_60,age_61,age_62,age_63,age_64,group_65_69,age_65,age_66,age_67,age_68,age_69,group_70_74,age_70,age_71,age_72,age_73,age_74,group_75_and_up
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,1625088,258104,45656,47746,52567,56145,55990,263741,54964,50630,56161,51523,50463,200676,44960,42225,39090,38016,36385,163339,35054,33398,33504,30533,30850,135649,28856,28722,25515,26971,25585,129150,26083,26373,27319,23969,25406,100011,21566,22530,20332,18344,17239,79333,16221,16480,16628,14803,15201,64629,13594,13923,13037,12067,12008,58082,10608,11542,11957,12034,11941,50841,10515,11217,10477,9511,9121,36458,7756,7865,7414,6696,6727,32127,6284,7016,6976,6108,5743,22519,4616,5074,5264,3967,3598,14506,3077,3584,3354,2491,2000,15923
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,MALE,837685,132546,23606,24483,26811,28667,28979,138391,28426,26393,29488,27153,26931,106383,23721,22634,20302,20245,19481,85795,18395,17453,17257,16115,16575,68071,14571,14777,12781,13415,12527,62348,12599,12693,12999,11761,12296,49638,10627,10969,9901,9469,8672,40721,8420,8591,8240,7704,7766,31933,6531,6793,6225,6227,6157,29377,5189,5865,5979,6252,6092,27306,5484,5885,5526,5274,5137,19749,4212,4381,3928,3635,3593,17042,3274,3729,3635,3232,3172,12555,2495,2860,2920,2245,2035,7896,1730,1970,1796,1345,1055,7934
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,FEMALE,787301,125558,22050,23263,25756,27478,27011,125350,26538,24237,26673,24370,23532,94293,21239,19591,18788,17771,16904,77536,16658,15942,16245,14417,14274,67555,14280,13943,12728,13555,13049,66787,13479,13677,14319,12205,13107,50364,10938,11557,10429,8873,8567,38602,7798,7888,8385,7098,7433,32686,7060,7129,6809,5837,5851,28698,5419,5676,5977,5781,5845,23530,5027,5332,4951,4236,3984,16702,3541,3483,3486,3059,3133,15084,3010,3287,3341,2876,2570,9962,2120,2214,2344,1721,1563,6607,1346,1614,1556,1146,945,7987
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,TRANSGENDER,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,2,1,1,23,5,2,6,1,9,15,5,3,1,3,3,9,1,4,2,2,0,10,3,1,3,1,2,10,3,1,3,3,0,7,0,1,1,1,4,5,4,0,0,1,0,7,3,1,0,2,1,1,0,0,0,0,1,2,1,0,0,1,0,3,1,0,2,0,0,2
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,RURAL,ALL SEXES,1264870,210186,36316,38712,43068,45891,46199,216065,45113,41542,46087,42416,40907,159759,36730,33340,31391,29797,28501,125642,27384,25798,25494,23717,23249,101943,22425,21373,19146,19927,19072,98258,20265,19917,20804,17966,19306,74445,16364,16929,15113,13468,12571,59060,12210,12241,12737,10675,11197,48112,10078,10368,9791,8886,8989,43470,7877,8593,9197,8896,8907,37524,7850,8279,7818,6924,6653,26565,5685,5666,5478,4818,4918,23752,4684,5242,5203,4352,4271,17066,3409,3825,4111,2980,2741,10940,2352,2742,2554,1792,1500,12083
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,RURAL,MALE,649892,107637,18653,19760,21895,23425,23904,113307,23332,21621,24226,22236,21892,84530,19392,17853,16235,15904,15146,65784,14306,13408,13081,12493,12496,50829,11187,10974,9521,9850,9297,47183,9700,9517,9841,8818,9307,36669,7973,8189,7316,6890,6301,30187,6343,6338,6325,5481,5700,23350,4706,4954,4532,4595,4563,21828,3835,4297,4569,4610,4517,20204,4113,4297,4117,3898,3779,14265,3081,3172,2818,2587,2607,12606,2438,2801,2702,2304,2361,9478,1817,2162,2282,1682,1535,5988,1320,1519,1386,971,792,6047
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,RURAL,FEMALE,614919,102549,17663,18952,21173,22466,22295,102758,21781,19921,21861,20180,19015,75229,17338,15487,15156,13893,13355,59853,13077,12388,12411,11224,10753,51103,11234,10398,9621,10076,9774,51069,10562,10399,10963,9147,9998,37772,8391,8738,7796,6577,6270,28865,5864,5903,6409,5193,5496,24754,5369,5413,5256,4290,4426,21638,4042,4295,4628,4285,4388,17317,3734,3982,3701,3026,2874,12297,2602,2493,2660,2231,2311,11145,2246,2441,2501,2048,1909,7586,1591,1663,1829,1297,1206,4950,1031,1223,1167,821,708,6034
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,RURAL,TRANSGENDER,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,2,0,0,11,4,1,4,1,1,6,3,1,0,1,1,4,0,2,1,1,0,8,3,0,3,1,1,8,3,1,3,1,0,4,0,1,0,1,2,3,3,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,1,2,1,0,0,1,0,2,1,0,1,0,0,2
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,URBAN,ALL SEXES,360218,47918,9340,9034,9499,10254,9791,47676,9851,9088,10074,9107,9556,40917,8230,8885,7699,8219,7884,37697,7670,7600,8010,6816,7601,33706,6431,7349,6369,7044,6513,30892,5818,6456,6515,6003,6100,25566,5202,5601,5219,4876,4668,20273,4011,4239,3891,4128,4004,16517,3516,3555,3246,3181,3019,14612,2731,2949,2760,3138,3034,13317,2665,2938,2659,2587,2468,9893,2071,2199,1936,1878,1809,8375,1600,1774,1773,1756,1472,5453,1207,1249,1153,987,857,3566,725,842,800,699,500,3840
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,URBAN,MALE,187793,24909,4953,4723,4916,5242,5075,25084,5094,4772,5262,4917,5039,21853,4329,4781,4067,4341,4335,20011,4089,4045,4176,3622,4079,17242,3384,3803,3260,3565,3230,15165,2899,3176,3158,2943,2989,12969,2654,2780,2585,2579,2371,10534,2077,2253,1915,2223,2066,8583,1825,1839,1693,1632,1594,7549,1354,1568,1410,1642,1575,7102,1371,1588,1409,1376,1358,5484,1131,1209,1110,1048,986,4436,836,928,933,928,811,3077,678,698,638,563,500,1908,410,451,410,374,263,1887
