province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,NA,NA,NA,YES,DERA ISMAIL KHAN DISTRICT,360218,187793,172382,43,68.74,77.96,58.72,46.51,39995,28175,5,38676,24167,8,18665,13843,4,357434,2784,264624,200427,21234,79894,179050
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,NA,NA,YES,DERA ISMAIL KHAN TEHSIL,218018,114116,103865,37,79.51,85.14,73.31,48.65,25199,20496,5,27625,19829,8,15365,12284,4,215348,2670,165925,128992,13145,52320,116987
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,DERA ISMAIL KHAN CANTONMENT,NA,YES,DERA ISMAIL KHAN CANTONMENT,5694,3519,2175,0,89.11,94.29,79.98,0,553,435,0,1435,411,0,601,370,0,5231,463,4499,3658,228,2302,3547
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,DERA ISMAIL KHAN CANTONMENT,CHARGE NO 01,YES,CHARGE NO 01,5694,3519,2175,0,89.11,94.29,79.98,0,553,435,0,1435,411,0,601,370,0,5231,463,4499,3658,228,2302,3547
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,DERA ISMAIL KHAN CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 01,5694,3519,2175,0,89.11,94.29,79.98,0,553,435,0,1435,411,0,601,370,0,5231,463,4499,3658,228,2302,3547
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,DERA ISMAIL KHAN MC,NA,YES,DERA ISMAIL KHAN MC,212324,110597,101690,37,79.24,84.83,73.17,48.65,24646,20061,5,26190,19418,8,14764,11914,4,210117,2207,161426,125334,12917,50018,113440
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,DERA ISMAIL KHAN MC,CHARGE NO 05,YES,CHARGE NO 05,212324,110597,101690,37,79.24,84.83,73.17,48.65,24646,20061,5,26190,19418,8,14764,11914,4,210117,2207,161426,125334,12917,50018,113440
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,DERA ISMAIL KHAN MC,CHARGE NO 05,NO,CIRCLE NO 01,8823,4659,4164,0,75.01,81.9,67.39,0,982,781,0,989,720,0,683,495,0,8744,79,6530,4971,494,1425,4455
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,DERA ISMAIL KHAN MC,CHARGE NO 05,NO,CIRCLE NO 02,5570,2859,2711,0,88.81,91.58,85.87,0,590,523,0,805,714,0,571,510,0,5561,9,4452,3557,412,1436,3325
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,DERA ISMAIL KHAN MC,CHARGE NO 05,NO,CIRCLE NO 03,4854,2540,2314,0,79.85,84.17,75.07,0,628,553,0,579,418,0,269,212,0,4842,12,3658,2927,340,1354,2684
