province_name,district_code,district_name,area_name,locality_size,locality_count,gender,total_population
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,87,ALL SEXES,343562
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,87,MALE,175264
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,87,FEMALE,168273
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,87,TRANSGENDER,25
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,"5,000 AND ABOVE",25,ALL SEXES,261145
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,"5,000 AND ABOVE",25,MALE,133443
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,"5,000 AND ABOVE",25,FEMALE,127680
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,"5,000 AND ABOVE",25,TRANSGENDER,22
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,"2,000 - 4,999",15,ALL SEXES,47830
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,"2,000 - 4,999",15,MALE,24253
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,"2,000 - 4,999",15,FEMALE,23575
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,"2,000 - 4,999",15,TRANSGENDER,2
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,"1,000 - 1,999",14,ALL SEXES,21845
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,"1,000 - 1,999",14,MALE,11074
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,"1,000 - 1,999",14,FEMALE,10770
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,"1,000 - 1,999",14,TRANSGENDER,1
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,500 - 999,14,ALL SEXES,10364
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,500 - 999,14,MALE,5297
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,500 - 999,14,FEMALE,5067
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,500 - 999,14,TRANSGENDER,0
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,200 - 499,5,ALL SEXES,1708
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,200 - 499,5,MALE,857
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,200 - 499,5,FEMALE,851
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,200 - 499,5,TRANSGENDER,0
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,LESS THAN 200,5,ALL SEXES,670
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,LESS THAN 200,5,MALE,340
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,LESS THAN 200,5,FEMALE,330
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,LESS THAN 200,5,TRANSGENDER,0
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,UN-INHABITED,9,ALL SEXES,0
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,UN-INHABITED,9,MALE,0
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,UN-INHABITED,9,FEMALE,0
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,UN-INHABITED,9,TRANSGENDER,0
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,TOTAL,87,ALL SEXES,343562
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,TOTAL,87,MALE,175264
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,TOTAL,87,FEMALE,168273
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,TOTAL,87,TRANSGENDER,25
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,"5,000 AND ABOVE",25,ALL SEXES,261145
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,"5,000 AND ABOVE",25,MALE,133443
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,"5,000 AND ABOVE",25,FEMALE,127680
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,"5,000 AND ABOVE",25,TRANSGENDER,22
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,"2,000 - 4,999",15,ALL SEXES,47830
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,"2,000 - 4,999",15,MALE,24253
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,"2,000 - 4,999",15,FEMALE,23575
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,"2,000 - 4,999",15,TRANSGENDER,2
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,"1,000 - 1,999",14,ALL SEXES,21845
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,"1,000 - 1,999",14,MALE,11074
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,"1,000 - 1,999",14,FEMALE,10770
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,"1,000 - 1,999",14,TRANSGENDER,1
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,500 - 999,14,ALL SEXES,10364
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,500 - 999,14,MALE,5297
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,500 - 999,14,FEMALE,5067
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,500 - 999,14,TRANSGENDER,0
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,200 - 499,5,ALL SEXES,1708
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,200 - 499,5,MALE,857
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,200 - 499,5,FEMALE,851
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,200 - 499,5,TRANSGENDER,0
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,LESS THAN 200,5,ALL SEXES,670
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,LESS THAN 200,5,MALE,340
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,LESS THAN 200,5,FEMALE,330
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,LESS THAN 200,5,TRANSGENDER,0
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,UN-INHABITED,9,ALL SEXES,0
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,UN-INHABITED,9,MALE,0
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,UN-INHABITED,9,FEMALE,0
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK TEHSIL,UN-INHABITED,9,TRANSGENDER,0
