province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,UNDER CONSTRUCTION,1,588,1.48,5527,13.88,70
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,LESS THAN 5 YEARS,1,3059,7.68,5527,13.88,402
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,5-10 YEARS,1,9136,22.94,5527,13.88,1035
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,11-50 YEARS,1,25191,63.25,5527,13.88,3709
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,OVER 50 YEARS,1,1853,4.65,5527,13.88,311
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,UNDER CONSTRUCTION,2,588,1.48,11334,28.46,208
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,LESS THAN 5 YEARS,2,3059,7.68,11334,28.46,892
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,5-10 YEARS,2,9136,22.94,11334,28.46,2567
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,11-50 YEARS,2,25191,63.25,11334,28.46,7145
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,OVER 50 YEARS,2,1853,4.65,11334,28.46,522
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,UNDER CONSTRUCTION,3,588,1.48,9239,23.2,125
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,LESS THAN 5 YEARS,3,3059,7.68,9239,23.2,706
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,5-10 YEARS,3,9136,22.94,9239,23.2,2309
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,11-50 YEARS,3,25191,63.25,9239,23.2,5692
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,OVER 50 YEARS,3,1853,4.65,9239,23.2,407
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,UNDER CONSTRUCTION,4,588,1.48,6271,15.75,90
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,LESS THAN 5 YEARS,4,3059,7.68,6271,15.75,483
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,5-10 YEARS,4,9136,22.94,6271,15.75,1539
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,11-50 YEARS,4,25191,63.25,6271,15.75,3876
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,OVER 50 YEARS,4,1853,4.65,6271,15.75,283
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,UNDER CONSTRUCTION,5,588,1.48,3256,8.18,51
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,LESS THAN 5 YEARS,5,3059,7.68,3256,8.18,278
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,5-10 YEARS,5,9136,22.94,3256,8.18,757
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,11-50 YEARS,5,25191,63.25,3256,8.18,2030
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,OVER 50 YEARS,5,1853,4.65,3256,8.18,140
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,UNDER CONSTRUCTION,6,588,1.48,1853,4.65,16
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,LESS THAN 5 YEARS,6,3059,7.68,1853,4.65,133
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,5-10 YEARS,6,9136,22.94,1853,4.65,434
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,11-50 YEARS,6,25191,63.25,1853,4.65,1189
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,OVER 50 YEARS,6,1853,4.65,1853,4.65,81
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,UNDER CONSTRUCTION,7,588,1.48,943,2.37,11
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,LESS THAN 5 YEARS,7,3059,7.68,943,2.37,61
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,5-10 YEARS,7,9136,22.94,943,2.37,210
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,11-50 YEARS,7,25191,63.25,943,2.37,620
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,OVER 50 YEARS,7,1853,4.65,943,2.37,41
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,UNDER CONSTRUCTION,8,588,1.48,571,1.43,6
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,LESS THAN 5 YEARS,8,3059,7.68,571,1.43,41
KHYBER PAKTUNKHWA,004,TANK DISTRICT,TANK DISTRICT,TOTAL,5-10 YEARS,8,9136,22.94,571,1.43,127
