province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_under_01,group_under_05,group_under_10,group_under_16,group_05_24,group_15_24,group_15_29,group_15_49,group_15_64,group_18_60,group_18_and_up,group_60_and_up,group_65_and_up
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA DISTRICT,TOTAL,ALL SEXES,1555742,42874,217933,446911,675443,726389,303672,420030,726859,847885,718538,812829,100812,67207
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA DISTRICT,TOTAL,MALE,771976,22014,111879,229548,347210,366840,148947,200520,343478,406329,340660,390663,53376,35875
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA DISTRICT,TOTAL,FEMALE,783509,20860,106054,217363,328225,359472,154648,219388,383169,441322,377665,421926,47409,31309
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA DISTRICT,TOTAL,TRANSGENDER,257,0,0,0,8,77,77,122,212,234,213,240,27,23
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA DISTRICT,RURAL,ALL SEXES,1410844,39310,200128,410457,619130,661674,274333,378752,653351,761630,644458,730676,92013,61745
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA DISTRICT,RURAL,MALE,698451,20162,102663,210788,318083,333670,134003,180047,307159,363173,303932,349579,48611,32948
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA DISTRICT,RURAL,FEMALE,712267,19148,97465,199669,301039,327972,140298,198655,346095,398349,340435,380984,43380,28779
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA DISTRICT,RURAL,TRANSGENDER,126,0,0,0,8,32,32,50,97,108,91,113,22,18
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA DISTRICT,URBAN,ALL SEXES,144898,3564,17805,36454,56313,64715,29339,41278,73508,86255,74080,82153,8799,5462
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA DISTRICT,URBAN,MALE,73525,1852,9216,18760,29127,33170,14944,20473,36319,43156,36728,41084,4765,2927
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA DISTRICT,URBAN,FEMALE,71242,1712,8589,17694,27186,31500,14350,20733,37074,42973,37230,40942,4029,2530
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA DISTRICT,URBAN,TRANSGENDER,131,0,0,0,0,45,45,72,115,126,122,127,5,5
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,TOTAL,ALL SEXES,273257,7641,39334,81506,120488,127005,51653,72077,125595,146535,124664,141653,17908,12036
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,TOTAL,MALE,135039,3976,20132,41622,61518,63721,25178,34011,58827,69755,58718,67928,9698,6609
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,TOTAL,FEMALE,138200,3665,19202,39884,58969,63280,26471,38060,66755,76765,65933,73708,8206,5424
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,TOTAL,TRANSGENDER,18,0,0,0,1,4,4,6,13,15,13,17,4,3
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,RURAL,ALL SEXES,273257,7641,39334,81506,120488,127005,51653,72077,125595,146535,124664,141653,17908,12036
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,RURAL,MALE,135039,3976,20132,41622,61518,63721,25178,34011,58827,69755,58718,67928,9698,6609
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,RURAL,FEMALE,138200,3665,19202,39884,58969,63280,26471,38060,66755,76765,65933,73708,8206,5424
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,RURAL,TRANSGENDER,18,0,0,0,1,4,4,6,13,15,13,17,4,3
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,URBAN,ALL SEXES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,URBAN,MALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,URBAN,FEMALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,URBAN,TRANSGENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA TEHSIL,TOTAL,ALL SEXES,1017521,27922,141412,288266,437116,473311,200275,277460,480691,560436,476064,536171,64578,42637
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA TEHSIL,TOTAL,MALE,510187,14248,72607,148122,225176,240681,99688,134808,231703,273701,230303,262388,34412,22886
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA TEHSIL,TOTAL,FEMALE,507117,13674,68805,140144,211934,232564,100521,142545,248809,286537,245580,273581,30145,19732
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA TEHSIL,TOTAL,TRANSGENDER,217,0,0,0,6,66,66,107,179,198,181,202,21,19
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA TEHSIL,RURAL,ALL SEXES,872623,24358,123607,251812,380803,408596,170936,236182,407183,474181,401984,454018,55779,37175
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA TEHSIL,RURAL,MALE,436662,12396,63391,129362,196049,207511,84744,114335,195384,230545,193575,221304,29647,19959
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA TEHSIL,RURAL,FEMALE,435875,11962,60216,122450,184748,201064,86171,121812,211735,243564,208350,232639,26116,17202
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA TEHSIL,RURAL,TRANSGENDER,86,0,0,0,6,21,21,35,64,72,59,75,16,14
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA TEHSIL,URBAN,ALL SEXES,144898,3564,17805,36454,56313,64715,29339,41278,73508,86255,74080,82153,8799,5462
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA TEHSIL,URBAN,MALE,73525,1852,9216,18760,29127,33170,14944,20473,36319,43156,36728,41084,4765,2927
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA TEHSIL,URBAN,FEMALE,71242,1712,8589,17694,27186,31500,14350,20733,37074,42973,37230,40942,4029,2530
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,MANSEHRA TEHSIL,URBAN,TRANSGENDER,131,0,0,0,0,45,45,72,115,126,122,127,5,5
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,OGHI TEHSIL,TOTAL,ALL SEXES,264964,7311,37187,77139,117839,126073,51744,70493,120573,140914,117810,135005,18326,12534
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,OGHI TEHSIL,TOTAL,MALE,126750,3790,19140,39804,60516,62438,24081,31701,52948,62873,51639,60347,9266,6380
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,OGHI TEHSIL,TOTAL,FEMALE,138192,3521,18047,37335,57322,63628,27656,38783,67605,78020,66152,74637,9058,6153
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,OGHI TEHSIL,TOTAL,TRANSGENDER,22,0,0,0,1,7,7,9,20,21,19,21,2,1
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,OGHI TEHSIL,RURAL,ALL SEXES,264964,7311,37187,77139,117839,126073,51744,70493,120573,140914,117810,135005,18326,12534
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,OGHI TEHSIL,RURAL,MALE,126750,3790,19140,39804,60516,62438,24081,31701,52948,62873,51639,60347,9266,6380
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,OGHI TEHSIL,RURAL,FEMALE,138192,3521,18047,37335,57322,63628,27656,38783,67605,78020,66152,74637,9058,6153
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,OGHI TEHSIL,RURAL,TRANSGENDER,22,0,0,0,1,7,7,9,20,21,19,21,2,1
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,OGHI TEHSIL,URBAN,ALL SEXES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,OGHI TEHSIL,URBAN,MALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,OGHI TEHSIL,URBAN,FEMALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,OGHI TEHSIL,URBAN,TRANSGENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
