province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,NA,NA,NA,YES,MANSEHRA DISTRICT,NA,213923,158618,34010,21295,115621,199315,17032,187429,190291,182885,6.5
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,NA,NA,YES,BALA KOT TEHSIL,NA,45182,28984,10930,5268,26147,39689,1112,40678,40715,40988,6
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,GHARI BALA KOT QH,NA,YES,GHARI BALA KOT QH,NA,30055,23827,3330,2898,19315,27780,1028,28069,27163,27370,5.76
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,GHARI BALA KOT QH,BALA KOT PC,YES,BALA KOT PC,NA,4648,3765,170,713,3569,4462,204,4298,4384,4394,5.77
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,GHARI BALA KOT QH,BALA KOT PC,NO,BALA KOT,0000201,2588,1812,128,648,2315,2516,154,2448,2470,2470,5.62
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,GHARI BALA KOT QH,BALA KOT PC,NO,MITTI KOT,0000193,630,595,20,15,131,593,2,550,559,553,5.39
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,GHARI BALA KOT QH,BALA KOT PC,NO,SHOHAL NAJAF KHAN,0000205,1267,1207,18,42,967,1190,34,1150,1203,1218,6.3
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,GHARI BALA KOT QH,BALA KOT PC,NO,TARANA,0000204,163,151,4,8,156,163,14,150,152,153,5.47
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,GHARI BALA KOT QH,DOGA PC,YES,DOGA PC,NA,4657,4361,134,162,2773,4429,27,4304,4265,4205,5.45
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,GHARI BALA KOT QH,DOGA PC,NO,BHORAJ,0000210,273,264,3,6,36,272,0,253,257,242,5.16
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,GHARI BALA KOT QH,DOGA PC,NO,BISIAN,0000206,842,805,14,23,748,814,15,780,807,811,5.88
KHYBER PAKTUNKHWA,008,MANSEHRA DISTRICT,BALA KOT TEHSIL,GHARI BALA KOT QH,DOGA PC,NO,DOGA,0000208,1076,1027,25,24,393,972,4,1026,1007,957,4.36
