province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,NA,NA,NA,YES,TORGHAR DISTRICT,NA,26281,1940,17573,6768,8671,8594,46,17469,20991,10494,6.49
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,NA,NA,YES,JUDBA TEHSIL,NA,14899,1350,10466,3083,3301,5330,36,10360,12178,5096,6.47
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,ESSAZAI TRIBE,NA,YES,ESSAZAI TRIBE,NA,304,13,210,81,13,0,1,216,223,194,5.64
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,ESSAZAI TRIBE,MADA KHEL SECTION,YES,MADA KHEL SECTION,NA,304,13,210,81,13,0,1,216,223,194,5.64
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,ESSAZAI TRIBE,MADA KHEL SECTION,NO,DOMAIL,0000000,64,0,62,2,7,0,0,0,1,8,6.45
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,ESSAZAI TRIBE,MADA KHEL SECTION,NO,GHARI ZAREEN SAR GHARI,0000000,240,13,148,79,6,0,1,216,222,186,5.42
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,NA,YES,MALAZAI TRIBE,NA,14595,1337,10256,3002,3288,5330,35,10144,11955,4902,6.49
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,YES,BASSI KHAIL SECTION,NA,12952,1309,9276,2367,3139,4851,30,9207,10952,4733,6.43
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,BANDA DADA,0000000,170,6,164,0,6,1,1,170,170,3,7.13
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,BARTOONI I,0000000,699,18,655,26,279,415,4,430,623,350,6.6
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,CHAMB KALAGAI,0000000,391,3,229,159,15,64,1,189,328,42,7.52
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,CHEER,0000000,220,6,206,8,7,2,0,186,214,205,8.33
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,DANA MORI,0000000,246,7,223,16,39,0,0,81,236,4,8.16
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,DAUR,0000000,347,108,235,4,139,345,1,304,307,112,5.81
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,DAUR MAIRA,0000000,367,112,105,150,28,325,1,293,318,116,7.37
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,DHARI BARTOONI II,0000000,328,6,317,5,32,116,0,110,184,71,5.22
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,GIGANI,0000000,359,1,346,12,165,91,0,170,353,40,6.52
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,GITOO,0000000,800,6,787,7,17,1,1,537,757,54,6.03
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,GOMBOT,0000000,240,134,90,16,70,76,2,226,228,177,5.2
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,HALEEMA DADA,0000000,126,3,121,2,21,1,0,92,121,7,7.78
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,HARNAIL,0000000,219,11,202,6,105,1,0,214,218,116,7.53
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,JHATKA,0000000,374,6,358,10,12,2,0,309,306,101,6.8
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,JIGAL,0000000,76,13,61,2,3,75,0,76,76,6,5
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,JUDBA,0000000,789,211,380,198,203,711,6,775,776,683,5.96
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,KALASH,0000000,457,2,309,146,116,152,0,420,425,108,7.56
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,KAMASAR,0000000,571,17,541,13,69,3,0,351,387,251,5.8
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,KAND DAUR,0000000,347,107,234,6,133,346,1,321,341,116,7.22
KHYBER PAKTUNKHWA,009,TORGHAR DISTRICT,JUDBA TEHSIL,MALAZAI TRIBE,BASSI KHAIL SECTION,NO,KANDAR BASI KHEL,0000000,182,15,142,25,84,153,0,177,182,105,5.45
