province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,OWNED,1,36747,78.29,5192,11.06,3630
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENTED,1,7448,15.87,5192,11.06,1027
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENT FREE,1,2745,5.85,5192,11.06,535
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,OWNED,2,36747,78.29,10576,22.53,7527
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENTED,2,7448,15.87,10576,22.53,2333
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENT FREE,2,2745,5.85,10576,22.53,716
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,OWNED,3,36747,78.29,10115,21.55,7774
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENTED,3,7448,15.87,10115,21.55,1782
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENT FREE,3,2745,5.85,10115,21.55,559
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,OWNED,4,36747,78.29,8272,17.62,6688
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENTED,4,7448,15.87,8272,17.62,1157
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENT FREE,4,2745,5.85,8272,17.62,427
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,OWNED,5,36747,78.29,4835,10.3,4059
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENTED,5,7448,15.87,4835,10.3,537
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENT FREE,5,2745,5.85,4835,10.3,239
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,OWNED,6,36747,78.29,3141,6.69,2730
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENTED,6,7448,15.87,3141,6.69,297
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENT FREE,6,2745,5.85,3141,6.69,114
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,OWNED,7,36747,78.29,1649,3.51,1470
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENTED,7,7448,15.87,1649,3.51,118
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENT FREE,7,2745,5.85,1649,3.51,61
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,OWNED,8,36747,78.29,1231,2.62,1112
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENTED,8,7448,15.87,1231,2.62,86
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENT FREE,8,2745,5.85,1231,2.62,33
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,OWNED,9,36747,78.29,1929,4.11,1757
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENTED,9,7448,15.87,1929,4.11,111
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,TOTAL,RENT FREE,9,2745,5.85,1929,4.11,61
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,OWNED,1,30741,82.9,4009,10.81,3145
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENTED,1,4282,11.55,4009,10.81,473
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENT FREE,1,2058,5.55,4009,10.81,391
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,OWNED,2,30741,82.9,8205,22.13,6430
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENTED,2,4282,11.55,8205,22.13,1270
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENT FREE,2,2058,5.55,8205,22.13,505
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,OWNED,3,30741,82.9,8077,21.78,6547
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENTED,3,4282,11.55,8077,21.78,1086
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENT FREE,3,2058,5.55,8077,21.78,444
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,OWNED,4,30741,82.9,6532,17.62,5518
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENTED,4,4282,11.55,6532,17.62,688
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENT FREE,4,2058,5.55,6532,17.62,326
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,OWNED,5,30741,82.9,3861,10.41,3340
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENTED,5,4282,11.55,3861,10.41,340
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENT FREE,5,2058,5.55,3861,10.41,181
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,OWNED,6,30741,82.9,2476,6.68,2183
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENTED,6,4282,11.55,2476,6.68,207
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENT FREE,6,2058,5.55,2476,6.68,86
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,OWNED,7,30741,82.9,1340,3.61,1217
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENTED,7,4282,11.55,1340,3.61,78
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENT FREE,7,2058,5.55,1340,3.61,45
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,OWNED,8,30741,82.9,980,2.64,895
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENTED,8,4282,11.55,980,2.64,56
KHYBER PAKTUNKHWA,011,HANGU DISTRICT,HANGU DISTRICT,RURAL,RENT FREE,8,2058,5.55,980,2.64,29
