province_name,district_code,district_name,area_name,area_type,construction_age,roof_material,total_by_roof_material,percent_by_roof_material,wall_material,total_by_wall_material,percent_by_wall_material,count
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,1486,2.14,BAKED BRICKS/BLOCKS/STONES,1022,1.47,104
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,1486,2.14,UNBAKED BRICKS/MUD,201,0.29,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,1486,2.14,WOOD/BAMBOO,107,0.15,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,1486,2.14,OTHERS,60,0.09,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,1486,2.14,BAKED BRICKS/BLOCKS/STONES,4739,6.81,327
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,1486,2.14,UNBAKED BRICKS/MUD,1382,1.99,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,1486,2.14,WOOD/BAMBOO,178,0.26,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,1486,2.14,OTHERS,162,0.23,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,1486,2.14,BAKED BRICKS/BLOCKS/STONES,14874,21.38,451
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,1486,2.14,UNBAKED BRICKS/MUD,3254,4.68,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,1486,2.14,WOOD/BAMBOO,434,0.62,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,1486,2.14,OTHERS,417,0.6,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,1486,2.14,BAKED BRICKS/BLOCKS/STONES,26682,38.36,543
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,1486,2.14,UNBAKED BRICKS/MUD,9657,13.88,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,1486,2.14,WOOD/BAMBOO,1299,1.87,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,1486,2.14,OTHERS,1346,1.94,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,1486,2.14,BAKED BRICKS/BLOCKS/STONES,2164,3.11,61
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,1486,2.14,UNBAKED BRICKS/MUD,1242,1.79,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,1486,2.14,WOOD/BAMBOO,159,0.23,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,1486,2.14,OTHERS,180,0.26,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,1469,2.11,BAKED BRICKS/BLOCKS/STONES,1022,1.47,34
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,1469,2.11,UNBAKED BRICKS/MUD,201,0.29,19
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,1469,2.11,WOOD/BAMBOO,107,0.15,4
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,1469,2.11,OTHERS,60,0.09,0
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,1469,2.11,BAKED BRICKS/BLOCKS/STONES,4739,6.81,130
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,1469,2.11,UNBAKED BRICKS/MUD,1382,1.99,445
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,1469,2.11,WOOD/BAMBOO,178,0.26,6
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,1469,2.11,OTHERS,162,0.23,3
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,1469,2.11,BAKED BRICKS/BLOCKS/STONES,14874,21.38,206
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,1469,2.11,UNBAKED BRICKS/MUD,3254,4.68,112
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,1469,2.11,WOOD/BAMBOO,434,0.62,9
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,1469,2.11,OTHERS,417,0.6,1
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,1469,2.11,BAKED BRICKS/BLOCKS/STONES,26682,38.36,256
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,1469,2.11,UNBAKED BRICKS/MUD,9657,13.88,125
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,1469,2.11,WOOD/BAMBOO,1299,1.87,79
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,1469,2.11,OTHERS,1346,1.94,3
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,1469,2.11,BAKED BRICKS/BLOCKS/STONES,2164,3.11,17
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,1469,2.11,UNBAKED BRICKS/MUD,1242,1.79,16
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,1469,2.11,WOOD/BAMBOO,159,0.23,3
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,1469,2.11,OTHERS,180,0.26,1
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,50768,72.99,BAKED BRICKS/BLOCKS/STONES,1022,1.47,832
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,50768,72.99,UNBAKED BRICKS/MUD,201,0.29,76
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,50768,72.99,WOOD/BAMBOO,107,0.15,21
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,50768,72.99,OTHERS,60,0.09,6
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,50768,72.99,BAKED BRICKS/BLOCKS/STONES,4739,6.81,4122
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,50768,72.99,UNBAKED BRICKS/MUD,1382,1.99,533
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,50768,72.99,WOOD/BAMBOO,178,0.26,50
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,50768,72.99,OTHERS,162,0.23,7
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 - 10 YEARS,GARDER/T.IRON,50768,72.99,BAKED BRICKS/BLOCKS/STONES,14874,21.38,13583
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 - 10 YEARS,GARDER/T.IRON,50768,72.99,UNBAKED BRICKS/MUD,3254,4.68,1424
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 - 10 YEARS,GARDER/T.IRON,50768,72.99,WOOD/BAMBOO,434,0.62,178
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,5 - 10 YEARS,GARDER/T.IRON,50768,72.99,OTHERS,417,0.6,51
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,11 - 50 YEARS,GARDER/T.IRON,50768,72.99,BAKED BRICKS/BLOCKS/STONES,26682,38.36,23857
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,11 - 50 YEARS,GARDER/T.IRON,50768,72.99,UNBAKED BRICKS/MUD,9657,13.88,3395
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,11 - 50 YEARS,GARDER/T.IRON,50768,72.99,WOOD/BAMBOO,1299,1.87,306
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,11 - 50 YEARS,GARDER/T.IRON,50768,72.99,OTHERS,1346,1.94,91
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,OVER 50 YEARS,GARDER/T.IRON,50768,72.99,BAKED BRICKS/BLOCKS/STONES,2164,3.11,1811
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,OVER 50 YEARS,GARDER/T.IRON,50768,72.99,UNBAKED BRICKS/MUD,1242,1.79,375
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,OVER 50 YEARS,GARDER/T.IRON,50768,72.99,WOOD/BAMBOO,159,0.23,29
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,OVER 50 YEARS,GARDER/T.IRON,50768,72.99,OTHERS,180,0.26,21
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,UNDER CONSTRUCTION,WOOD/BAMBOO,13353,19.2,BAKED BRICKS/BLOCKS/STONES,1022,1.47,47
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,UNDER CONSTRUCTION,WOOD/BAMBOO,13353,19.2,UNBAKED BRICKS/MUD,201,0.29,104
KHYBER PAKTUNKHWA,012,KARAK DISTRICT,KARAK DISTRICT,TOTAL,UNDER CONSTRUCTION,WOOD/BAMBOO,13353,19.2,WOOD/BAMBOO,107,0.15,78
