province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
KHYBER PAKTUNKHWA,013,KOHAT DISTRICT,KOHAT DISTRICT,TOTAL,UNDER CONSTRUCTION,1894,1.94,WALL,BAKED BRICKS/BLOCKS/STONES,75027,76.71,1464
KHYBER PAKTUNKHWA,013,KOHAT DISTRICT,KOHAT DISTRICT,TOTAL,UNDER CONSTRUCTION,1894,1.94,WALL,UNBAKED BRICKS/MUD,19204,19.63,282
KHYBER PAKTUNKHWA,013,KOHAT DISTRICT,KOHAT DISTRICT,TOTAL,UNDER CONSTRUCTION,1894,1.94,WALL,WOOD/BAMBOO,1764,1.8,53
KHYBER PAKTUNKHWA,013,KOHAT DISTRICT,KOHAT DISTRICT,TOTAL,UNDER CONSTRUCTION,1894,1.94,WALL,OTHERS,1816,1.86,95
KHYBER PAKTUNKHWA,013,KOHAT DISTRICT,KOHAT DISTRICT,TOTAL,UNDER CONSTRUCTION,1894,1.94,ROOF,RCC/RBC,29818,30.49,743
KHYBER PAKTUNKHWA,013,KOHAT DISTRICT,KOHAT DISTRICT,TOTAL,UNDER CONSTRUCTION,1894,1.94,ROOF,CEMENT/IRON SHEETS,3053,3.12,102
KHYBER PAKTUNKHWA,013,KOHAT DISTRICT,KOHAT DISTRICT,TOTAL,UNDER CONSTRUCTION,1894,1.94,ROOF,GARDER/T.IRON,46654,47.7,698
KHYBER PAKTUNKHWA,013,KOHAT DISTRICT,KOHAT DISTRICT,TOTAL,UNDER CONSTRUCTION,1894,1.94,ROOF,WOOD/BAMBOO,16327,16.69,252
KHYBER PAKTUNKHWA,013,KOHAT DISTRICT,KOHAT DISTRICT,TOTAL,UNDER CONSTRUCTION,1894,1.94,ROOF,OTHERS,1959,2,99
KHYBER PAKTUNKHWA,013,KOHAT DISTRICT,KOHAT DISTRICT,TOTAL,LESS THAN 5 YEARS,8084,8.26,WALL,BAKED BRICKS/BLOCKS/STONES,75027,76.71,6296
KHYBER PAKTUNKHWA,013,KOHAT DISTRICT,KOHAT DISTRICT,TOTAL,LESS THAN 5 YEARS,8084,8.26,WALL,UNBAKED BRICKS/MUD,19204,19.63,1392
