province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_under_01,group_under_05,group_under_10,group_under_16,group_05_24,group_15_24,group_15_29,group_15_49,group_15_64,group_18_60,group_18_and_up,group_60_and_up,group_65_and_up
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,ALL SEXES,2373399,63059,346965,698203,1059744,1133739,478095,663478,1115038,1288578,1086765,1207545,131577,82212
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,MALE,1201122,32300,177934,359976,549087,580029,238386,324180,545006,636356,532491,598734,71661,45189
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,FEMALE,1172215,30759,169031,338227,510655,553686,239685,339263,569975,652163,554224,608757,59912,37020
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,TRANSGENDER,62,0,0,0,2,24,24,35,57,59,50,54,4,3
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,RURAL,ALL SEXES,1933177,52051,286257,576803,874920,927482,385727,534981,895851,1036584,872117,972153,108891,68581
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,RURAL,MALE,975398,26629,146914,297670,453697,473574,191103,259576,434782,508442,424079,478697,59025,37571
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,RURAL,FEMALE,957771,25422,139343,279133,421222,453906,194622,275403,461065,528137,448035,493449,49862,31007
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,RURAL,TRANSGENDER,8,0,0,0,1,2,2,2,4,5,3,7,4,3
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,URBAN,ALL SEXES,440222,11008,60708,121400,184824,206257,92368,128497,219187,251994,214648,235392,22686,13631
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,URBAN,MALE,225724,5671,31020,62306,95390,106455,47283,64604,110224,127914,108412,120037,12636,7618
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,URBAN,FEMALE,214444,5337,29688,59094,89433,99780,45063,63860,108910,124026,106189,115308,10050,6013
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,URBAN,TRANSGENDER,54,0,0,0,1,22,22,33,53,54,47,47,0,0
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,KATLANG TEHSIL,TOTAL,ALL SEXES,343225,9436,51929,104017,157373,164888,67663,93139,155889,181102,151947,170409,20137,12969
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,KATLANG TEHSIL,TOTAL,MALE,171021,4817,26689,53784,81950,83678,32793,43941,73392,86417,71416,81350,10722,7030
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,KATLANG TEHSIL,TOTAL,FEMALE,172202,4619,25240,50233,75423,81209,34869,49197,82496,94684,80530,89057,9414,5938
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,KATLANG TEHSIL,TOTAL,TRANSGENDER,2,0,0,0,0,1,1,1,1,1,1,2,1,1
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,KATLANG TEHSIL,RURAL,ALL SEXES,343225,9436,51929,104017,157373,164888,67663,93139,155889,181102,151947,170409,20137,12969
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,KATLANG TEHSIL,RURAL,MALE,171021,4817,26689,53784,81950,83678,32793,43941,73392,86417,71416,81350,10722,7030
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,KATLANG TEHSIL,RURAL,FEMALE,172202,4619,25240,50233,75423,81209,34869,49197,82496,94684,80530,89057,9414,5938
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,KATLANG TEHSIL,RURAL,TRANSGENDER,2,0,0,0,0,1,1,1,1,1,1,2,1,1
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,KATLANG TEHSIL,URBAN,ALL SEXES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,KATLANG TEHSIL,URBAN,MALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,KATLANG TEHSIL,URBAN,FEMALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,KATLANG TEHSIL,URBAN,TRANSGENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN TEHSIL,TOTAL,ALL SEXES,1403002,36986,202121,407182,619061,668659,285353,395809,665747,769367,648765,720362,77500,48208
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN TEHSIL,TOTAL,MALE,709607,18852,103618,209817,320198,341805,142418,193514,325475,380233,318164,357425,42262,26369
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN TEHSIL,TOTAL,FEMALE,693339,18134,98503,197365,298862,326832,142913,202262,340218,389079,330553,362888,35237,21838
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN TEHSIL,TOTAL,TRANSGENDER,56,0,0,0,1,22,22,33,54,55,48,49,1,1
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN TEHSIL,RURAL,ALL SEXES,1043978,27972,152923,308986,469954,501377,209665,290559,485626,562363,472298,526764,58844,36980
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN TEHSIL,RURAL,MALE,525399,14230,78490,159414,243347,255269,103404,140313,234625,274908,228807,258550,31947,20136
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN TEHSIL,RURAL,FEMALE,518577,13742,74433,149572,226607,246108,106261,150246,251000,287454,243490,268212,26896,16843
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN TEHSIL,RURAL,TRANSGENDER,2,0,0,0,0,0,0,0,1,1,1,2,1,1
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN TEHSIL,URBAN,ALL SEXES,359024,9014,49198,98196,149107,167282,75688,105250,180121,207004,176467,193598,18656,11228
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN TEHSIL,URBAN,MALE,184208,4622,25128,50403,76851,86536,39014,53201,90850,105325,89357,98875,10315,6233
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN TEHSIL,URBAN,FEMALE,174762,4392,24070,47793,72255,80724,36652,52016,89218,101625,87063,94676,8341,4995
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN TEHSIL,URBAN,TRANSGENDER,54,0,0,0,1,22,22,33,53,54,47,47,0,0
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,TAKHT BHAI TEHSIL,TOTAL,ALL SEXES,627172,16637,92915,187004,283310,300192,125079,174530,293402,338109,286053,316774,33940,21035
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,TAKHT BHAI TEHSIL,TOTAL,MALE,320494,8631,47627,96375,146939,154546,63175,86725,146139,169706,142911,159959,18677,11790
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,TAKHT BHAI TEHSIL,TOTAL,FEMALE,306674,8006,45288,90629,136370,145645,61903,87804,147261,168400,143141,156812,15261,9244
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,TAKHT BHAI TEHSIL,TOTAL,TRANSGENDER,4,0,0,0,1,1,1,1,2,3,1,3,2,1
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,TAKHT BHAI TEHSIL,RURAL,ALL SEXES,545974,14643,81405,163800,247593,261217,108399,151283,254336,293119,247872,274980,29910,18632
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,TAKHT BHAI TEHSIL,RURAL,MALE,278978,7582,41735,84472,128400,134627,54906,75322,126765,147117,123856,138797,16356,10405
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,TAKHT BHAI TEHSIL,RURAL,FEMALE,266992,7061,39670,79328,119192,126589,53492,75960,127569,145999,124015,136180,13552,8226
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,TAKHT BHAI TEHSIL,RURAL,TRANSGENDER,4,0,0,0,1,1,1,1,2,3,1,3,2,1
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,TAKHT BHAI TEHSIL,URBAN,ALL SEXES,81198,1994,11510,23204,35717,38975,16680,23247,39066,44990,38181,41794,4030,2403
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,TAKHT BHAI TEHSIL,URBAN,MALE,41516,1049,5892,11903,18539,19919,8269,11403,19374,22589,19055,21162,2321,1385
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,TAKHT BHAI TEHSIL,URBAN,FEMALE,39682,945,5618,11301,17178,19056,8411,11844,19692,22401,19126,20632,1709,1018
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,TAKHT BHAI TEHSIL,URBAN,TRANSGENDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
