province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,utility,source,total_by_source,percent_by_source,count
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,INSIDE WATER,TOTAL INSIDE,293418,95.25,241106
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,INSIDE WATER,TAP,27555,8.95,19866
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,INSIDE WATER,ELECTRIC/HAND PUMP,247145,80.23,209012
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,INSIDE WATER,PROTECTED WELL,10085,3.27,7598
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,INSIDE WATER,UN-PROTECTED WELL,2053,0.67,1384
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,INSIDE WATER,OTHERS,6580,2.14,3246
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,OUTSIDE WATER,TOTAL OUTSIDE,14631,4.75,7314
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,OUTSIDE WATER,TAP,2182,0.71,981
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,OUTSIDE WATER,ELECTRIC/HAND PUMP,6337,2.06,2600
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,OUTSIDE WATER,PROTECTED WELL,738,0.24,402
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,OUTSIDE WATER,UN-PROTECTED WELL,397,0.13,177
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,OUTSIDE WATER,SPRING,618,0.2,336
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,OUTSIDE WATER,CANAL/RIVER/POND,137,0.04,62
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,OUTSIDE WATER,OTHERS,4222,1.37,2756
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,COOKING FUEL,WOOD,209392,67.97,981
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,COOKING FUEL,GAS,93462,30.34,2600
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,COOKING FUEL,KEROSENE OIL,190,0.06,402
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,COOKING FUEL,OTHERS,5005,1.62,177
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,LIGHTING SOURCE,ELECTRICITY,209392,67.97,170092
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,LIGHTING SOURCE,KEROSENE OIL,93462,30.34,75151
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,LIGHTING SOURCE,GAS LAMP,190,0.06,125
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,OWNED,248420,80.64,LIGHTING SOURCE,OTHERS,5005,1.62,3052
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,INSIDE WATER,TOTAL INSIDE,293418,95.25,30966
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,INSIDE WATER,TAP,27555,8.95,5687
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,INSIDE WATER,ELECTRIC/HAND PUMP,247145,80.23,22846
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,INSIDE WATER,PROTECTED WELL,10085,3.27,812
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,INSIDE WATER,UN-PROTECTED WELL,2053,0.67,166
