province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,NA,NA,NA,YES,SWABI DISTRICT,36407,27907,6198,2302,32253,35901,12386,34074,34802,34167,7.43
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,NA,NA,YES,LAHOR TEHSIL,5263,3548,1435,280,5016,5203,188,4894,5043,4961,7.59
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,TORDHER TC,NA,YES,TORDHER TC,5263,3548,1435,280,5016,5203,188,4894,5043,4961,7.59
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,TORDHER TC,CHARGE NO 02,YES,CHARGE NO 02,5263,3548,1435,280,5016,5203,188,4894,5043,4961,7.59
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,TORDHER TC,CHARGE NO 02,NO,CIRCLE NO 01,1584,1015,539,30,1462,1570,109,1452,1517,1495,7.29
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,TORDHER TC,CHARGE NO 02,NO,CIRCLE NO 02,1291,977,182,132,1267,1279,34,1241,1271,1255,7.57
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,TORDHER TC,CHARGE NO 02,NO,CIRCLE NO 03,1044,740,253,51,993,1017,29,980,1009,981,7.07
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,TORDHER TC,CHARGE NO 02,NO,CIRCLE NO 04,1344,816,461,67,1294,1337,16,1221,1246,1230,8.37
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,RAZAR TEHSIL,NA,NA,YES,RAZAR TEHSIL,3619,3142,342,135,3528,3584,104,3404,3504,3532,7.19
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,RAZAR TEHSIL,COL. SHER KILLI/NAWAN KILLI TC,NA,YES,COL. SHER KILLI/NAWAN KILLI TC,3619,3142,342,135,3528,3584,104,3404,3504,3532,7.19
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,RAZAR TEHSIL,COL. SHER KILLI/NAWAN KILLI TC,CHARGE NO 03,YES,CHARGE NO 03,3619,3142,342,135,3528,3584,104,3404,3504,3532,7.19
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,RAZAR TEHSIL,COL. SHER KILLI/NAWAN KILLI TC,CHARGE NO 03,NO,CIRCLE NO 01,1165,1025,107,33,1113,1144,70,1073,1113,1119,7.53
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,RAZAR TEHSIL,COL. SHER KILLI/NAWAN KILLI TC,CHARGE NO 03,NO,CIRCLE NO 02,1053,972,36,45,1043,1047,4,1032,1046,1049,6.89
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,RAZAR TEHSIL,COL. SHER KILLI/NAWAN KILLI TC,CHARGE NO 03,NO,CIRCLE NO 03,1401,1145,199,57,1372,1393,30,1299,1345,1364,7.13
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,NA,NA,YES,SWABI TEHSIL,20418,16153,2913,1352,18744,20161,7816,19078,19648,18905,7.49
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,SWABI MC,NA,YES,SWABI MC,15999,12679,2071,1249,14686,15828,5600,14885,15380,14684,7.58
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,SWABI MC,CHARGE NO 02,YES,CHARGE NO 02,15999,12679,2071,1249,14686,15828,5600,14885,15380,14684,7.58
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,SWABI MC,CHARGE NO 02,NO,CIRCLE NO 01,1443,1333,78,32,1398,1434,419,1419,1420,1399,7.44
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,SWABI MC,CHARGE NO 02,NO,CIRCLE NO 02,1348,1134,164,50,1291,1338,729,1251,1313,1304,7.02
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,SWABI MC,CHARGE NO 02,NO,CIRCLE NO 03,1465,1249,184,32,1373,1440,318,1266,1391,1322,7.87
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,SWABI MC,CHARGE NO 02,NO,CIRCLE NO 04,1437,1010,225,202,1253,1415,292,1182,1327,1209,8.06
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,SWABI MC,CHARGE NO 02,NO,CIRCLE NO 05,1834,1616,198,20,1694,1829,1086,1702,1815,1813,7.32
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,SWABI MC,CHARGE NO 02,NO,CIRCLE NO 06,1850,1412,342,96,1662,1828,990,1802,1769,1754,7.64
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,SWABI MC,CHARGE NO 02,NO,CIRCLE NO 07,1240,947,223,70,1210,1233,850,1228,1230,1236,7.93
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,SWABI MC,CHARGE NO 02,NO,CIRCLE NO 08,2318,1622,280,416,2158,2267,492,2133,2184,1892,7.34
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,SWABI MC,CHARGE NO 02,NO,CIRCLE NO 09,3064,2356,377,331,2647,3044,424,2902,2931,2755,7.67
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,ZAIDA MC,NA,YES,ZAIDA MC,4419,3474,842,103,4058,4333,2216,4193,4268,4221,7.16
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,ZAIDA MC,CHARGE NO 03,YES,CHARGE NO 03,4419,3474,842,103,4058,4333,2216,4193,4268,4221,7.16
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,ZAIDA MC,CHARGE NO 03,NO,CIRCLE NO 01,1389,1118,247,24,1237,1356,746,1348,1354,1332,7.37
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,ZAIDA MC,CHARGE NO 03,NO,CIRCLE NO 02,978,823,146,9,917,967,405,945,963,952,7.18
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,ZAIDA MC,CHARGE NO 03,NO,CIRCLE NO 03,951,657,280,14,877,944,678,893,936,926,6.24
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,ZAIDA MC,CHARGE NO 03,NO,CIRCLE NO 04,1101,876,169,56,1027,1066,387,1007,1015,1011,7.68
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,TOPI TEHSIL,NA,NA,YES,TOPI TEHSIL,7107,5064,1508,535,4965,6953,4278,6698,6607,6769,7.28
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,TOPI TEHSIL,TOPI MC,NA,YES,TOPI MC,7107,5064,1508,535,4965,6953,4278,6698,6607,6769,7.28
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,TOPI TEHSIL,TOPI MC,CHARGE NO 03,YES,CHARGE NO 03,7107,5064,1508,535,4965,6953,4278,6698,6607,6769,7.28
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,TOPI TEHSIL,TOPI MC,CHARGE NO 03,NO,CIRCLE NO 01,909,690,89,130,674,891,410,897,901,803,6.35
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,TOPI TEHSIL,TOPI MC,CHARGE NO 03,NO,CIRCLE NO 02,1692,1396,239,57,1257,1641,1268,1622,1677,1660,6.77
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,TOPI TEHSIL,TOPI MC,CHARGE NO 03,NO,CIRCLE NO 03,1279,978,207,94,1050,1261,743,1206,1211,1191,8.46
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,TOPI TEHSIL,TOPI MC,CHARGE NO 03,NO,CIRCLE NO 04,1473,691,652,130,688,1436,790,1339,1144,1457,7.9
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,TOPI TEHSIL,TOPI MC,CHARGE NO 03,NO,CIRCLE NO 05,1754,1309,321,124,1296,1724,1067,1634,1674,1658,6.88
