province_name,district_code,district_name,area_name,area_type,gender,count
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,ALL SEXES,175882
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,MALE,168076
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,FEMALE,7806
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,TRANSGENDER,0
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,RURAL,ALL SEXES,146714
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,RURAL,MALE,140262
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,RURAL,FEMALE,6452
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,RURAL,TRANSGENDER,0
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,URBAN,ALL SEXES,29168
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,URBAN,MALE,27814
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,URBAN,FEMALE,1354
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,URBAN,TRANSGENDER,0
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,TOTAL,ALL SEXES,34428
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,TOTAL,MALE,33018
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,TOTAL,FEMALE,1410
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,TOTAL,TRANSGENDER,0
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,RURAL,ALL SEXES,29891
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,RURAL,MALE,28773
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,RURAL,FEMALE,1118
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,RURAL,TRANSGENDER,0
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,URBAN,ALL SEXES,4537
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,URBAN,MALE,4245
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,URBAN,FEMALE,292
