province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_00_04,age_below_1,age_01,age_02,age_03,age_04,group_05_09,age_05,age_06,age_07,age_08,age_09,group_10_14,age_10,age_11,age_12,age_13,age_14,group_15_19,age_15,age_16,age_17,age_18,age_19,group_20_24,age_20,age_21,age_22,age_23,age_24,group_25_29,age_25,age_26,age_27,age_28,age_29,group_30_34,age_30,age_31,age_32,age_33,age_34,group_35_39,age_35,age_36,age_37,age_38,age_39,group_40_44,age_40,age_41,age_42,age_43,age_44,group_45_49,age_45,age_46,age_47,age_48,age_49,group_50_54,age_50,age_51,age_52,age_53,age_54,group_55_59,age_55,age_56,age_57,age_58,age_59,group_60_64,age_60,age_61,age_62,age_63,age_64,group_65_69,age_65,age_66,age_67,age_68,age_69,group_70_74,age_70,age_71,age_72,age_73,age_74,group_75_and_up
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,ALL SEXES,1610960,238442,42794,43874,48075,51218,52481,248082,50546,49662,50437,49535,47902,205687,44566,41645,39714,40720,39042,168943,37884,34531,34537,31270,30721,142290,32174,29156,27726,27002,26232,127417,27377,26263,26044,23143,24590,103008,23231,22762,19988,19461,17566,79373,16297,15875,16782,14954,15465,68020,15057,14779,13529,12723,11932,54528,10482,11591,11967,9920,10568,46642,10252,10332,9521,8784,7753,37754,7053,7363,8020,7341,7977,34084,7123,7203,6239,6678,6841,23009,4804,4586,4490,4212,4917,15073,3519,3233,2753,2879,2689,18608
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,MALE,817651,122429,22074,22607,24644,26093,27011,128713,26055,25786,26066,25765,25041,107863,23078,22250,20690,21464,20381,84313,19520,17552,16639,15005,15597,68353,14932,14466,13344,13323,12288,59382,12292,12426,11731,11472,11461,50803,11114,11057,9711,9941,8980,39161,7970,7881,7736,7873,7701,34036,7283,7289,6382,6663,6419,27807,5242,5887,5533,5468,5677,24404,5039,5417,4744,4846,4358,20379,3767,3873,4037,4203,4499,18749,3711,4050,3428,3742,3818,13096,2709,2624,2479,2447,2837,8431,1901,1851,1562,1606,1511,9732
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,FEMALE,793298,116013,20720,21267,23431,25125,25470,119369,24491,23876,24371,23770,22861,97824,21488,19395,19024,19256,18661,84629,18364,16979,17897,16265,15124,73936,17241,14690,14382,13679,13944,68035,15085,13837,14313,11671,13129,52200,12115,11704,10276,9519,8586,40211,8327,7993,9046,7081,7764,33983,7774,7490,7147,6060,5512,26721,5240,5704,6434,4452,4891,22237,5212,4915,4777,3938,3395,17374,3286,3490,3983,3138,3477,15335,3412,3153,2811,2936,3023,9913,2095,1962,2011,1765,2080,6642,1618,1382,1191,1273,1178,8876
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,TRANSGENDER,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,2,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,RURAL,ALL SEXES,1340756,201115,35795,36911,40675,43258,44476,209433,42551,42048,42592,42107,40135,173022,37843,34866,33397,34076,32840,141081,32042,28869,28699,26186,25285,117573,26878,23874,22955,22195,21671,105369,22925,21713,21482,19049,20200,84440,19233,18741,16402,15818,14246,65108,13359,13037,13928,12107,12677,55587,12336,12156,11144,10258,9693,44402,8588,9392,9874,7979,8569,38079,8423,8402,7798,7160,6296,30950,5782,5941,6716,5954,6557,27800,5841,5809,5066,5371,5713,18897,3912,3675,3716,3441,4153,12410,2881,2628,2259,2368,2274,15490
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,RURAL,MALE,678713,103259,18453,19078,20911,21976,22841,108603,21947,21764,22021,21889,20982,90653,19572,18668,17437,17910,17066,70252,16514,14638,13807,12537,12756,55898,12280,11718,10978,10894,10028,48873,10185,10271,9595,9462,9360,41612,9199,9076,7936,8104,7297,31904,6505,6464,6371,6320,6244,27595,5898,5963,5163,5364,5207,22472,4239,4774,4479,4393,4587,19915,4118,4443,3826,3977,3551,16659,3077,3136,3368,3401,3677,15201,3022,3245,2754,2992,3188,10764,2201,2111,2011,2012,2429,6911,1541,1514,1270,1304,1282,8142
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,RURAL,FEMALE,662036,97856,17342,17833,19764,21282,21635,100830,20604,20284,20571,20218,19153,82369,18271,16198,15960,16166,15774,70828,15528,14231,14891,13649,12529,61674,14597,12156,11977,11301,11643,56496,12740,11442,11887,9587,10840,42826,10033,9665,8465,7714,6949,33203,6854,6572,7557,5787,6433,27991,6438,6193,5981,4894,4485,21930,4349,4618,5395,3586,3982,18163,4304,3959,3972,3183,2745,14291,2705,2805,3348,2553,2880,12599,2819,2564,2312,2379,2525,8133,1711,1564,1705,1429,1724,5499,1340,1114,989,1064,992,7348
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,RURAL,TRANSGENDER,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,URBAN,ALL SEXES,270204,37327,6999,6963,7400,7960,8005,38649,7995,7614,7845,7428,7767,32665,6723,6779,6317,6644,6202,27862,5842,5662,5838,5084,5436,24717,5296,5282,4771,4807,4561,22048,4452,4550,4562,4094,4390,18568,3998,4021,3586,3643,3320,14265,2938,2838,2854,2847,2788,12433,2721,2623,2385,2465,2239,10126,1894,2199,2093,1941,1999,8563,1829,1930,1723,1624,1457,6804,1271,1422,1304,1387,1420,6284,1282,1394,1173,1307,1128,4112,892,911,774,771,764,2663,638,605,494,511,415,3118
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,URBAN,MALE,138938,19170,3621,3529,3733,4117,4170,20110,4108,4022,4045,3876,4059,17210,3506,3582,3253,3554,3315,14061,3006,2914,2832,2468,2841,12455,2652,2748,2366,2429,2260,10509,2107,2155,2136,2010,2101,9191,1915,1981,1775,1837,1683,7257,1465,1417,1365,1553,1457,6441,1385,1326,1219,1299,1212,5335,1003,1113,1054,1075,1090,4489,921,974,918,869,807,3720,690,737,669,802,822,3548,689,805,674,750,630,2332,508,513,468,435,408,1520,360,337,292,302,229,1590
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,URBAN,FEMALE,131262,18157,3378,3434,3667,3843,3835,18539,3887,3592,3800,3552,3708,15455,3217,3197,3064,3090,2887,13801,2836,2748,3006,2616,2595,12262,2644,2534,2405,2378,2301,11539,2345,2395,2426,2084,2289,9374,2082,2039,1811,1805,1637,7008,1473,1421,1489,1294,1331,5992,1336,1297,1166,1166,1027,4791,891,1086,1039,866,909,4074,908,956,805,755,650,3083,581,685,635,585,597,2736,593,589,499,557,498,1780,384,398,306,336,356,1143,278,268,202,209,186,1528
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,URBAN,TRANSGENDER,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,TOTAL,ALL SEXES,804843,115659,20949,21514,23233,24919,25044,121347,25235,24562,24292,23975,23283,101423,21875,20658,19506,20124,19260,84487,18696,17241,17227,15622,15701,70855,15907,14515,13844,13388,13201,64507,13485,13527,13165,11775,12555,52223,11569,11457,10188,9983,9026,41273,8505,8202,8530,7983,8053,35483,7765,7779,7052,6652,6235,28136,5457,5902,5856,5402,5519,24137,5219,5285,4857,4716,4060,18892,3595,3827,3886,3697,3887,17349,3634,3670,3239,3426,3380,11747,2445,2373,2355,2149,2425,7934,1777,1746,1531,1520,1360,9391
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,TOTAL,MALE,410974,59614,10807,11188,11925,12782,12912,62669,12882,12714,12518,12433,12122,53183,11344,10947,10201,10602,10089,42833,9744,8872,8399,7699,8119,34817,7684,7363,6769,6750,6251,30667,6278,6557,6081,5842,5909,25624,5576,5401,4931,5098,4618,20406,4126,4172,3948,4186,3974,17969,3781,3831,3428,3547,3382,14548,2750,3099,2780,2956,2963,12760,2548,2828,2546,2588,2250,10298,1935,2053,2026,2118,2166,9503,1858,2047,1813,1906,1879,6671,1399,1366,1324,1217,1365,4487,980,1007,906,815,779,4925
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,TOTAL,FEMALE,393865,56045,10142,10326,11308,12137,12132,58678,12353,11848,11774,11542,11161,48240,10531,9711,9305,9522,9171,41653,8952,8369,8827,7923,7582,36038,8223,7152,7075,6638,6950,33840,7207,6970,7084,5933,6646,26596,5992,6055,5257,4884,4408,20867,4379,4030,4582,3797,4079,17514,3984,3948,3624,3105,2853,13588,2707,2803,3076,2446,2556,11377,2671,2457,2311,2128,1810,8594,1660,1774,1860,1579,1721,7846,1776,1623,1426,1520,1501,5076,1046,1007,1031,932,1060,3447,797,739,625,705,581,4466
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,TOTAL,TRANSGENDER,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,RURAL,ALL SEXES,659042,96488,17422,17786,19508,20727,21045,101187,20931,20661,20226,20198,19171,84446,18451,17004,16274,16617,16100,69446,15560,14194,14038,12894,12760,57769,13164,11745,11314,10831,10715,52315,11134,10948,10587,9543,10103,41822,9348,9205,8161,7994,7114,33285,6887,6571,6976,6373,6478,28430,6256,6258,5695,5260,4961,22391,4377,4658,4802,4201,4353,19158,4146,4193,3879,3728,3212,15169,2882,3034,3205,2926,3122,13789,2909,2881,2567,2682,2750,9424,1933,1851,1893,1712,2035,6327,1413,1362,1221,1198,1133,7596
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,RURAL,MALE,336077,49690,8997,9283,10042,10572,10796,52240,10665,10657,10455,10477,9986,44260,9563,9038,8547,8724,8388,35219,8106,7294,6832,6366,6621,28289,6283,5946,5544,5497,5019,24844,5126,5341,4867,4773,4737,20525,4512,4338,3954,4091,3630,16354,3313,3356,3206,3322,3157,14314,3024,3064,2712,2820,2694,11509,2179,2455,2236,2308,2331,10124,2009,2266,1990,2069,1790,8231,1534,1635,1651,1681,1730,7545,1486,1611,1442,1473,1533,5381,1114,1080,1038,989,1160,3566,769,792,714,634,657,3986
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,RURAL,FEMALE,322964,46798,8425,8503,9466,10155,10249,48947,10266,10004,9771,9721,9185,40186,8888,7966,7727,7893,7712,34226,7454,6900,7205,6528,6139,29480,6881,5799,5770,5334,5696,27471,6008,5607,5720,4770,5366,21297,4836,4867,4207,3903,3484,16931,3574,3215,3770,3051,3321,14116,3232,3194,2983,2440,2267,10882,2198,2203,2566,1893,2022,9034,2137,1927,1889,1659,1422,6938,1348,1399,1554,1245,1392,6244,1423,1270,1125,1209,1217,4043,819,771,855,723,875,2761,644,570,507,564,476,3610
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,RURAL,TRANSGENDER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,URBAN,ALL SEXES,145801,19171,3527,3728,3725,4192,3999,20160,4304,3901,4066,3777,4112,16977,3424,3654,3232,3507,3160,15041,3136,3047,3189,2728,2941,13086,2743,2770,2530,2557,2486,12192,2351,2579,2578,2232,2452,10401,2221,2252,2027,1989,1912,7988,1618,1631,1554,1610,1575,7053,1509,1521,1357,1392,1274,5745,1080,1244,1054,1201,1166,4979,1073,1092,978,988,848,3723,713,793,681,771,765,3560,725,789,672,744,630,2323,512,522,462,437,390,1607,364,384,310,322,227,1795
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,URBAN,MALE,74897,9924,1810,1905,1883,2210,2116,10429,2217,2057,2063,1956,2136,8923,1781,1909,1654,1878,1701,7614,1638,1578,1567,1333,1498,6528,1401,1417,1225,1253,1232,5823,1152,1216,1214,1069,1172,5099,1064,1063,977,1007,988,4052,813,816,742,864,817,3655,757,767,716,727,688,3039,571,644,544,648,632,2636,539,562,556,519,460,2067,401,418,375,437,436,1958,372,436,371,433,346,1290,285,286,286,228,205,921,211,215,192,181,122,939
