province_name,district_code,district_name,area_name,area_type,gender,count
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,BOTH SEXES,46562
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,MALE,43333
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,TOTAL,FEMALE,3229
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,RURAL,BOTH SEXES,40393
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,RURAL,MALE,37821
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,RURAL,FEMALE,2572
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,URBAN,BOTH SEXES,6169
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,URBAN,MALE,5512
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA DISTRICT,URBAN,FEMALE,657
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,TOTAL,BOTH SEXES,17396
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,TOTAL,MALE,15500
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,TOTAL,FEMALE,1896
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,RURAL,BOTH SEXES,15444
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,RURAL,MALE,13814
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,RURAL,FEMALE,1630
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,URBAN,BOTH SEXES,1952
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,URBAN,MALE,1686
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,CHARSADDA TEHSIL,URBAN,FEMALE,266
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,SHABQADAR TEHSIL,TOTAL,BOTH SEXES,15463
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,SHABQADAR TEHSIL,TOTAL,MALE,14818
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,SHABQADAR TEHSIL,TOTAL,FEMALE,645
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,SHABQADAR TEHSIL,RURAL,BOTH SEXES,12125
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,SHABQADAR TEHSIL,RURAL,MALE,11840
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,SHABQADAR TEHSIL,RURAL,FEMALE,285
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,SHABQADAR TEHSIL,URBAN,BOTH SEXES,3338
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,SHABQADAR TEHSIL,URBAN,MALE,2978
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,SHABQADAR TEHSIL,URBAN,FEMALE,360
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,TANGI TEHSIL,TOTAL,BOTH SEXES,13703
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,TANGI TEHSIL,TOTAL,MALE,13015
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,TANGI TEHSIL,TOTAL,FEMALE,688
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,TANGI TEHSIL,RURAL,BOTH SEXES,12824
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,TANGI TEHSIL,RURAL,MALE,12167
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,TANGI TEHSIL,RURAL,FEMALE,657
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,TANGI TEHSIL,URBAN,BOTH SEXES,879
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,TANGI TEHSIL,URBAN,MALE,848
KHYBER PAKTUNKHWA,016,CHARSADDA DISTRICT,TANGI TEHSIL,URBAN,FEMALE,31
