province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_under_01,group_under_05,group_under_10,group_under_16,group_05_24,group_15_24,group_15_29,group_15_49,group_15_64,group_18_60,group_18_and_up,group_60_and_up,group_65_and_up
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,ALL SEXES,1520995,41118,220079,441820,662320,714757,307076,432900,736712,845211,719878,791206,77780,48024
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,MALE,783035,21164,112974,227300,342720,370519,158551,219909,374480,432301,367473,406016,41925,25792
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,FEMALE,737834,19954,107105,214520,319595,344196,148483,212927,362128,412789,352294,385071,35845,22227
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,TRANSGENDER,126,0,0,0,5,42,42,64,104,121,111,119,10,5
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,RURAL,ALL SEXES,1181460,32822,176138,353194,527470,558076,233945,329077,557987,642843,544319,600956,61735,38348
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,RURAL,MALE,598964,16909,90389,181614,272878,285520,117025,161599,274903,319590,268730,299162,33067,20490
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,RURAL,FEMALE,582426,15913,85749,171580,254588,272532,116896,167440,283033,323188,275532,301729,28659,17853
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,RURAL,TRANSGENDER,70,0,0,0,4,24,24,38,51,65,57,65,9,5
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,URBAN,ALL SEXES,339535,8296,43941,88626,134850,156681,73131,103823,178725,202368,175559,190250,16045,9676
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,URBAN,MALE,184071,4255,22585,45686,69842,84999,41526,58310,99577,112711,98743,106854,8858,5302
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,URBAN,FEMALE,155408,4041,21356,42940,65007,71664,31587,45487,79095,89601,76762,83342,7186,4374
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,URBAN,TRANSGENDER,56,0,0,0,1,18,18,26,53,56,54,54,1,0
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,JEHANGIRA TEHSIL,TOTAL,ALL SEXES,353764,9665,49747,100863,153137,166489,71317,100925,170507,196406,166504,184618,19626,12439
