province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,utility,source,total_by_source,percent_by_source,count
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,INSIDE WATER,TOTAL INSIDE,172066,88.06,141072
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,INSIDE WATER,TAP,42649,21.83,28312
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,INSIDE WATER,ELECTRIC/HAND PUMP,107690,55.12,94789
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,INSIDE WATER,PROTECTED WELL,12148,6.22,10885
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,INSIDE WATER,UN-PROTECTED WELL,1958,1,1696
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,INSIDE WATER,OTHERS,7621,3.9,5390
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,OUTSIDE WATER,TOTAL OUTSIDE,23321,11.94,18409
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,OUTSIDE WATER,TAP,5349,2.74,4193
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,OUTSIDE WATER,ELECTRIC/HAND PUMP,9315,4.77,6868
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,OUTSIDE WATER,PROTECTED WELL,2011,1.03,1703
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,OUTSIDE WATER,UN-PROTECTED WELL,1605,0.82,1427
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,OUTSIDE WATER,SPRING,2324,1.19,2146
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,OUTSIDE WATER,CANAL/RIVER/POND,286,0.15,236
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,OUTSIDE WATER,OTHERS,2431,1.24,1836
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,COOKING FUEL,WOOD,92059,47.12,4193
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,COOKING FUEL,GAS,96294,49.28,6868
KHYBER PAKTUNKHWA,017,NOWSHERA DISTRICT,NOWSHERA DISTRICT,TOTAL,OWNED,159481,81.62,COOKING FUEL,KEROSENE OIL,228,0.12,1703
