province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up,area_acre
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,NA,NA,NA,YES,PESHAWAR DISTRICT,NA,2297375,1172995,1124167,213,45.58,61.94,28.72,26.76,233139,107003,20,144109,47232,18,40163,12302,4,2293546,3829,1563760,0,99231,396858,856950,270551
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,NA,NA,YES,PESHAWAR TEHSIL,NA,2297375,1172995,1124167,213,45.58,61.94,28.72,26.76,233139,107003,20,144109,47232,18,40163,12302,4,2293546,3829,1563760,0,99231,396858,856950,270551
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,NA,YES,BADBHER QH,NA,689958,349849,340022,87,40.37,58.66,21.94,26.44,67705,25211,6,39722,9526,8,8622,1635,2,689427,531,463526,323296,29810,101132,248719,105553
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,ADE ZAI SHER KERA PC,YES,ADE ZAI SHER KERA PC,NA,22683,10991,11692,0,57.16,82.31,35.08,0,2969,1594,0,2134,715,0,395,96,0,22672,11,15772,11269,1352,3213,9527,6228
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,ADE ZAI SHER KERA PC,NO,ADE ZAI SHER KERA,0000270,11537,5508,6029,0,53.28,76.97,33.43,0,1300,645,0,889,301,0,137,27,0,11536,1,7978,5586,670,1369,4817,2972
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,ADE ZAI SHER KERA PC,NO,MUSHTARIKA SHER KERA,0000271,11146,5483,5663,0,61.14,87.51,36.83,0,1669,949,0,1245,414,0,258,69,0,11136,10,7794,5683,682,1844,4710,3256
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,AHMAD KHEL PC,YES,AHMAD KHEL PC,NA,23411,12128,11276,7,40.72,53.98,26.31,57.14,2605,1218,2,1252,402,1,347,144,0,23128,283,15992,11221,869,3999,8353,752
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,AHMAD KHEL PC,NO,AHMAD KHEL,0000251,23411,12128,11276,7,40.72,53.98,26.31,57.14,2605,1218,2,1252,402,1,347,144,0,23128,283,15992,11221,869,3999,8353,752
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,AZA KHEL PC,YES,AZA KHEL PC,NA,33836,16291,17537,8,26.69,47.9,8.37,25,3120,664,1,1283,103,0,224,24,1,33830,6,22362,15749,1810,2053,12621,19495
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,AZA KHEL PC,NO,AZA KHEL,0000261,33836,16291,17537,8,26.69,47.9,8.37,25,3120,664,1,1283,103,0,224,24,1,33830,6,22362,15749,1810,2053,12621,19495
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,BADH BER HURI ZAI PC,YES,BADH BER HURI ZAI PC,NA,35954,18242,17704,8,45.53,63.28,27.58,37.5,3557,1537,1,2314,692,1,424,73,0,35948,6,24088,16898,1496,6571,13149,17493
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,BADH BER HURI ZAI PC,NO,BADH BER HURI ZAI,0000244,21252,10818,10431,3,56.5,73.63,38.96,66.67,2486,1352,1,1750,616,0,361,68,0,21246,6,14564,10429,915,3903,8850,17493
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,BADH BER HURI ZAI PC,NO,BADH BER HURI ZAI MERA,0000000,14702,7424,7273,5,28.77,47.23,10.38,20,1071,185,0,564,76,1,63,5,0,14702,0,9524,6469,581,2668,4299,0
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,BADH-BER MARYAM ZAI PC,YES,BADH-BER MARYAM ZAI PC,NA,26961,13813,13143,5,53.43,70.95,35.25,60,2742,1412,1,2410,1011,1,573,149,0,26961,0,18507,13248,1170,6596,10895,3438
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,BADH-BER MARYAM ZAI PC,NO,BADH-BER MARYAM ZAI,0000245,26961,13813,13143,5,53.43,70.95,35.25,60,2742,1412,1,2410,1011,1,573,149,0,26961,0,18507,13248,1170,6596,10895,3438
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,BAGH MIAN KHEL PC,YES,BAGH MIAN KHEL PC,NA,15928,7888,8040,0,44.44,67.23,22.63,0,1879,701,0,1124,216,0,184,25,0,15928,0,10935,7847,795,1636,6426,3145
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,BAGH MIAN KHEL PC,NO,BAGH MIAN KHEL,0000265,782,385,397,0,51.38,82.51,22.34,0,56,17,0,97,4,0,17,3,0,782,0,545,387,48,43,316,144
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,BAGH MIAN KHEL PC,NO,PASSANI,0000264,10084,4997,5087,0,45.16,67.34,23.89,0,1279,536,0,731,183,0,138,18,0,10084,0,6873,4926,517,658,3878,956
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,BAGH MIAN KHEL PC,NO,YOUSAF KHEL,0000263,5062,2506,2556,0,41.97,64.67,20.21,0,544,148,0,296,29,0,29,4,0,5062,0,3517,2534,230,935,2232,2045
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,BAZID KHEL PC,YES,BAZID KHEL PC,NA,18543,9560,8978,5,42.37,55.45,28.39,0,1639,726,0,778,285,0,205,77,0,18499,44,12791,9025,663,2165,6896,794
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,BAZID KHEL PC,NO,BAZID KHEL,0000250,18543,9560,8978,5,42.37,55.45,28.39,0,1639,726,0,778,285,0,205,77,0,18499,44,12791,9025,663,2165,6896,794
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,DEH BAHADUR PC,YES,DEH BAHADUR PC,NA,12210,6327,5879,4,31.63,46.14,16.18,25,842,263,0,532,96,0,146,19,0,12201,9,8107,5618,444,1524,4144,1405
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,DEH BAHADUR PC,NO,DEH BAHADUR,0000252,12210,6327,5879,4,31.63,46.14,16.18,25,842,263,0,532,96,0,146,19,0,12201,9,8107,5618,444,1524,4144,1405
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,GARI CHANDAN PC,YES,GARI CHANDAN PC,NA,25959,13184,12774,1,32.72,54.13,11.2,0,2568,516,0,1305,101,0,250,19,0,25959,0,17301,12076,1174,4134,9580,5426
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,GARI CHANDAN PC,NO,GARHI BAGHBANAN,0000258,17695,9129,8565,1,29.58,47.43,10.62,0,1593,336,0,757,71,0,135,7,0,17695,0,11736,8041,740,2613,6098,2309
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,GARI CHANDAN PC,NO,GARHI CHANDAN,0000259,7442,3661,3781,0,38.68,68.17,12.43,0,862,166,0,485,24,0,102,9,0,7442,0,5002,3645,385,1346,3154,2206
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,GARI CHANDAN PC,NO,GARHI SHAMSHATO,0000261,822,394,428,0,45.29,81.62,11.34,0,113,14,0,63,6,0,13,3,0,822,0,563,390,49,175,328,911
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,KHULI ZAI PC,YES,KHULI ZAI PC,NA,20395,10183,10207,5,47.23,69.52,26.11,40,2512,1001,1,1264,202,0,244,36,0,20395,0,13658,9606,941,2102,7247,1816
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,KHULI ZAI PC,NO,KHULI ZAI,0000266,20395,10183,10207,5,47.23,69.52,26.11,40,2512,1001,1,1264,202,0,244,36,0,20395,0,13658,9606,941,2102,7247,1816
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,MARYAM ZAI PC,YES,MARYAM ZAI PC,NA,16575,8220,8355,0,24.74,39.78,10.44,0,1173,289,0,474,84,0,87,13,0,16567,8,11394,8105,742,2290,6680,1788
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,MARYAM ZAI PC,NO,MARYAM ZAI,0000260,16575,8220,8355,0,24.74,39.78,10.44,0,1173,289,0,474,84,0,87,13,0,16567,8,11394,8105,742,2290,6680,1788
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,MASHU GAGGAR PC,YES,MASHU GAGGAR PC,NA,74754,37623,37118,13,42.92,63.37,22.77,7.69,7128,2526,0,4400,856,0,999,129,0,74738,16,49799,34090,3042,12771,25645,3307
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,MASHU GAGGAR PC,NO,BEHLOOL ZAI,0000242,5320,2681,2636,3,42.36,67.75,16.91,0,483,88,0,330,44,0,84,6,0,5320,0,3633,2528,249,1909,1959,496
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,MASHU GAGGAR PC,NO,MASHU GAGGAR,0000243,69434,34942,34482,10,42.96,63.02,23.22,10,6645,2438,0,4070,812,0,915,123,0,69418,16,46166,31562,2793,10862,23686,2811
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,MASHUKHEL PC,YES,MASHUKHEL PC,NA,24689,12363,12324,2,37.15,55.56,19.14,0,2336,793,0,1443,592,0,304,41,0,24670,19,16446,11317,1114,2815,9057,7912
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,BADBHER QH,MASHUKHEL PC,NO,ANI ZAI,0000240,2922,1432,1490,0,26.83,40.69,13.91,0,186,68,0,124,51,0,20,3,0,2922,0,1972,1412,144,394,1169,1953
