province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,NA,NA,NA,YES,PESHAWAR DISTRICT,1969823,1025010,944401,412,65.4,75.64,54.23,36.89,210860,146683,57,188354,112457,62,109071,60303,13,1942636,27187,1427254,1055143,92742,409834,833468
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,NA,NA,YES,PESHAWAR TEHSIL,1969823,1025010,944401,412,65.4,75.64,54.23,36.89,210860,146683,57,188354,112457,62,109071,60303,13,1942636,27187,1427254,1055143,92742,409834,833468
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR CANTONMENT,NA,YES,PESHAWAR CANTONMENT,70549,41682,28855,12,87.43,91.21,81.54,41.67,7245,5800,3,14812,6288,1,8104,4599,0,65070,5479,56657,45964,3235,19981,43543
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR CANTONMENT,CHARGE NO 01,YES,CHARGE NO 01,36552,22093,14454,5,89.43,93.79,82.18,60,3452,2993,2,8758,3034,1,4157,2228,0,33553,2999,29245,23740,1532,11966,22613
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 01,10266,6941,3322,3,90.68,94.81,81.05,33.33,907,683,1,3121,630,0,1624,653,0,9706,560,8752,7479,463,4390,7211
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 02,4739,2441,2298,0,88.73,90.98,86.28,0,512,452,0,718,588,0,396,385,0,4208,531,3727,2993,350,1295,2799
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 03,4115,2194,1920,1,84.56,87.42,81.33,100,441,358,1,513,416,0,449,372,0,3549,566,3271,2588,264,82,2406
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 04,4404,2630,1774,0,89.26,94.5,80.77,0,417,384,0,1189,390,0,360,232,0,3851,553,3557,2885,151,1385,2718
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 05,4800,3063,1736,1,85.78,91.8,73.54,100,420,365,0,1316,275,1,568,208,0,4165,635,3895,3213,137,2346,3076
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 06,8228,4824,3404,0,93.13,97.57,86.34,0,755,751,0,1901,735,0,760,378,0,8074,154,6043,4582,167,2468,4403
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR CANTONMENT,CHARGE NO 02,YES,CHARGE NO 02,33997,19589,14401,7,85.29,88.32,80.92,28.57,3793,2807,1,6054,3254,0,3947,2371,0,31517,2480,27412,22224,1703,8015,20930
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR CANTONMENT,CHARGE NO 02,NO,CIRCLE NO 01,5077,2712,2365,0,91.63,95.07,87.6,0,412,477,0,863,538,0,743,542,0,4928,149,4060,3237,410,665,3118
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR CANTONMENT,CHARGE NO 02,NO,CIRCLE NO 02,4233,2690,1538,5,87.26,91.39,79.31,40,503,267,1,1099,281,0,445,308,0,3633,600,3469,2913,178,2044,2796
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR CANTONMENT,CHARGE NO 02,NO,CIRCLE NO 03,3742,2208,1534,0,89.77,95.03,81.48,0,404,351,0,871,268,0,369,206,0,3434,308,2991,2389,124,999,2249
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR CANTONMENT,CHARGE NO 02,NO,CIRCLE NO 04,5489,2856,2632,1,83.05,90.22,75.12,0,689,642,0,842,543,0,337,209,0,4867,622,4277,3240,226,1450,2862
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR CANTONMENT,CHARGE NO 02,NO,CIRCLE NO 05,6206,4100,2105,1,73.22,70.88,78.32,0,933,319,0,906,726,0,686,212,0,5723,483,5486,4741,193,855,4486
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR CANTONMENT,CHARGE NO 02,NO,CIRCLE NO 06,9250,5023,4227,0,89.49,95.12,82.48,0,852,751,0,1473,898,0,1367,894,0,8932,318,7129,5704,572,2002,5419
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR MUNICIPAL CORPORATION,NA,YES,PESHAWAR MUNICIPAL CORPORATION,1893344,980155,912789,400,64.4,74.82,53.2,36.75,203124,140482,54,172784,105498,61,99811,54952,13,1871793,21551,1365711,1005226,88898,388333,786379
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR MUNICIPAL CORPORATION,CHARGE NO 07,YES,CHARGE NO 07,383525,196473,187006,46,62.95,74.46,50.94,30.43,42322,29025,5,32878,19219,6,15560,7456,0,381228,2297,270004,194663,16191,72305,150816
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR MUNICIPAL CORPORATION,CHARGE NO 07,NO,CIRCLE NO 01,9609,4967,4642,0,72.82,82.72,62.3,0,1173,870,0,1012,688,0,685,462,0,9590,19,7148,5356,474,2278,4396
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR MUNICIPAL CORPORATION,CHARGE NO 07,NO,CIRCLE NO 02,15013,7665,7347,1,59.13,68.8,48.97,0,1729,1241,0,1265,780,0,520,284,0,15012,1,10660,7653,608,3377,5351
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR MUNICIPAL CORPORATION,CHARGE NO 07,NO,CIRCLE NO 03,20486,10314,10172,0,67.46,81.21,53.79,0,2664,1821,0,1957,1319,0,868,404,0,20426,60,14537,10387,851,4034,8100
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR TEHSIL,PESHAWAR MUNICIPAL CORPORATION,CHARGE NO 07,NO,CIRCLE NO 04,20340,10334,10002,4,62.72,75.38,50,75,2378,1611,1,1731,1088,2,869,474,0,20240,100,14296,10734,948,4449,8394
