province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,UNDER CONSTRUCTION,1,6348,1.94,52316,15.97,1037
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,LESS THAN 5 YEARS,1,39722,12.13,52316,15.97,5590
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,5-10 YEARS,1,86000,26.26,52316,15.97,13253
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,11-50 YEARS,1,180668,55.16,52316,15.97,29679
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,OVER 50 YEARS,1,14795,4.52,52316,15.97,2757
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,UNDER CONSTRUCTION,2,6348,1.94,78549,23.98,1408
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,LESS THAN 5 YEARS,2,39722,12.13,78549,23.98,9934
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,5-10 YEARS,2,86000,26.26,78549,23.98,22313
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,11-50 YEARS,2,180668,55.16,78549,23.98,41286
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,OVER 50 YEARS,2,14795,4.52,78549,23.98,3608
KHYBER PAKTUNKHWA,018,PESHAWAR DISTRICT,PESHAWAR DISTRICT,TOTAL,UNDER CONSTRUCTION,3,6348,1.94,66556,20.32,1376
