province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_under_01,group_under_05,group_under_10,group_under_16,group_05_24,group_15_24,group_15_29,group_15_49,group_15_64,group_18_60,group_18_and_up,group_60_and_up,group_65_and_up
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,ALL SEXES,447625,12482,60424,116415,179351,202653,94561,130428,217376,256204,214854,247601,34941,22905
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,MALE,225669,6426,30964,59652,92377,102854,47147,64122,105716,126406,105225,123048,18899,12592
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,FEMALE,221934,6056,29460,56763,86974,99794,47409,66300,111644,129781,109614,124533,16036,10308
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,TRANSGENDER,22,0,0,0,0,5,5,6,16,17,15,20,6,5
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,ALL SEXES,397845,11251,54402,104925,161150,180457,83351,114848,191058,225468,188916,218618,31624,20869
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,MALE,199349,5770,27893,53742,82898,91116,41179,55951,91871,110077,91441,107562,17063,11442
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,FEMALE,198478,5481,26509,51183,78252,89336,42167,58892,99175,115378,97464,111040,14555,9422
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,RURAL,TRANSGENDER,18,0,0,0,0,5,5,5,12,13,11,16,6,5
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,URBAN,ALL SEXES,49780,1231,6022,11490,18201,22196,11210,15580,26318,30736,25938,28983,3317,2036
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,URBAN,MALE,26320,656,3071,5910,9479,11738,5968,8171,13845,16329,13784,15486,1836,1150
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,URBAN,FEMALE,23456,575,2951,5580,8722,10458,5242,7408,12469,14403,12150,13493,1481,886
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,URBAN,TRANSGENDER,4,0,0,0,0,0,0,1,4,4,4,4,0,0
