province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,1 PERSON,1,710,1.17,2.31,5544,9.11,5.43,292
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,2 PERSONS,1,1705,2.8,2.5,5544,9.11,5.43,516
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,3 PERSONS,1,2855,4.69,2.82,5544,9.11,5.43,546
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,4 PERSONS,1,5322,8.74,3.04,5544,9.11,5.43,757
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,5 PERSONS,1,8409,13.81,3.26,5544,9.11,5.43,849
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,6 PERSONS,1,9738,15.99,3.41,5544,9.11,5.43,853
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,7 PERSONS,1,8573,14.08,3.57,5544,9.11,5.43,654
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,8 PERSONS,1,6639,10.9,3.67,5544,9.11,5.43,435
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,9 PERSONS,1,4992,8.2,3.86,5544,9.11,5.43,283
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,11940,19.61,4.38,5544,9.11,5.43,359
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,1 PERSON,2,710,1.17,2.31,14651,24.06,6.49,179
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,2 PERSONS,2,1705,2.8,2.5,14651,24.06,6.49,548
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,3 PERSONS,2,2855,4.69,2.82,14651,24.06,6.49,895
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,4 PERSONS,2,5322,8.74,3.04,14651,24.06,6.49,1615
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,5 PERSONS,2,8409,13.81,3.26,14651,24.06,6.49,2384
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,6 PERSONS,2,9738,15.99,3.41,14651,24.06,6.49,2541
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,7 PERSONS,2,8573,14.08,3.57,14651,24.06,6.49,2145
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,8 PERSONS,2,6639,10.9,3.67,14651,24.06,6.49,1486
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,9 PERSONS,2,4992,8.2,3.86,14651,24.06,6.49,1065
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,10 PERSONS AND ABOVE,2,11940,19.61,4.38,14651,24.06,6.49,1793
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,1 PERSON,3,710,1.17,2.31,14518,23.85,7.08,108
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,2 PERSONS,3,1705,2.8,2.5,14518,23.85,7.08,302
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,3 PERSONS,3,2855,4.69,2.82,14518,23.85,7.08,681
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,4 PERSONS,3,5322,8.74,3.04,14518,23.85,7.08,1315
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,5 PERSONS,3,8409,13.81,3.26,14518,23.85,7.08,2208
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,6 PERSONS,3,9738,15.99,3.41,14518,23.85,7.08,2450
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,7 PERSONS,3,8573,14.08,3.57,14518,23.85,7.08,2089
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,8 PERSONS,3,6639,10.9,3.67,14518,23.85,7.08,1667
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,9 PERSONS,3,4992,8.2,3.86,14518,23.85,7.08,1173
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,10 PERSONS AND ABOVE,3,11940,19.61,4.38,14518,23.85,7.08,2525
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,1 PERSON,4,710,1.17,2.31,11008,18.08,7.57,64
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,2 PERSONS,4,1705,2.8,2.5,11008,18.08,7.57,172
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,3 PERSONS,4,2855,4.69,2.82,11008,18.08,7.57,375
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,4 PERSONS,4,5322,8.74,3.04,11008,18.08,7.57,803
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,5 PERSONS,4,8409,13.81,3.26,11008,18.08,7.57,1429
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,6 PERSONS,4,9738,15.99,3.41,11008,18.08,7.57,1836
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,7 PERSONS,4,8573,14.08,3.57,11008,18.08,7.57,1585
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,8 PERSONS,4,6639,10.9,3.67,11008,18.08,7.57,1334
