province_name,district_code,district_name,area_name,area_type,area_sq_km,total_pop,total_male,total_female,total_trans,sex_ratio,pop_density,pct_urban,avg_hh_size,total_pop_98,avg_annual_growth
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,1586,759609,386082,373508,19,103.37,478.95,0,8.44,434563,2.98
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,RURAL,NA,759609,386082,373508,19,103.37,NA,NA,8.44,434563,2.98
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,ALPURI TEHSIL,TOTAL,1105,508361,257321,251029,11,102.51,460.06,NA,8.22,297718,2.85
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,ALPURI TEHSIL,RURAL,NA,508361,257321,251029,11,102.51,NA,NA,8.22,297718,2.85
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,ALPURI TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,BISHAM TEHSIL,TOTAL,184,105950,54440,51505,5,105.7,575.82,NA,8.41,57739,3.24
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,BISHAM TEHSIL,RURAL,NA,105950,54440,51505,5,105.7,NA,NA,8.41,57739,3.24
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,BISHAM TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,PURAN TEHSIL,TOTAL,297,145298,74321,70974,3,104.72,489.22,0,9.38,79106,3.25
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,PURAN TEHSIL,RURAL,NA,145298,74321,70974,3,104.72,NA,NA,9.38,79106,3.25
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,PURAN TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
