province_name,district_code,district_name,area_name,area_type,gender,ed_attainment,age_group,count
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,TOTAL,10 AND ABOVE,159288
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,TOTAL,10 - 14,55569
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,TOTAL,15 - 19,34027
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,TOTAL,20 - 24,20020
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,TOTAL,25 - 29,14964
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,TOTAL,30 - 34,10485
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,TOTAL,35 - 39,8010
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,TOTAL,40 - 44,6013
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,TOTAL,45 - 49,3544
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,TOTAL,50 - 54,2385
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,TOTAL,55 - 59,1545
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,TOTAL,60 - 64,1246
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,TOTAL,65 - 69,682
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,TOTAL,70 - 74,404
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,TOTAL,75 AND ABOVE,394
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,BELOW PRIMARY,10 AND ABOVE,32176
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,BELOW PRIMARY,10 - 14,19403
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,BELOW PRIMARY,15 - 19,3314
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,BELOW PRIMARY,20 - 24,2120
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,BELOW PRIMARY,25 - 29,2064
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,BELOW PRIMARY,30 - 34,1514
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,BELOW PRIMARY,35 - 39,1147
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,BELOW PRIMARY,40 - 44,778
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,BELOW PRIMARY,45 - 49,568
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,BELOW PRIMARY,50 - 54,410
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,BELOW PRIMARY,55 - 59,282
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,BELOW PRIMARY,60 - 64,210
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,BELOW PRIMARY,65 - 69,164
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,BELOW PRIMARY,70 - 74,99
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,BELOW PRIMARY,75 AND ABOVE,103
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,PRIMARY,10 AND ABOVE,49464
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,PRIMARY,10 - 14,28765
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,PRIMARY,15 - 19,6779
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,PRIMARY,20 - 24,3469
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,PRIMARY,25 - 29,3079
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,PRIMARY,30 - 34,2386
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,PRIMARY,35 - 39,1693
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,PRIMARY,40 - 44,1164
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,PRIMARY,45 - 49,719
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,PRIMARY,50 - 54,468
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,PRIMARY,55 - 59,307
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,PRIMARY,60 - 64,289
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,PRIMARY,65 - 69,156
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,PRIMARY,70 - 74,89
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,PRIMARY,75 AND ABOVE,101
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MIDDLE,10 AND ABOVE,30121
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MIDDLE,10 - 14,7244
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MIDDLE,15 - 19,11402
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MIDDLE,20 - 24,3157
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MIDDLE,25 - 29,2265
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MIDDLE,30 - 34,1825
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MIDDLE,35 - 39,1522
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MIDDLE,40 - 44,1098
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MIDDLE,45 - 49,544
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MIDDLE,50 - 54,389
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MIDDLE,55 - 59,236
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MIDDLE,60 - 64,218
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MIDDLE,65 - 69,110
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MIDDLE,70 - 74,57
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MIDDLE,75 AND ABOVE,54
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MATRIC,10 AND ABOVE,23968
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MATRIC,10 - 14,0
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MATRIC,15 - 19,9389
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MATRIC,20 - 24,4383
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,ALL SEXES,MATRIC,25 - 29,2740
