province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,UNDER CONSTRUCTION,1,2252,2.82,9109,11.4,180
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,LESS THAN 5 YEARS,1,13328,16.69,9109,11.4,1222
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,5-10 YEARS,1,28690,35.92,9109,11.4,2767
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,11-50 YEARS,1,33590,42.05,9109,11.4,4641
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,OVER 50 YEARS,1,2020,2.53,9109,11.4,299
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,UNDER CONSTRUCTION,2,2252,2.82,33158,41.51,926
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,LESS THAN 5 YEARS,2,13328,16.69,33158,41.51,5967
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,5-10 YEARS,2,28690,35.92,33158,41.51,12028
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,11-50 YEARS,2,33590,42.05,33158,41.51,13400
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,OVER 50 YEARS,2,2020,2.53,33158,41.51,837
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,UNDER CONSTRUCTION,3,2252,2.82,18013,22.55,463
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,LESS THAN 5 YEARS,3,13328,16.69,18013,22.55,2950
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,5-10 YEARS,3,28690,35.92,18013,22.55,6541
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,11-50 YEARS,3,33590,42.05,18013,22.55,7664
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,OVER 50 YEARS,3,2020,2.53,18013,22.55,395
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,UNDER CONSTRUCTION,4,2252,2.82,10970,13.73,378
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,LESS THAN 5 YEARS,4,13328,16.69,10970,13.73,1779
KHYBER PAKTUNKHWA,021,SHANGLA DISTRICT,SHANGLA DISTRICT,TOTAL,5-10 YEARS,4,28690,35.92,10970,13.73,4032
