province_name,district_code,district_name,area_name,area_type,area_sq_km,total_pop,total_male,total_female,total_trans,sex_ratio,pop_density,pct_urban,avg_hh_size,total_pop_98,avg_annual_growth
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,TOTAL,5337,2308624,1171947,1136544,133,103.11,432.57,30.14,8.37,1257602,3.24
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,RURAL,NA,1612803,813754,798984,65,101.85,NA,NA,8.49,1083734,2.11
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,URBAN,NA,695821,358193,337560,68,106.11,NA,NA,8.11,173868,7.56
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,BABUZAI TEHSIL,TOTAL,297,599324,309706,289557,61,106.96,2017.93,55.29,8.08,321995,3.32
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,BABUZAI TEHSIL,RURAL,NA,267947,138202,129734,11,106.53,NA,NA,8.17,148127,3.16
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,BABUZAI TEHSIL,URBAN,NA,331377,171504,159823,50,107.31,NA,NA,8.01,173868,3.45
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,BARIKOT TEHSIL,TOTAL,419,183777,93073,90697,7,102.62,438.61,51.16,8.05,99975,3.25
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,BARIKOT TEHSIL,RURAL,NA,89758,45747,44009,2,103.95,NA,NA,8.26,99975,-0.56
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,BARIKOT TEHSIL,URBAN,NA,94019,47326,46688,5,101.37,NA,NA,7.86,NA,NA
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,BEHRAIN TEHSIL,TOTAL,2899,248422,127882,120520,20,106.11,85.69,24.91,8.26,125247,3.66
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,BEHRAIN TEHSIL,RURAL,NA,186533,96057,90460,16,106.19,NA,NA,8.39,125247,2.11
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,BEHRAIN TEHSIL,URBAN,NA,61889,31825,30060,4,105.87,NA,NA,7.91,NA,NA
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,CHARBAGH TEHSIL,TOTAL,161,126001,64909,61086,6,106.26,782.61,NA,8.18,73682,2.86
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,CHARBAGH TEHSIL,RURAL,NA,126001,64909,61086,6,106.26,NA,NA,8.18,73682,2.86
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,CHARBAGH TEHSIL,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,KABAL TEHSIL,TOTAL,485,420001,208981,211007,13,99.04,865.98,28.09,8.71,244142,2.89
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,KABAL TEHSIL,RURAL,NA,302028,148325,153695,8,96.51,NA,NA,8.84,244142,1.12
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,KABAL TEHSIL,URBAN,NA,117973,60656,57312,5,105.83,NA,NA,8.4,NA,NA
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,KHAWAZAKHELA TEHSIL,TOTAL,392,265500,136046,129450,4,105.1,677.3,18.09,8.27,141193,3.37
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,KHAWAZAKHELA TEHSIL,RURAL,NA,217484,110752,106728,4,103.77,NA,NA,8.18,141193,2.3
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,KHAWAZAKHELA TEHSIL,URBAN,NA,48016,25294,22722,0,111.32,NA,NA,8.7,NA,NA
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,MATTA TEHSIL,TOTAL,684,465599,231350,234227,22,98.77,680.7,9.14,8.8,251368,3.29
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,MATTA TEHSIL,RURAL,NA,423052,209762,213272,18,98.35,NA,NA,8.85,251368,2.77
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,MATTA TEHSIL,URBAN,NA,42547,21588,20955,4,103.02,NA,NA,8.38,NA,NA
