province_name,district_code,district_name,area_name,area_type,information_source,count
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,266032
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,TOTAL,RADIO,19961
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,TOTAL,TV,62721
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,TOTAL,NEWSPAPER,11915
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,TOTAL,MOBILE,11977
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,TOTAL,COMPUTER/INTERNET,264670
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,182579
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,RURAL,RADIO,14847
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,RURAL,TV,28819
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,RURAL,NEWSPAPER,6235
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,RURAL,MOBILE,5912
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,RURAL,COMPUTER/INTERNET,181771
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,83453
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,URBAN,RADIO,5114
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,URBAN,TV,33902
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,URBAN,NEWSPAPER,5680
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,URBAN,MOBILE,6065
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,SWAT DISTRICT,URBAN,COMPUTER/INTERNET,82899
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,BABUZAI TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,71624
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,BABUZAI TEHSIL,TOTAL,RADIO,2504
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,BABUZAI TEHSIL,TOTAL,TV,30561
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,BABUZAI TEHSIL,TOTAL,NEWSPAPER,4319
KHYBER PAKTUNKHWA,022,SWAT DISTRICT,BABUZAI TEHSIL,TOTAL,MOBILE,5616
