province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up,area_acre
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,NA,NA,NA,YES,LOWER DIR DISTRICT,NA,1395768,688978,706745,45,56.96,75.21,39.92,28.89,164393,104391,7,100771,38975,0,28218,8821,0,1395314,454,928113,640745,70814,198435,522428,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,NA,NA,YES,ADENZAI SUB-DIVISION,NA,317526,160421,157093,12,62.09,76.97,47.18,25,38456,27263,3,26424,10664,0,8211,2806,0,317403,123,214939,150024,15390,44108,131659,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,ADENZAI TEHSIL,NA,YES,ADENZAI TEHSIL,NA,317526,160421,157093,12,62.09,76.97,47.18,25,38456,27263,3,26424,10664,0,8211,2806,0,317403,123,214939,150024,15390,44108,131659,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,ADENZAI TEHSIL,ASBANR UC,YES,ASBANR UC,NA,45904,22583,23320,1,42.73,62.03,25.09,100,4870,2233,1,2200,483,0,396,114,0,45896,8,29469,19831,2348,6043,17147,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,ADENZAI TEHSIL,ASBANR UC,NO,ALI DADAI,0000000,559,266,293,0,41.29,55.95,29.27,0,63,32,0,17,5,0,1,1,0,559,0,373,240,32,10,198,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,ADENZAI TEHSIL,ASBANR UC,NO,ANGARO BABA,0000000,883,444,439,0,53.21,73.63,33.33,0,153,87,0,50,7,0,5,2,0,883,0,592,382,49,126,329,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,ADENZAI TEHSIL,ASBANR UC,NO,ASBANR BALA,0000000,385,184,201,0,50.83,68.85,32.5,0,59,27,0,16,1,0,1,2,0,385,0,242,173,15,85,146,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,ADENZAI TEHSIL,ASBANR UC,NO,ASBANR BAZAR,0000000,3457,1765,1692,0,65.88,80.34,50.98,0,368,290,0,316,112,0,76,29,0,3449,8,2286,1603,176,588,1396,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,ADENZAI TEHSIL,ASBANR UC,NO,ASBANR QILA,0000000,2003,1065,938,0,61.47,75.56,45.62,0,231,158,0,200,54,0,48,13,0,2003,0,1430,994,92,479,890,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,ADENZAI TEHSIL,ASBANR UC,NO,AWI SHAH,0000000,2680,1374,1306,0,57.75,71.64,44.08,0,310,243,0,201,69,0,55,19,0,2680,0,1742,1160,130,413,986,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,ADENZAI TEHSIL,ASBANR UC,NO,BABOZEE,0000000,1493,719,774,0,25.36,46.88,8.43,0,134,33,0,36,3,0,1,0,0,1493,0,911,592,71,176,471,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,ADENZAI TEHSIL,ASBANR UC,NO,BAGH,0000000,1125,542,583,0,33.71,54.65,15.3,0,143,53,0,35,4,0,1,0,0,1125,0,712,469,46,76,400,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,ADENZAI TEHSIL,ASBANR UC,NO,BAMBOLAI BALA,0000000,2879,1451,1428,0,51.15,67.7,35.25,0,297,172,0,155,34,0,32,4,0,2879,0,1914,1322,171,310,1218,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,ADENZAI TEHSIL,ASBANR UC,NO,BAMBOLAI PAYEEN,0000000,1983,1004,979,0,48.8,70.15,27.69,0,211,111,0,137,21,0,51,11,0,1983,0,1328,911,102,359,882,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,ADENZAI TEHSIL,ASBANR UC,NO,BANDA SAR,0000000,242,132,110,0,56.05,70.67,42.68,0,32,16,0,9,1,0,2,0,0,242,0,157,97,12,0,90,0
KHYBER PAKTUNKHWA,023,LOWER DIR DISTRICT,ADENZAI SUB-DIVISION,ADENZAI TEHSIL,ASBANR UC,NO,BANDAH SHAH,0000000,902,446,456,0,58.49,74.28,43.92,0,136,101,0,52,11,0,10,0,0,902,0,648,396,57,111,327,0
