province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up,area_acre
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,NA,NA,NA,YES,UPPER DIR DISTRICT,NA,903301,443933,459329,39,44.93,63.9,27.6,25.64,90426,44693,2,42127,12590,1,9413,2248,0,903063,238,563985,379354,42441,109621,304206,0
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,NA,NA,YES,DIR SUB-DIVISION,NA,395425,195425,199986,14,45.19,63.31,28.29,7.14,39025,19678,0,18987,5902,0,4328,1058,0,395276,149,251233,167891,18224,50913,135026,0
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,DIR TEHSIL,NA,YES,DIR TEHSIL,NA,395425,195425,199986,14,45.19,63.31,28.29,7.14,39025,19678,0,18987,5902,0,4328,1058,0,395276,149,251233,167891,18224,50913,135026,0
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,DIR TEHSIL,BARAWAL BANDI UC,YES,BARAWAL BANDI UC,NA,33922,16350,17572,0,50.51,70.05,33.5,0,3495,1930,0,1663,761,0,424,101,0,33894,28,22039,14755,1710,3730,11434,0
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,DIR TEHSIL,BARAWAL BANDI UC,NO,ASARMARA,0000000,457,228,229,0,45.74,65.15,28.67,0,34,15,0,18,6,0,3,0,0,457,0,282,199,30,17,158,0
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,DIR TEHSIL,BARAWAL BANDI UC,NO,BANDI BALA,0000000,1979,974,1005,0,70.09,86.02,54.81,0,219,184,0,181,103,0,59,13,0,1979,0,1344,950,84,254,761,0
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,DIR TEHSIL,BARAWAL BANDI UC,NO,BANDI KASS,0000000,594,270,324,0,43.16,66.87,24.76,0,54,30,0,25,4,0,1,0,0,594,0,373,244,27,99,186,0
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,DIR TEHSIL,BARAWAL BANDI UC,NO,BANDI PAYEEN,0000000,3303,1606,1697,0,67.75,83.09,53.01,0,390,331,0,319,181,0,119,38,0,3294,9,2245,1583,163,611,1222,0
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,DIR TEHSIL,BARAWAL BANDI UC,NO,CHINDU KOT,0000000,1766,851,915,0,33.95,61.1,10.69,0,176,20,0,50,1,0,1,0,0,1766,0,1181,758,110,56,624,0
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,DIR TEHSIL,BARAWAL BANDI UC,NO,CHIPATRARA,0000000,2471,1274,1197,0,30.87,45.64,15.63,0,181,48,0,52,6,0,5,1,0,2471,0,1626,1111,126,524,940,0
