province_name,district_code,district_name,area_name,area_type,total_population,household_size,count
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,TOTAL,936494,TOTAL,119101
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,TOTAL,936494,01,767
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,TOTAL,936494,02,5373
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,TOTAL,936494,03,7488
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,TOTAL,936494,04,9834
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,TOTAL,936494,05,12416
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,TOTAL,936494,06,13741
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,TOTAL,936494,07,14237
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,TOTAL,936494,08,13061
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,TOTAL,936494,09,10582
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,TOTAL,936494,10 AND UP,31602
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,RURAL,894059,TOTAL,113231
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,RURAL,894059,01,712
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,RURAL,894059,02,5096
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,RURAL,894059,03,7090
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,RURAL,894059,04,9243
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,RURAL,894059,05,11711
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,RURAL,894059,06,12955
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,RURAL,894059,07,13457
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,RURAL,894059,08,12403
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,RURAL,894059,09,10141
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,RURAL,894059,10 AND UP,30423
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,URBAN,42435,TOTAL,5870
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,URBAN,42435,01,55
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,URBAN,42435,02,277
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,URBAN,42435,03,398
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,URBAN,42435,04,591
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,URBAN,42435,05,705
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,URBAN,42435,06,786
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,URBAN,42435,07,780
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,URBAN,42435,08,658
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,URBAN,42435,09,441
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,UPPER DIR DISTRICT,URBAN,42435,10 AND UP,1179
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,TOTAL,433371,TOTAL,54648
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,TOTAL,433371,01,358
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,TOTAL,433371,02,2492
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,TOTAL,433371,03,3231
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,TOTAL,433371,04,4474
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,TOTAL,433371,05,5630
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,TOTAL,433371,06,6305
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,TOTAL,433371,07,6682
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,TOTAL,433371,08,5942
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,TOTAL,433371,09,4834
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,TOTAL,433371,10 AND UP,14700
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,RURAL,390936,TOTAL,48778
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,RURAL,390936,01,303
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,RURAL,390936,02,2215
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,RURAL,390936,03,2833
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,RURAL,390936,04,3883
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,RURAL,390936,05,4925
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,RURAL,390936,06,5519
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,RURAL,390936,07,5902
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,RURAL,390936,08,5284
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,RURAL,390936,09,4393
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,RURAL,390936,10 AND UP,13521
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,URBAN,42435,TOTAL,5870
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,URBAN,42435,01,55
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,URBAN,42435,02,277
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,URBAN,42435,03,398
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,URBAN,42435,04,591
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,URBAN,42435,05,705
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,URBAN,42435,06,786
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,URBAN,42435,07,780
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,URBAN,42435,08,658
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,URBAN,42435,09,441
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,DIR SUB-DIVISION,URBAN,42435,10 AND UP,1179
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,TOTAL,183251,TOTAL,24529
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,TOTAL,183251,01,158
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,TOTAL,183251,02,1321
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,TOTAL,183251,03,1809
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,TOTAL,183251,04,2086
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,TOTAL,183251,05,2651
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,TOTAL,183251,06,2883
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,TOTAL,183251,07,2852
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,TOTAL,183251,08,2722
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,TOTAL,183251,09,2268
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,TOTAL,183251,10 AND UP,5779
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,RURAL,183251,TOTAL,24529
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,RURAL,183251,01,158
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,RURAL,183251,02,1321
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,RURAL,183251,03,1809
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,RURAL,183251,04,2086
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,RURAL,183251,05,2651
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,RURAL,183251,06,2883
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,RURAL,183251,07,2852
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,RURAL,183251,08,2722
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,RURAL,183251,09,2268
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,RURAL,183251,10 AND UP,5779
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,URBAN,NA,NA,NA
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,URBAN,NA,NA,NA
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,URBAN,NA,NA,NA
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,URBAN,NA,NA,NA
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,URBAN,NA,NA,NA
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,URBAN,NA,NA,NA
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,URBAN,NA,NA,NA
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,URBAN,NA,NA,NA
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,URBAN,NA,NA,NA
KHYBER PAKTUNKHWA,024,UPPER DIR DISTRICT,SHARINGAL SUB-DIVISION,URBAN,NA,NA,NA
