province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_00_04,age_below_1,age_01,age_02,age_03,age_04,group_05_09,age_05,age_06,age_07,age_08,age_09,group_10_14,age_10,age_11,age_12,age_13,age_14,group_15_19,age_15,age_16,age_17,age_18,age_19,group_20_24,age_20,age_21,age_22,age_23,age_24,group_25_29,age_25,age_26,age_27,age_28,age_29,group_30_34,age_30,age_31,age_32,age_33,age_34,group_35_39,age_35,age_36,age_37,age_38,age_39,group_40_44,age_40,age_41,age_42,age_43,age_44,group_45_49,age_45,age_46,age_47,age_48,age_49,group_50_54,age_50,age_51,age_52,age_53,age_54,group_55_59,age_55,age_56,age_57,age_58,age_59,group_60_64,age_60,age_61,age_62,age_63,age_64,group_65_69,age_65,age_66,age_67,age_68,age_69,group_70_74,age_70,age_71,age_72,age_73,age_74,group_75_and_up
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,MALAKAND PROTECTED AREA,TOTAL,ALL SEXES,717806,109216,19661,21005,22237,23486,22827,111964,23088,21511,22977,21618,22770,91570,19093,19744,17195,18810,16728,78538,17564,16072,15861,14768,14273,62855,14266,12763,12574,12219,11033,55960,12742,11046,11074,10581,10517,44994,10992,9750,8419,8539,7294,34506,7997,6674,6344,7004,6487,30127,7890,6063,5352,5691,5131,23698,5335,4796,4474,4528,4565,21263,5618,4421,3584,4107,3533,15518,3815,2915,2574,3128,3086,14027,3486,2982,2410,2708,2441,8945,2160,1938,1578,1641,1628,6605,1704,1489,1166,1160,1086,8020
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,MALAKAND PROTECTED AREA,TOTAL,MALE,360440,56362,10179,10850,11370,12109,11854,58125,11858,11164,11931,11316,11856,48359,9977,10613,8966,9894,8909,39522,9238,8257,7699,7292,7036,29007,6463,5951,5875,5722,4996,24646,5422,4964,4802,4879,4579,21369,5122,4566,4061,4046,3574,16515,3728,3096,2965,3624,3102,14725,3619,2962,2677,2895,2572,11954,2590,2453,2340,2312,2259,11042,2673,2284,1953,2170,1962,8437,2009,1707,1523,1633,1565,7405,1753,1521,1362,1433,1336,5008,1164,1081,937,915,911,3714,942,831,681,648,612,4250
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,MALAKAND PROTECTED AREA,TOTAL,FEMALE,357333,52854,9482,10155,10867,11377,10973,53839,11230,10347,11046,10302,10914,43211,9116,9131,8229,8916,7819,39007,8322,7812,8162,7475,7236,33842,7801,6810,6699,6495,6037,31312,7319,6082,6272,5702,5937,23623,5869,5184,4358,4492,3720,17989,4269,3578,3379,3379,3384,15400,4269,3101,2675,2796,2559,11744,2745,2343,2134,2216,2306,10220,2945,2137,1630,1937,1571,7078,1804,1208,1051,1495,1520,6618,1730,1461,1047,1275,1105,3937,996,857,641,726,717,2890,761,658,485,512,474,3769
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,MALAKAND PROTECTED AREA,TOTAL,TRANSGENDER,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,0,1,1,6,2,2,0,2,0,2,1,0,0,0,1,2,1,0,0,1,0,2,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,0,0,0,1,4,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,MALAKAND PROTECTED AREA,RURAL,ALL SEXES,650120,99155,17994,18976,20131,21255,20799,101606,21009,19422,20818,19632,20725,83009,17362,17920,15568,17038,15121,71201,15935,14592,14420,13342,12912,56966,12969,11543,11403,11077,9974,50427,11512,9987,9945,9510,9473,40413,9878,8789,7530,7694,6522,31021,7169,6051,5664,6291,5846,27210,7080,5502,4809,5156,4663,21376,4802,4344,4039,4055,4136,19320,5108,4017,3224,3762,3209,14132,3439,2644,2361,2870,2818,12687,3136,2724,2166,2449,2212,8192,1971,1767,1415,1526,1513,6025,1569,1354,1046,1049,1007,7380
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,MALAKAND PROTECTED AREA,RURAL,MALE,325555,51133,9312,9790,10265,10958,10808,52816,10815,10074,10785,10318,10824,43730,9045,9619,8085,8971,8010,35882,8398,7523,7002,6586,6373,26171,5864,5355,5293,5165,4494,22096,4905,4449,4314,4347,4081,19016,4555,4076,3602,3617,3166,14707,3282,2750,2615,3276,2784,13179,3249,2651,2376,2588,2315,10635,2300,2182,2094,2046,2013,9999,2415,2066,1745,1976,1797,7631,1802,1540,1392,1487,1410,6690,1568,1382,1214,1303,1223,4562,1052,973,836,851,850,3382,864,759,621,576,562,3926
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,MALAKAND PROTECTED AREA,RURAL,FEMALE,324534,48022,8682,9186,9866,10297,9991,48790,10194,9348,10033,9314,9901,39279,8317,8301,7483,8067,7111,35310,7533,7066,7418,6755,6538,30789,7103,6186,6110,5910,5480,28329,6606,5538,5631,5163,5391,21395,5322,4713,3928,4076,3356,16312,3887,3301,3049,3014,3061,14029,3829,2851,2433,2568,2348,10741,2502,2162,1945,2009,2123,9320,2693,1951,1478,1786,1412,6498,1635,1104,969,1383,1407,5995,1566,1342,952,1146,989,3630,919,794,579,675,663,2642,704,595,425,473,445,3453
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,MALAKAND PROTECTED AREA,RURAL,TRANSGENDER,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,0,1,1,6,2,2,0,2,0,2,1,0,0,0,1,2,1,0,0,1,0,2,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,MALAKAND PROTECTED AREA,URBAN,ALL SEXES,67686,10061,1667,2029,2106,2231,2028,10358,2079,2089,2159,1986,2045,8561,1731,1824,1627,1772,1607,7337,1629,1480,1441,1426,1361,5889,1297,1220,1171,1142,1059,5533,1230,1059,1129,1071,1044,4581,1114,961,889,845,772,3485,828,623,680,713,641,2917,810,561,543,535,468,2322,533,452,435,473,429,1943,510,404,360,345,324,1386,376,271,213,258,268,1340,350,258,244,259,229,753,189,171,163,115,115,580,135,135,120,111,79,640
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,MALAKAND PROTECTED AREA,URBAN,MALE,34885,5229,867,1060,1105,1151,1046,5309,1043,1090,1146,998,1032,4629,932,994,881,923,899,3640,840,734,697,706,663,2836,599,596,582,557,502,2550,517,515,488,532,498,2353,567,490,459,429,408,1808,446,346,350,348,318,1546,370,311,301,307,257,1319,290,271,246,266,246,1043,258,218,208,194,165,806,207,167,131,146,155,715,185,139,148,130,113,446,112,108,101,64,61,332,78,72,60,72,50,324
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,MALAKAND PROTECTED AREA,URBAN,FEMALE,32799,4832,800,969,1001,1080,982,5049,1036,999,1013,988,1013,3932,799,830,746,849,708,3697,789,746,744,720,698,3053,698,624,589,585,557,2983,713,544,641,539,546,2228,547,471,430,416,364,1677,382,277,330,365,323,1371,440,250,242,228,211,1003,243,181,189,207,183,900,252,186,152,151,159,580,169,104,82,112,113,623,164,119,95,129,116,307,77,63,62,51,54,248,57,63,60,39,29,316
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,MALAKAND PROTECTED AREA,URBAN,TRANSGENDER,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,SAM RANI ZAI SUB-DIVISION,TOTAL,ALL SEXES,303644,44623,8125,8658,8981,9491,9368,47436,9638,9385,9592,9107,9714,38660,8043,8310,7213,7918,7176,32998,7431,6917,6534,6214,5902,26905,6155,5451,5449,5185,4665,23800,5399,4633,4683,4576,4509,19320,4870,4249,3483,3684,3034,14756,3440,2918,2725,2894,2779,13224,3553,2724,2287,2418,2242,10129,2286,2060,1958,1888,1937,9130,2486,1942,1507,1753,1442,6572,1577,1218,1064,1343,1370,6101,1537,1329,995,1132,1108,3810,919,818,629,696,748,2744,726,595,438,488,497,3436
