province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up,area_acre
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,NA,NA,NA,YES,MALAKAND PROTECTED AREA,NA,650120,325555,324534,31,61.8,74.65,49.31,35.48,73455,55793,6,57003,30042,3,16835,9648,0,649745,375,449359,321403,34284,96191,284307,0
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,SAM RANI ZAI SUB-DIVISION,NA,NA,YES,SAM RANI ZAI SUB-DIVISION,NA,303644,152141,151491,12,60.85,73.04,48.97,58.33,32597,24258,3,24999,13557,2,7808,5011,0,303453,191,211585,152043,16091,47383,132801,0
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,SAM RANI ZAI SUB-DIVISION,SAM RANI ZAI TEHSIL,NA,YES,SAM RANI ZAI TEHSIL,NA,303644,152141,151491,12,60.85,73.04,48.97,58.33,32597,24258,3,24999,13557,2,7808,5011,0,303453,191,211585,152043,16091,47383,132801,0
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,SAM RANI ZAI SUB-DIVISION,SAM RANI ZAI TEHSIL,BADRAGA U.C.,YES,BADRAGA U.C.,NA,15636,7914,7722,0,53.58,70.01,36.57,0,1584,1040,0,1433,438,0,487,127,0,15636,0,10729,7780,810,2907,6493,0
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,SAM RANI ZAI SUB-DIVISION,SAM RANI ZAI TEHSIL,BADRAGA U.C.,NO,BADARGA,0000000,15636,7914,7722,0,53.58,70.01,36.57,0,1584,1040,0,1433,438,0,487,127,0,15636,0,10729,7780,810,2907,6493,0
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,SAM RANI ZAI SUB-DIVISION,SAM RANI ZAI TEHSIL,DARGAI U.C.,YES,DARGAI U.C.,NA,33508,16970,16536,2,60.9,71.55,50.29,0,3567,2470,0,2357,1354,0,757,582,0,33407,101,23274,16838,1780,5013,14972,0
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,SAM RANI ZAI SUB-DIVISION,SAM RANI ZAI TEHSIL,DARGAI U.C.,NO,DARGAI,0000000,33508,16970,16536,2,60.9,71.55,50.29,0,3567,2470,0,2357,1354,0,757,582,0,33407,101,23274,16838,1780,5013,14972,0
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,SAM RANI ZAI SUB-DIVISION,SAM RANI ZAI TEHSIL,GHARI USMANI KHEL U.C.,YES,GHARI USMANI KHEL U.C.,NA,20805,10407,10397,1,61.84,74.84,49.5,100,2250,1612,0,1728,976,1,534,420,0,20802,3,14496,10409,1111,2991,9113,0
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,SAM RANI ZAI SUB-DIVISION,SAM RANI ZAI TEHSIL,GHARI USMANI KHEL U.C.,NO,GHARI USMANI KHEL,0000000,20805,10407,10397,1,61.84,74.84,49.5,100,2250,1612,0,1728,976,1,534,420,0,20802,3,14496,10409,1111,2991,9113,0
KHYBER PAKTUNKHWA,025,MALAKAND PROTECTED AREA,SAM RANI ZAI SUB-DIVISION,SAM RANI ZAI TEHSIL,HEROSHAH U.C.,YES,HEROSHAH U.C.,NA,42112,21234,20876,2,61.28,74.96,47.86,100,4193,2912,0,3786,1892,1,1029,735,0,42093,19,29048,20451,1976,5550,18084,0
