province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,ALL SEXES,1886378,100,REGULAR,302681,99.25,1844693
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,ALL SEXES,1886378,100,INSTITUTIONAL,2235,0.73,41451
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,ALL SEXES,1886378,100,HOMELESS,48,0.02,234
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,ALL SEXES,1886378,100,TOTAL,304964,100,1886378
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,MALE,938650,49.76,REGULAR,302681,99.25,908296
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,MALE,938650,49.76,INSTITUTIONAL,2235,0.73,30227
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,MALE,938650,49.76,HOMELESS,48,0.02,127
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,MALE,938650,49.76,TOTAL,304964,100,938650
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,FEMALE,947597,50.23,REGULAR,302681,99.25,936267
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,FEMALE,947597,50.23,INSTITUTIONAL,2235,0.73,11223
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,FEMALE,947597,50.23,HOMELESS,48,0.02,107
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,FEMALE,947597,50.23,TOTAL,304964,100,947597
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,TRANSGENDER,131,0.01,REGULAR,302681,99.25,130
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,TRANSGENDER,131,0.01,INSTITUTIONAL,2235,0.73,1
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,TRANSGENDER,131,0.01,HOMELESS,48,0.02,0
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,TRANSGENDER,131,0.01,TOTAL,304964,100,131
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,ALL SEXES,1395470,100,REGULAR,225604,99.26,1372300
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,ALL SEXES,1395470,100,INSTITUTIONAL,1641,0.72,22990
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,ALL SEXES,1395470,100,HOMELESS,39,0.02,180
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,ALL SEXES,1395470,100,TOTAL,227284,100,1395470
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,MALE,688077,49.31,REGULAR,225604,99.26,672930
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,MALE,688077,49.31,INSTITUTIONAL,1641,0.72,15049
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,MALE,688077,49.31,HOMELESS,39,0.02,98
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,MALE,688077,49.31,TOTAL,227284,100,688077
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,FEMALE,707315,50.69,REGULAR,225604,99.26,699293
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,FEMALE,707315,50.69,INSTITUTIONAL,1641,0.72,7940
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,FEMALE,707315,50.69,HOMELESS,39,0.02,82
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,FEMALE,707315,50.69,TOTAL,227284,100,707315
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,RURAL,TRANSGENDER,78,0.01,REGULAR,225604,99.26,77
