province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,UNDER CONSTRUCTION,1,3763,1.51,24474,9.84,422
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,LESS THAN 5 YEARS,1,20125,8.09,24474,9.84,2033
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,5-10 YEARS,1,53878,21.65,24474,9.84,5188
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,11-50 YEARS,1,160153,64.37,24474,9.84,15699
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,OVER 50 YEARS,1,10886,4.38,24474,9.84,1132
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,UNDER CONSTRUCTION,2,3763,1.51,74931,30.12,1148
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,LESS THAN 5 YEARS,2,20125,8.09,74931,30.12,5846
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,5-10 YEARS,2,53878,21.65,74931,30.12,17200
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,11-50 YEARS,2,160153,64.37,74931,30.12,47785
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,OVER 50 YEARS,2,10886,4.38,74931,30.12,2952
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,UNDER CONSTRUCTION,3,3763,1.51,66515,26.73,1045
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,LESS THAN 5 YEARS,3,20125,8.09,66515,26.73,5934
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,5-10 YEARS,3,53878,21.65,66515,26.73,14821
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,11-50 YEARS,3,160153,64.37,66515,26.73,42066
PUNJAB,039,ATTOCK DISTRICT,ATTOCK DISTRICT,TOTAL,OVER 50 YEARS,3,10886,4.38,66515,26.73,2649
