province_name,district_code,district_name,area_name,area_type,area_sq_km,total_pop,total_male,total_female,total_trans,sex_ratio,pop_density,pct_urban,avg_hh_size,total_pop_98,avg_annual_growth
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,6525,1495463,723178,772166,119,93.66,229.1897,18.96456,5.55,1083725,1.71
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,NA,1211855,581883,629904,68,92.38,NA,NA,5.51,952033,1.28
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,NA,283608,141295,142262,51,99.32,NA,NA,5.74,131692,4.11
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL TEHSIL,TOTAL,2167,656527,315097,341357,73,92.31,302.9659,21.05229,5.6,475500,1.71
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL TEHSIL,RURAL,NA,518313,246589,271680,44,90.76,NA,NA,5.54,394992,1.44
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL TEHSIL,URBAN,NA,138214,68508,69677,29,98.32,NA,NA,5.88,80508,2.88
PUNJAB,040,CHAKWAL DISTRICT,CHOA SAIDAN SHAH TEHSIL,TOTAL,473,141942,69884,72050,8,96.99,300.0888,15.90368,5.63,105256,1.58
PUNJAB,040,CHAKWAL DISTRICT,CHOA SAIDAN SHAH TEHSIL,RURAL,NA,119368,58453,60913,2,95.96,NA,NA,5.59,91838,1.39
PUNJAB,040,CHAKWAL DISTRICT,CHOA SAIDAN SHAH TEHSIL,URBAN,NA,22574,11431,11137,6,102.64,NA,NA,5.85,13418,2.77
PUNJAB,040,CHAKWAL DISTRICT,KALLAR KAHAR TEHSIL,TOTAL,953,169238,83823,85405,10,98.15,177.5845,25.49191,5.29,122548,1.71
PUNJAB,040,CHAKWAL DISTRICT,KALLAR KAHAR TEHSIL,RURAL,NA,126096,61503,64587,6,95.23,NA,NA,5.24,122548,0.15
PUNJAB,040,CHAKWAL DISTRICT,KALLAR KAHAR TEHSIL,URBAN,NA,43142,22320,20818,4,107.21,NA,NA,5.45,NA,NA
PUNJAB,040,CHAKWAL DISTRICT,LAWA TEHSIL,TOTAL,910,125770,60304,65460,6,92.12,138.2088,12.39962,5.54,95626,1.45
PUNJAB,040,CHAKWAL DISTRICT,LAWA TEHSIL,RURAL,NA,110175,52857,57314,4,92.22,NA,NA,5.56,95626,0.75
PUNJAB,040,CHAKWAL DISTRICT,LAWA TEHSIL,URBAN,NA,15595,7447,8146,2,91.42,NA,NA,5.35,NA,NA
PUNJAB,040,CHAKWAL DISTRICT,TALA GANG TEHSIL,TOTAL,2022,401986,194070,207894,22,93.35,198.8061,15.9416,5.56,284795,1.83
PUNJAB,040,CHAKWAL DISTRICT,TALA GANG TEHSIL,RURAL,NA,337903,162481,175410,12,92.63,NA,NA,5.53,247029,1.66
PUNJAB,040,CHAKWAL DISTRICT,TALA GANG TEHSIL,URBAN,NA,64083,31589,32484,10,97.24,NA,NA,5.69,37766,2.82
