province_name,district_code,district_name,area_name,area_type,gender,mother_tongue,count
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,ALL SEXES,TOTAL,1495463
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,ALL SEXES,URDU,24427
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,ALL SEXES,PUNJABI,1395989
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,ALL SEXES,SINDHI,793
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,ALL SEXES,PUSHTO,65856
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,ALL SEXES,BALOCHI,471
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,ALL SEXES,KASHMIRI,1261
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,ALL SEXES,SARAIKI,4678
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,ALL SEXES,HINDKO,936
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,ALL SEXES,BRAHVI,141
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,ALL SEXES,OTHER,911
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,MALE,TOTAL,723178
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,MALE,URDU,12803
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,MALE,PUNJABI,669247
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,MALE,SINDHI,481
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,MALE,PUSHTO,35402
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,MALE,BALOCHI,277
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,MALE,KASHMIRI,779
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,MALE,SARAIKI,3051
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,MALE,HINDKO,549
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,MALE,BRAHVI,89
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,MALE,OTHER,500
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,FEMALE,TOTAL,772166
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,FEMALE,URDU,11620
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,FEMALE,PUNJABI,726632
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,FEMALE,SINDHI,312
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,FEMALE,PUSHTO,30449
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,FEMALE,BALOCHI,194
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,FEMALE,KASHMIRI,482
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,FEMALE,SARAIKI,1627
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,FEMALE,HINDKO,387
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,FEMALE,BRAHVI,52
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,FEMALE,OTHER,411
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,TRANSGENDER,TOTAL,119
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,TRANSGENDER,URDU,4
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,TRANSGENDER,PUNJABI,110
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,TRANSGENDER,SINDHI,0
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,TRANSGENDER,PUSHTO,5
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,TRANSGENDER,BALOCHI,0
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,TRANSGENDER,KASHMIRI,0
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,TRANSGENDER,SARAIKI,0
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,TRANSGENDER,HINDKO,0
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,TRANSGENDER,BRAHVI,0
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,TRANSGENDER,OTHER,0
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,ALL SEXES,TOTAL,1211855
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,ALL SEXES,URDU,9594
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,ALL SEXES,PUNJABI,1151783
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,ALL SEXES,SINDHI,525
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,ALL SEXES,PUSHTO,43569
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,ALL SEXES,BALOCHI,244
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,ALL SEXES,KASHMIRI,1105
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,ALL SEXES,SARAIKI,3481
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,ALL SEXES,HINDKO,738
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,ALL SEXES,BRAHVI,70
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,ALL SEXES,OTHER,746
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,MALE,TOTAL,581883
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,MALE,URDU,4931
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,MALE,PUNJABI,549028
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,MALE,SINDHI,331
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,MALE,PUSHTO,23655
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,MALE,BALOCHI,127
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,MALE,KASHMIRI,696
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,MALE,SARAIKI,2237
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,MALE,HINDKO,418
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,MALE,BRAHVI,46
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,MALE,OTHER,414
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,FEMALE,TOTAL,629904
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,FEMALE,URDU,4663
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,FEMALE,PUNJABI,602689
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,FEMALE,SINDHI,194
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,FEMALE,PUSHTO,19912
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,FEMALE,BALOCHI,117
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,FEMALE,KASHMIRI,409
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,FEMALE,SARAIKI,1244
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,FEMALE,HINDKO,320
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,FEMALE,BRAHVI,24
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,FEMALE,OTHER,332
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,TRANSGENDER,TOTAL,68
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,TRANSGENDER,URDU,0
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,TRANSGENDER,PUNJABI,66
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,TRANSGENDER,SINDHI,0
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,TRANSGENDER,PUSHTO,2
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,TRANSGENDER,BALOCHI,0
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,TRANSGENDER,KASHMIRI,0
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,TRANSGENDER,SARAIKI,0
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,TRANSGENDER,HINDKO,0
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,TRANSGENDER,BRAHVI,0
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,TRANSGENDER,OTHER,0
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,ALL SEXES,TOTAL,283608
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,ALL SEXES,URDU,14833
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,ALL SEXES,PUNJABI,244206
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,ALL SEXES,SINDHI,268
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,ALL SEXES,PUSHTO,22287
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,ALL SEXES,BALOCHI,227
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,ALL SEXES,KASHMIRI,156
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,ALL SEXES,SARAIKI,1197
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,ALL SEXES,HINDKO,198
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,ALL SEXES,BRAHVI,71
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,ALL SEXES,OTHER,165
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,MALE,TOTAL,141295
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,MALE,URDU,7872
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,MALE,PUNJABI,120219
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,URBAN,MALE,SINDHI,150
