province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,facility,source,total_by_facility,percent_by_facility,count
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,OWNED,237871,89.77,KITCHEN,SEPARATE,210548,79.46,191501
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,OWNED,237871,89.77,KITCHEN,SHARED,26254,9.91,23619
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,OWNED,237871,89.77,KITCHEN,NONE,28166,10.63,22751
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,OWNED,237871,89.77,BATH,SEPARATE,197062,74.37,178545
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,OWNED,237871,89.77,BATH,SHARED,40702,15.36,36672
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,OWNED,237871,89.77,BATH,NONE,27204,10.27,22654
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,OWNED,237871,89.77,LATRINE,SEWER,29187,11.02,24623
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,OWNED,237871,89.77,LATRINE,SEPTIC TANK,85619,32.31,77377
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,OWNED,237871,89.77,LATRINE,OPEN DRAIN,13777,5.2,12331
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,OWNED,237871,89.77,LATRINE,PIT WITH SLAB,95273,35.96,88017
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,OWNED,237871,89.77,LATRINE,OTHER,3673,1.39,3197
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,OWNED,237871,89.77,LATRINE,NONE,37439,14.13,32326
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENTED,16628,6.28,KITCHEN,SEPARATE,210548,79.46,13028
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENTED,16628,6.28,KITCHEN,SHARED,26254,9.91,1718
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENTED,16628,6.28,KITCHEN,NONE,28166,10.63,1882
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENTED,16628,6.28,BATH,SEPARATE,197062,74.37,12872
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENTED,16628,6.28,BATH,SHARED,40702,15.36,2460
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENTED,16628,6.28,BATH,NONE,27204,10.27,1296
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENTED,16628,6.28,LATRINE,SEWER,29187,11.02,3687
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENTED,16628,6.28,LATRINE,SEPTIC TANK,85619,32.31,5747
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENTED,16628,6.28,LATRINE,OPEN DRAIN,13777,5.2,827
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENTED,16628,6.28,LATRINE,PIT WITH SLAB,95273,35.96,4653
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENTED,16628,6.28,LATRINE,OTHER,3673,1.39,264
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENTED,16628,6.28,LATRINE,NONE,37439,14.13,1450
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENT FREE,10469,3.95,KITCHEN,SEPARATE,210548,79.46,6019
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENT FREE,10469,3.95,KITCHEN,SHARED,26254,9.91,917
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENT FREE,10469,3.95,KITCHEN,NONE,28166,10.63,3533
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENT FREE,10469,3.95,BATH,SEPARATE,197062,74.37,5645
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENT FREE,10469,3.95,BATH,SHARED,40702,15.36,1570
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENT FREE,10469,3.95,BATH,NONE,27204,10.27,3254
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENT FREE,10469,3.95,LATRINE,SEWER,29187,11.02,877
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENT FREE,10469,3.95,LATRINE,SEPTIC TANK,85619,32.31,2495
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENT FREE,10469,3.95,LATRINE,OPEN DRAIN,13777,5.2,619
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENT FREE,10469,3.95,LATRINE,PIT WITH SLAB,95273,35.96,2603
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENT FREE,10469,3.95,LATRINE,OTHER,3673,1.39,212
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,TOTAL,RENT FREE,10469,3.95,LATRINE,NONE,37439,14.13,3663
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,OWNED,201235,92.85,KITCHEN,SEPARATE,171557,79.16,161376
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,OWNED,201235,92.85,KITCHEN,SHARED,19869,9.17,18628
PUNJAB,040,CHAKWAL DISTRICT,CHAKWAL DISTRICT,RURAL,OWNED,201235,92.85,KITCHEN,NONE,25302,11.67,21231
