province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_under_01,group_under_05,group_under_10,group_under_16,group_05_24,group_15_24,group_15_29,group_15_49,group_15_64,group_18_60,group_18_and_up,group_60_and_up,group_65_and_up
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,1222403,25383,133895,270652,423332,502218,237422,338650,623866,753467,647085,747300,106848,70245
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,601406,12827,68106,138523,217564,254413,117546,163495,296272,360745,306350,357475,54577,35688
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,620862,12556,65789,132129,205765,247770,119841,175101,327487,392599,340625,389700,52253,34545
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TRANSGENDER,135,0,0,0,3,35,35,54,107,123,110,125,18,12
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,ALL SEXES,868106,18559,97297,100174,305694,359542,168759,237541,432346,526094,449113,525098,80818,53932
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,MALE,419475,9410,49560,95827,156680,180354,82138,111616,198198,244338,205265,243907,41126,27361
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,FEMALE,448550,9149,47737,0,149012,179165,86598,125892,234083,281682,243782,281117,39682,26564
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,TRANSGENDER,81,0,0,74651,2,23,23,33,65,74,66,74,10,7
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,ALL SEXES,354297,6824,36598,38349,117638,142676,68663,101109,191520,227373,197972,222202,26030,16313
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,MALE,181931,3417,18546,36302,60884,74059,35408,51879,98074,116407,101085,113568,13451,8327
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,FEMALE,172312,3407,18052,0,56753,68605,33243,49209,93404,110917,96843,108583,12571,7981
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,TRANSGENDER,54,0,0,0,1,12,12,21,42,49,44,51,8,5
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,ALL SEXES,238465,4514,24844,50945,80682,97903,46802,67381,124623,148758,128131,147555,20691,13762
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,MALE,118898,2263,12594,26075,41519,50027,23509,33371,60944,72884,62288,72122,10498,6902
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,FEMALE,119540,2251,12250,24870,39163,47869,23286,34001,63658,75852,65823,75408,10187,6855
