province_name,district_code,district_name,area_name,area_type,gender,work_activity,age_group,count
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,10 AND ABOVE,951751
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,10 - 14,128039
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,15 - 19,123242
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,20 - 24,114180
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,25 - 29,101228
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,30 - 34,91726
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,35 - 39,76852
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,40 - 44,62505
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,45 - 49,54133
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,50 - 54,52765
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,55 - 59,40233
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,60 - 64,36603
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,65 - 69,25464
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,70 - 74,18870
