province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
PUNJAB,041,JHELUM DISTRICT,NA,NA,NA,YES,JHELUM DISTRICT,58280,50594,6332,1354,49069,57538,42070,55659,56563,56357,5.79
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,NA,NA,YES,DINA TEHSIL,11468,10919,288,261,10128,11340,7146,10974,11278,11296,5.92
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,DINA MC,NA,YES,DINA MC,9169,8744,177,248,8656,9072,5662,8771,8988,9093,6.14
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,DINA MC,CHARGE NO 04,YES,CHARGE NO 04,3731,3539,52,140,3619,3713,2648,3595,3685,3718,6.32
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,DINA MC,CHARGE NO 04,NO,CIRCLE NO 01,1960,1921,34,5,1908,1951,1564,1904,1941,1957,6.14
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,DINA MC,CHARGE NO 04,NO,CIRCLE NO 02,1771,1618,18,135,1711,1762,1084,1691,1744,1761,6.53
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,DINA MC,CHARGE NO 05,YES,CHARGE NO 05,5438,5205,125,108,5037,5359,3014,5176,5303,5375,6.01
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,DINA MC,CHARGE NO 05,NO,CIRCLE NO 01,2297,2216,52,29,2175,2277,936,2146,2234,2255,5.83
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,DINA MC,CHARGE NO 05,NO,CIRCLE NO 02,3141,2989,73,79,2862,3082,2078,3030,3069,3120,6.15
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,MANGLA CANTONMENT,NA,YES,MANGLA CANTONMENT,2299,2175,111,13,1472,2268,1484,2203,2290,2203,5.04
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,MANGLA CANTONMENT,CHARGE NO 01,YES,CHARGE NO 01,2299,2175,111,13,1472,2268,1484,2203,2290,2203,5.04
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,MANGLA CANTONMENT,CHARGE NO 01,NO,CIRCLE NO 01,586,583,2,1,400,580,409,585,586,586,5.05
