province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,1222403,100,REGULAR,203654,99.26,1197421
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,1222403,100,INSTITUTIONAL,1493,0.73,24893
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,1222403,100,HOMELESS,31,0.02,89
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,ALL SEXES,1222403,100,TOTAL,205178,100,1222403
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,601406,49.2,REGULAR,203654,99.26,581736
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,601406,49.2,INSTITUTIONAL,1493,0.73,19620
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,601406,49.2,HOMELESS,31,0.02,50
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,601406,49.2,TOTAL,205178,100,601406
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,620862,50.79,REGULAR,203654,99.26,615556
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,620862,50.79,INSTITUTIONAL,1493,0.73,5267
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,620862,50.79,HOMELESS,31,0.02,39
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,FEMALE,620862,50.79,TOTAL,205178,100,620862
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TRANSGENDER,135,0.01,REGULAR,203654,99.26,129
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TRANSGENDER,135,0.01,INSTITUTIONAL,1493,0.73,6
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TRANSGENDER,135,0.01,HOMELESS,31,0.02,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,TRANSGENDER,135,0.01,TOTAL,205178,100,135
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,ALL SEXES,868106,100,REGULAR,145374,99.52,860078
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,ALL SEXES,868106,100,INSTITUTIONAL,682,0.47,7970
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,ALL SEXES,868106,100,HOMELESS,16,0.01,58
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,ALL SEXES,868106,100,TOTAL,146072,100,868106
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,MALE,419475,48.32,REGULAR,145374,99.52,414248
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,MALE,419475,48.32,INSTITUTIONAL,682,0.47,5201
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,MALE,419475,48.32,HOMELESS,16,0.01,26
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,MALE,419475,48.32,TOTAL,146072,100,419475
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,FEMALE,448550,51.67,REGULAR,145374,99.52,445753
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,FEMALE,448550,51.67,INSTITUTIONAL,682,0.47,2765
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,FEMALE,448550,51.67,HOMELESS,16,0.01,32
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,FEMALE,448550,51.67,TOTAL,146072,100,448550
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,TRANSGENDER,81,0.01,REGULAR,145374,99.52,77
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,TRANSGENDER,81,0.01,INSTITUTIONAL,682,0.47,4
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,TRANSGENDER,81,0.01,HOMELESS,16,0.01,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,RURAL,TRANSGENDER,81,0.01,TOTAL,146072,100,81
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,ALL SEXES,354297,100,REGULAR,58280,98.6,337343
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,ALL SEXES,354297,100,INSTITUTIONAL,811,1.37,16923
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,ALL SEXES,354297,100,HOMELESS,15,0.03,31
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,ALL SEXES,354297,100,TOTAL,59106,100,354297
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,MALE,181931,51.35,REGULAR,58280,98.6,167488
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,MALE,181931,51.35,INSTITUTIONAL,811,1.37,14419
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,MALE,181931,51.35,HOMELESS,15,0.03,24
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,MALE,181931,51.35,TOTAL,59106,100,181931
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,FEMALE,172312,48.63,REGULAR,58280,98.6,169803
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,FEMALE,172312,48.63,INSTITUTIONAL,811,1.37,2502
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,FEMALE,172312,48.63,HOMELESS,15,0.03,7
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,FEMALE,172312,48.63,TOTAL,59106,100,172312
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,TRANSGENDER,54,0.02,REGULAR,58280,98.6,52
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,TRANSGENDER,54,0.02,INSTITUTIONAL,811,1.37,2
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,TRANSGENDER,54,0.02,HOMELESS,15,0.03,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,URBAN,TRANSGENDER,54,0.02,TOTAL,59106,100,54
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,ALL SEXES,238465,100,REGULAR,38505,99.07,230948
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,ALL SEXES,238465,100,INSTITUTIONAL,359,0.92,7516
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,ALL SEXES,238465,100,HOMELESS,1,0,1
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,ALL SEXES,238465,100,TOTAL,38865,100,238465
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,MALE,118898,49.86,REGULAR,38505,99.07,112580
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,MALE,118898,49.86,INSTITUTIONAL,359,0.92,6317
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,MALE,118898,49.86,HOMELESS,1,0,1
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,MALE,118898,49.86,TOTAL,38865,100,118898
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,FEMALE,119540,50.13,REGULAR,38505,99.07,118341
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,FEMALE,119540,50.13,INSTITUTIONAL,359,0.92,1199
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,FEMALE,119540,50.13,HOMELESS,1,0,0
PUNJAB,041,JHELUM DISTRICT,DINA TEHSIL,TOTAL,FEMALE,119540,50.13,TOTAL,38865,100,119540
