province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,UNDER CONSTRUCTION,2659,1.53,WALL,BAKED BRICKS/BLOCKS/STONES,164854,95.02,2434
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,UNDER CONSTRUCTION,2659,1.53,WALL,UNBAKED BRICKS/MUD,6171,3.56,102
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,UNDER CONSTRUCTION,2659,1.53,WALL,WOOD/BAMBOO,1082,0.62,63
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,UNDER CONSTRUCTION,2659,1.53,WALL,OTHERS,1394,0.8,60
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,UNDER CONSTRUCTION,2659,1.53,ROOF,RCC/RBC,62471,36.01,1131
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,UNDER CONSTRUCTION,2659,1.53,ROOF,CEMENT/IRON SHEETS,10056,5.8,201
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,UNDER CONSTRUCTION,2659,1.53,ROOF,GARDER/T.IRON,69433,40.02,870
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,UNDER CONSTRUCTION,2659,1.53,ROOF,WOOD/BAMBOO,29948,17.26,414
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,UNDER CONSTRUCTION,2659,1.53,ROOF,OTHERS,1593,0.92,43
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,LESS THAN 5 YEARS,13650,7.87,WALL,BAKED BRICKS/BLOCKS/STONES,164854,95.02,12871
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,LESS THAN 5 YEARS,13650,7.87,WALL,UNBAKED BRICKS/MUD,6171,3.56,503
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,LESS THAN 5 YEARS,13650,7.87,WALL,WOOD/BAMBOO,1082,0.62,147
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,LESS THAN 5 YEARS,13650,7.87,WALL,OTHERS,1394,0.8,129
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,LESS THAN 5 YEARS,13650,7.87,ROOF,RCC/RBC,62471,36.01,7661
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,LESS THAN 5 YEARS,13650,7.87,ROOF,CEMENT/IRON SHEETS,10056,5.8,1324
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,LESS THAN 5 YEARS,13650,7.87,ROOF,GARDER/T.IRON,69433,40.02,3469
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,LESS THAN 5 YEARS,13650,7.87,ROOF,WOOD/BAMBOO,29948,17.26,1050
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,LESS THAN 5 YEARS,13650,7.87,ROOF,OTHERS,1593,0.92,146
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,5-10 YEARS,36729,21.17,WALL,BAKED BRICKS/BLOCKS/STONES,164854,95.02,35181
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,5-10 YEARS,36729,21.17,WALL,UNBAKED BRICKS/MUD,6171,3.56,987
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,5-10 YEARS,36729,21.17,WALL,WOOD/BAMBOO,1082,0.62,222
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,5-10 YEARS,36729,21.17,WALL,OTHERS,1394,0.8,339
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,5-10 YEARS,36729,21.17,ROOF,RCC/RBC,62471,36.01,15446
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,5-10 YEARS,36729,21.17,ROOF,CEMENT/IRON SHEETS,10056,5.8,2461
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,5-10 YEARS,36729,21.17,ROOF,GARDER/T.IRON,69433,40.02,14137
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,5-10 YEARS,36729,21.17,ROOF,WOOD/BAMBOO,29948,17.26,4305
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,5-10 YEARS,36729,21.17,ROOF,OTHERS,1593,0.92,380
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,11-50 YEARS,114442,65.96,WALL,BAKED BRICKS/BLOCKS/STONES,164854,95.02,109112
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,11-50 YEARS,114442,65.96,WALL,UNBAKED BRICKS/MUD,6171,3.56,3929
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,11-50 YEARS,114442,65.96,WALL,WOOD/BAMBOO,1082,0.62,593
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,11-50 YEARS,114442,65.96,WALL,OTHERS,1394,0.8,808
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,11-50 YEARS,114442,65.96,ROOF,RCC/RBC,62471,36.01,37080
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,11-50 YEARS,114442,65.96,ROOF,CEMENT/IRON SHEETS,10056,5.8,5732
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,11-50 YEARS,114442,65.96,ROOF,GARDER/T.IRON,69433,40.02,48712
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,11-50 YEARS,114442,65.96,ROOF,WOOD/BAMBOO,29948,17.26,21966
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,11-50 YEARS,114442,65.96,ROOF,OTHERS,1593,0.92,952
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,OVER 50 YEARS,6021,3.47,WALL,BAKED BRICKS/BLOCKS/STONES,164854,95.02,5256
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,OVER 50 YEARS,6021,3.47,WALL,UNBAKED BRICKS/MUD,6171,3.56,650
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,OVER 50 YEARS,6021,3.47,WALL,WOOD/BAMBOO,1082,0.62,57
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,OVER 50 YEARS,6021,3.47,WALL,OTHERS,1394,0.8,58
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,OVER 50 YEARS,6021,3.47,ROOF,RCC/RBC,62471,36.01,1153
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,OVER 50 YEARS,6021,3.47,ROOF,CEMENT/IRON SHEETS,10056,5.8,338
