province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_00_04,age_below_1,age_01,age_02,age_03,age_04,group_05_09,age_05,age_06,age_07,age_08,age_09,group_10_14,age_10,age_11,age_12,age_13,age_14,group_15_19,age_15,age_16,age_17,age_18,age_19,group_20_24,age_20,age_21,age_22,age_23,age_24,group_25_29,age_25,age_26,age_27,age_28,age_29,group_30_34,age_30,age_31,age_32,age_33,age_34,group_35_39,age_35,age_36,age_37,age_38,age_39,group_40_44,age_40,age_41,age_42,age_43,age_44,group_45_49,age_45,age_46,age_47,age_48,age_49,group_50_54,age_50,age_51,age_52,age_53,age_54,group_55_59,age_55,age_56,age_57,age_58,age_59,group_60_64,age_60,age_61,age_62,age_63,age_64,group_65_69,age_65,age_66,age_67,age_68,age_69,group_70_74,age_70,age_71,age_72,age_73,age_74,group_75_and_up
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI DISTRICT,TOTAL,ALL SEXES,5402380,618602,114041,125119,124774,132682,121986,624619,123803,123142,130841,113035,133798,556906,104870,130369,102422,116556,102689,527458,104947,106327,113400,90114,112670,505403,86863,114793,95408,106013,102326,464126,80676,98713,98377,90428,95932,427989,79667,93173,87714,86568,80867,358102,65762,74755,69815,76853,70917,299249,62040,63600,59281,60151,54177,241610,46383,48947,44935,52081,49264,224801,45425,45817,45264,45865,42430,164635,35726,34638,30045,32864,31362,142809,26679,30203,30171,30084,25672,97323,21717,19338,18603,20168,17497,67424,14054,14561,14508,13694,10607,81324
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI DISTRICT,TOTAL,MALE,2736180,317366,58419,64118,64270,67742,62817,321343,63304,63428,67407,58082,69122,289606,54155,67248,53119,60844,54240,273761,54260,55507,58852,47534,57608,253948,46681,57679,47951,52004,49633,219708,40575,46233,45763,42551,44586,205192,39087,43856,42245,41555,38449,176624,32716,36127,34704,37909,35168,151459,32303,32243,30341,29721,26851,122170,23807,24610,23694,25888,24171,114162,23229,23038,23294,22881,21720,87838,19016,18539,16732,17404,16147,75120,14020,15630,15985,15887,13598,51492,11635,10177,9987,10486,9207,35492,7508,7586,7798,6999,5601,40899
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI DISTRICT,TOTAL,FEMALE,2665089,301236,55622,61001,60504,64940,59169,303276,60499,59714,63434,54953,64676,267300,50715,63121,49303,55712,48449,253629,50676,50805,54532,42566,55050,251326,40156,57100,47425,53988,52657,244234,40050,52450,52589,47834,51311,222615,40510,49295,45431,44989,42390,181316,32987,38602,35085,38905,35737,147668,29692,31341,28913,30414,27308,119367,22548,24323,21231,26181,25084,110572,22164,22769,21960,22975,20704,76766,16698,16090,13309,15454,15215,67658,12649,14565,14184,14190,12070,45812,10077,9154,8614,9679,8288,31912,6540,6968,6706,6693,5005,40402
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI DISTRICT,TOTAL,TRANSGENDER,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,11,15,16,14,12,129,26,14,32,21,36,184,51,30,25,43,35,182,70,22,38,24,28,162,59,26,26,39,12,122,45,16,27,16,18,73,28,14,10,12,9,67,32,10,10,9,6,31,12,9,4,6,0,31,10,8,2,7,4,19,5,7,2,3,2,20,6,7,4,2,1,23
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI DISTRICT,RURAL,ALL SEXES,2396672,279552,52662,56976,56350,59293,54271,278093,54972,55024,58193,50450,59454,246507,46438,58079,44986,51697,45307,233777,46813,47861,49860,39088,50155,220376,37987,50355,40783,46523,44728,201992,34709,43422,42725,38637,42499,184428,33557,41106,37312,37542,34911,151054,27184,31926,29675,31872,30397,124632,24704,26977,24442,25460,23049,104664,18655,21773,19681,22692,21863,99921,18968,20922,20016,20572,19443,75417,15238,16062,13986,15313,14818,68857,12035,14937,14595,14492,12798,49177,10037,10193,9620,10332,8995,34543,6968,7521,7461,7096,5497,43682
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI DISTRICT,RURAL,MALE,1192950,143414,26976,29043,29111,30276,28008,142890,28002,28383,30117,25877,30511,127922,23876,30063,23152,26963,23868,120208,24190,24758,25566,20417,25277,108254,20072,24708,20084,22343,21047,92166,16833,19492,19158,17635,19048,85982,16115,18711,17542,17481,16133,72223,13237,15021,14224,15240,14501,60622,12477,13061,12006,12129,10949,50874,9294,10444,9964,10916,10256,48987,9504,10129,9812,9904,9638,38871,7874,8287,7465,7888,7357,35489,6127,7458,7583,7584,6737,25463,5288,5259,4964,5245,4707,17926,3713,3851,3898,3562,2902,21659
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI DISTRICT,RURAL,FEMALE,1203473,136138,25686,27933,27239,29017,26263,135203,26970,26641,28076,24573,28943,118585,22562,28016,21834,24734,21439,113550,22620,23098,24289,18667,24876,112090,17908,25644,20691,24172,23675,109801,17870,23925,23562,21000,23444,98414,17435,22392,19763,20057,18767,78797,13938,16898,15442,16623,15896,63990,12217,13913,12435,13327,12098,53772,9355,11325,9714,11773,11605,50914,9454,10792,10200,10665,9803,36539,7361,7773,6520,7424,7461,33357,5905,7473,7012,6907,6060,23706,4747,4930,4656,5085,4288,16607,3252,3665,3562,3533,2595,22010
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI DISTRICT,RURAL,TRANSGENDER,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,5,5,4,2,32,7,3,8,8,6,25,6,5,5,2,7,32,7,3,7,4,11,34,9,7,9,9,0,20,10,3,1,4,2,18,6,4,3,3,2,20,10,1,4,3,2,7,3,2,1,1,0,11,3,6,0,1,1,8,2,4,0,2,0,10,3,5,1,1,0,13
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI DISTRICT,URBAN,ALL SEXES,3005708,339050,61379,68143,68424,73389,67715,346526,68831,68118,72648,62585,74344,310399,58432,72290,57436,64859,57382,293681,58134,58466,63540,51026,62515,285027,48876,64438,54625,59490,57598,262134,45967,55291,55652,51791,53433,243561,46110,52067,50402,49026,45956,207048,38578,42829,40140,44981,40520,174617,37336,36623,34839,34691,31128,136946,27728,27174,25254,29389,27401,124880,26457,24895,25248,25293,22987,89218,20488,18576,16059,17551,16544,73952,14644,15266,15576,15592,12874,48146,11680,9145,8983,9836,8502,32881,7086,7040,7047,6598,5110,37642
PUNJAB,042,RAWALPINDI DISTRICT,RAWALPINDI DISTRICT,URBAN,MALE,1543230,173952,31443,35075,35159,37466,34809,178453,35302,35045,37290,32205,38611,161684,30279,37185,29967,33881,30372,153553,30070,30749,33286,27117,32331,145694,26609,32971,27867,29661,28586,127542,23742,26741,26605,24916,25538,119210,22972,25145,24703,24074,22316,104401,19479,21106,20480,22669,20667,90837,19826,19182,18335,17592,15902,71296,14513,14166,13730,14972,13915,65175,13725,12909,13482,12977,12082,48967,11142,10252,9267,9516,8790,39631,7893,8172,8402,8303,6861,26029,6347,4918,5023,5241,4500,17566,3795,3735,3900,3437,2699,19240
