province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up,area_acre
PUNJAB,043,BHAKKAR DISTRICT,NA,NA,NA,YES,BHAKKAR DISTRICT,NA,1388198,709912,678193,93,47.9,62.16,33.12,31.18,174901,91295,13,70714,25795,5,13497,7255,1,1387435,763,996127,740111,86462,279610,623400,2307090
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR TEHSIL,NA,NA,YES,BHAKKAR TEHSIL,NA,571132,291631,279474,27,50.13,62.39,37.47,48.15,70087,41961,6,29419,12519,1,5806,3507,0,570725,407,404731,298208,33579,108342,254976,388891
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR TEHSIL,BEHAL NASHEB QH,NA,YES,BEHAL NASHEB QH,NA,91749,47013,44732,4,39.55,53.14,25.46,50,9345,4385,1,3189,668,0,603,170,0,91743,6,63114,45535,5437,18998,39067,51746
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR TEHSIL,BEHAL NASHEB QH,BEHAL NASHEB PC,YES,BEHAL NASHEB PC,NA,7427,3918,3508,1,43.25,55.99,29.47,100,818,367,0,279,76,0,59,17,0,7427,0,5225,3811,452,1221,3138,4415
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR TEHSIL,BEHAL NASHEB QH,BEHAL NASHEB PC,NO,BEHAL NASHEB,0000054,2106,1123,982,1,36.4,44.25,27.84,100,173,92,0,64,25,0,11,4,0,2106,0,1426,1023,87,412,783,2008
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR TEHSIL,BEHAL NASHEB QH,BEHAL NASHEB PC,NO,GANJI,0000053,1760,942,818,0,38.21,48.78,26.49,0,152,67,0,57,15,0,9,3,0,1760,0,1243,924,120,25,801,963
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR TEHSIL,BEHAL NASHEB QH,BEHAL NASHEB PC,NO,RASHEED PUR,0000050,3561,1853,1708,0,49.53,66.14,31.8,0,493,208,0,158,36,0,39,10,0,3561,0,2556,1864,245,784,1554,1444
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR TEHSIL,BEHAL NASHEB QH,BEIT BOGA PC,YES,BEIT BOGA PC,NA,11356,5794,5562,0,30.28,43.58,16.85,0,783,271,0,202,26,0,19,4,0,11356,0,7384,5208,596,1642,4373,7779
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR TEHSIL,BEHAL NASHEB QH,BEIT BOGA PC,NO,BESTI HAMZA,0000047,2870,1485,1385,0,31.82,46.77,16.31,0,183,55,0,69,4,0,12,2,0,2870,0,1823,1318,135,188,1101,1414
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR TEHSIL,BEHAL NASHEB QH,BEIT BOGA PC,NO,BET BOGHA,0000048,8486,4309,4177,0,29.78,42.52,17.02,0,600,216,0,133,22,0,7,2,0,8486,0,5561,3890,461,1454,3272,6365
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR TEHSIL,BEHAL NASHEB QH,BHARMI NAWAB SAHIB PC,YES,BHARMI NAWAB SAHIB PC,NA,7599,3876,3723,0,30.18,41.42,18.07,0,578,226,0,142,29,0,33,2,0,7598,1,5291,3782,443,2060,3190,8178
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR TEHSIL,BEHAL NASHEB QH,BHARMI NAWAB SAHIB PC,NO,BET MAKHIWALA,0000038,1468,747,721,0,25.99,31.81,19.96,0,88,44,0,29,7,0,1,0,0,1468,0,989,707,70,311,586,1152
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR TEHSIL,BEHAL NASHEB QH,BHARMI NAWAB SAHIB PC,NO,BHARMI CHIRAGH SHAH,0000041,2136,1093,1043,0,29.04,40.44,16.26,0,162,61,0,52,8,0,10,1,0,2135,1,1553,1153,134,581,955,3730
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR TEHSIL,BEHAL NASHEB QH,BHARMI NAWAB SAHIB PC,NO,BHARMI NAWAB SHAH,0000042,3995,2036,1959,0,32.34,45.39,18.37,0,328,121,0,61,14,0,22,1,0,3995,0,2749,1922,239,1168,1649,3296
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR TEHSIL,BEHAL NASHEB QH,DHANDALA PC,YES,DHANDALA PC,NA,11289,5722,5567,0,42.75,58.06,27.02,0,1235,615,0,506,92,0,143,46,0,11289,0,7932,5789,721,3229,5099,5373
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR TEHSIL,BEHAL NASHEB QH,DHANDALA PC,NO,DHANDALA,0000044,11289,5722,5567,0,42.75,58.06,27.02,0,1235,615,0,506,92,0,143,46,0,11289,0,7932,5789,721,3229,5099,4884
