province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,OWNED,1,250386,93.67,70871,26.51,65289
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENTED,1,6290,2.35,70871,26.51,1210
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENT FREE,1,10641,3.98,70871,26.51,4372
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,OWNED,2,250386,93.67,99839,37.35,93365
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENTED,2,6290,2.35,99839,37.35,2734
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENT FREE,2,10641,3.98,99839,37.35,3740
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,OWNED,3,250386,93.67,49170,18.39,46228
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENTED,3,6290,2.35,49170,18.39,1447
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENT FREE,3,10641,3.98,49170,18.39,1495
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,OWNED,4,250386,93.67,25506,9.54,24404
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENTED,4,6290,2.35,25506,9.54,546
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENT FREE,4,10641,3.98,25506,9.54,556
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,OWNED,5,250386,93.67,10290,3.85,9909
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENTED,5,6290,2.35,10290,3.85,192
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENT FREE,5,10641,3.98,10290,3.85,189
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,OWNED,6,250386,93.67,5467,2.05,5295
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENTED,6,6290,2.35,5467,2.05,86
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENT FREE,6,10641,3.98,5467,2.05,86
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,OWNED,7,250386,93.67,2549,0.95,2481
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENTED,7,6290,2.35,2549,0.95,35
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENT FREE,7,10641,3.98,2549,0.95,33
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,OWNED,8,250386,93.67,1484,0.56,1445
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENTED,8,6290,2.35,1484,0.56,13
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENT FREE,8,10641,3.98,1484,0.56,26
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,OWNED,9,250386,93.67,2141,0.8,1970
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENTED,9,6290,2.35,2141,0.8,27
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,TOTAL,RENT FREE,9,10641,3.98,2141,0.8,144
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,OWNED,1,213909,94.87,61587,27.31,57112
PUNJAB,043,BHAKKAR DISTRICT,BHAKKAR DISTRICT,RURAL,RENTED,1,2012,0.89,61587,27.31,515
