province_name,district_code,district_name,area_name,area_type,construction_age,roof_material,total_by_roof_material,percent_by_roof_material,wall_material,total_by_wall_material,percent_by_wall_material,count
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,9327,4.89,BAKED BRICKS/BLOCKS/STONES,2128,1.12,236
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,9327,4.89,UNBAKED BRICKS/MUD,220,0.12,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,9327,4.89,WOOD/BAMBOO,61,0.03,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,9327,4.89,OTHERS,71,0.04,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,9327,4.89,BAKED BRICKS/BLOCKS/STONES,15200,7.97,2152
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,9327,4.89,UNBAKED BRICKS/MUD,1391,0.73,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,9327,4.89,WOOD/BAMBOO,253,0.13,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,9327,4.89,OTHERS,266,0.14,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,9327,4.89,BAKED BRICKS/BLOCKS/STONES,48753,25.56,2889
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,9327,4.89,UNBAKED BRICKS/MUD,4169,2.19,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,9327,4.89,WOOD/BAMBOO,876,0.46,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,9327,4.89,OTHERS,564,0.3,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,9327,4.89,BAKED BRICKS/BLOCKS/STONES,101127,53.03,3976
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,9327,4.89,UNBAKED BRICKS/MUD,9357,4.91,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,9327,4.89,WOOD/BAMBOO,1068,0.56,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,9327,4.89,OTHERS,1189,0.62,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,9327,4.89,BAKED BRICKS/BLOCKS/STONES,3437,1.8,74
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,9327,4.89,UNBAKED BRICKS/MUD,492,0.26,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,9327,4.89,WOOD/BAMBOO,40,0.02,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,9327,4.89,OTHERS,48,0.03,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,4642,2.43,BAKED BRICKS/BLOCKS/STONES,2128,1.12,86
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,4642,2.43,UNBAKED BRICKS/MUD,220,0.12,37
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,4642,2.43,WOOD/BAMBOO,61,0.03,2
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,4642,2.43,OTHERS,71,0.04,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,4642,2.43,BAKED BRICKS/BLOCKS/STONES,15200,7.97,616
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,4642,2.43,UNBAKED BRICKS/MUD,1391,0.73,112
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,4642,2.43,WOOD/BAMBOO,253,0.13,14
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,4642,2.43,OTHERS,266,0.14,0
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,4642,2.43,BAKED BRICKS/BLOCKS/STONES,48753,25.56,1625
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,4642,2.43,UNBAKED BRICKS/MUD,4169,2.19,115
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,4642,2.43,WOOD/BAMBOO,876,0.46,10
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,4642,2.43,OTHERS,564,0.3,2
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,4642,2.43,BAKED BRICKS/BLOCKS/STONES,101127,53.03,1729
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,4642,2.43,UNBAKED BRICKS/MUD,9357,4.91,218
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,4642,2.43,WOOD/BAMBOO,1068,0.56,9
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,4642,2.43,OTHERS,1189,0.62,3
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,4642,2.43,BAKED BRICKS/BLOCKS/STONES,3437,1.8,56
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,4642,2.43,UNBAKED BRICKS/MUD,492,0.26,6
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,4642,2.43,WOOD/BAMBOO,40,0.02,1
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,4642,2.43,OTHERS,48,0.03,1
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,116008,60.83,BAKED BRICKS/BLOCKS/STONES,2128,1.12,1333
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,116008,60.83,UNBAKED BRICKS/MUD,220,0.12,84
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,116008,60.83,WOOD/BAMBOO,61,0.03,17
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,116008,60.83,OTHERS,71,0.04,12
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,116008,60.83,BAKED BRICKS/BLOCKS/STONES,15200,7.97,9482
