province_name,district_code,district_name,area_name,area_type,information_source,count
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,201668
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,RADIO,6137
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,TV,126588
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,NEWSPAPER,7254
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,MOBILE,3993
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,TOTAL,COMPUTER/INTERNET,199232
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,144837
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,RURAL,RADIO,5037
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,RURAL,TV,81577
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,RURAL,NEWSPAPER,5522
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,RURAL,MOBILE,1723
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,RURAL,COMPUTER/INTERNET,143053
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,56831
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,URBAN,RADIO,1100
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,URBAN,TV,45011
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,URBAN,NEWSPAPER,1732
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,URBAN,MOBILE,2270
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB DISTRICT,URBAN,COMPUTER/INTERNET,56179
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,108710
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,TOTAL,RADIO,3049
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,TOTAL,TV,73897
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,TOTAL,NEWSPAPER,2920
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,TOTAL,MOBILE,2919
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,TOTAL,COMPUTER/INTERNET,107432
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,61019
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,RURAL,RADIO,2065
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,RURAL,TV,36357
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,RURAL,NEWSPAPER,1786
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,RURAL,MOBILE,943
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,RURAL,COMPUTER/INTERNET,60309
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,47691
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,URBAN,RADIO,984
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,URBAN,TV,37540
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,URBAN,NEWSPAPER,1134
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,URBAN,MOBILE,1976
PUNJAB,044,KHUSHAB DISTRICT,KHUSHAB TEHSIL,URBAN,COMPUTER/INTERNET,47123
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,38796
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,TOTAL,RADIO,1003
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,TOTAL,TV,17245
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,TOTAL,NEWSPAPER,1448
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,TOTAL,MOBILE,230
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,TOTAL,COMPUTER/INTERNET,38431
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,35483
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,RURAL,RADIO,963
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,RURAL,TV,14683
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,RURAL,NEWSPAPER,1161
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,RURAL,MOBILE,188
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,RURAL,COMPUTER/INTERNET,35157
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,3313
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,URBAN,RADIO,40
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,URBAN,TV,2562
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,URBAN,NEWSPAPER,287
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,URBAN,MOBILE,42
PUNJAB,044,KHUSHAB DISTRICT,NOORPUR TEHSIL,URBAN,COMPUTER/INTERNET,3274
PUNJAB,044,KHUSHAB DISTRICT,NOWSHERA TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,19288
PUNJAB,044,KHUSHAB DISTRICT,NOWSHERA TEHSIL,TOTAL,RADIO,1105
PUNJAB,044,KHUSHAB DISTRICT,NOWSHERA TEHSIL,TOTAL,TV,14595
PUNJAB,044,KHUSHAB DISTRICT,NOWSHERA TEHSIL,TOTAL,NEWSPAPER,1715
PUNJAB,044,KHUSHAB DISTRICT,NOWSHERA TEHSIL,TOTAL,MOBILE,439
PUNJAB,044,KHUSHAB DISTRICT,NOWSHERA TEHSIL,TOTAL,COMPUTER/INTERNET,18955
PUNJAB,044,KHUSHAB DISTRICT,NOWSHERA TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,16822
PUNJAB,044,KHUSHAB DISTRICT,NOWSHERA TEHSIL,RURAL,RADIO,1056
PUNJAB,044,KHUSHAB DISTRICT,NOWSHERA TEHSIL,RURAL,TV,12376
PUNJAB,044,KHUSHAB DISTRICT,NOWSHERA TEHSIL,RURAL,NEWSPAPER,1540
PUNJAB,044,KHUSHAB DISTRICT,NOWSHERA TEHSIL,RURAL,MOBILE,344
PUNJAB,044,KHUSHAB DISTRICT,NOWSHERA TEHSIL,RURAL,COMPUTER/INTERNET,16511
PUNJAB,044,KHUSHAB DISTRICT,NOWSHERA TEHSIL,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,2466
PUNJAB,044,KHUSHAB DISTRICT,NOWSHERA TEHSIL,URBAN,RADIO,49
