province_name,district_code,district_name,area_name,area_type,marital_status,household_head_relationship,gender,count
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,HEAD,ALL SEXES,592214
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,HEAD,MALE,508119
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,HEAD,FEMALE,84012
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,HEAD,TRANSGENDER,83
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,SPOUSE,ALL SEXES,489352
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,SPOUSE,MALE,26996
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,SPOUSE,FEMALE,462356
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,SPOUSE,TRANSGENDER,NA
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,ALL SEXES,715179
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,MALE,452565
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,FEMALE,262593
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,TRANSGENDER,21
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,ALL SEXES,157097
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,MALE,3564
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,FEMALE,153533
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,TRANSGENDER,NA
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,ALL SEXES,26148
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,MALE,14211
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,FEMALE,11934
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,GRAND SON/GRAND DAUGHTER,TRANSGENDER,3
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,FATHER/MOTHER,ALL SEXES,99062
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,FATHER/MOTHER,MALE,29481
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,FATHER/MOTHER,FEMALE,69581
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,FATHER/MOTHER,TRANSGENDER,NA
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,BROTHER/SISTER,ALL SEXES,118062
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,BROTHER/SISTER,MALE,78341
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,BROTHER/SISTER,FEMALE,39695
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,BROTHER/SISTER,TRANSGENDER,26
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,OTHER RELATIVE,ALL SEXES,123578
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,OTHER RELATIVE,MALE,41382
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,OTHER RELATIVE,FEMALE,82041
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,OTHER RELATIVE,TRANSGENDER,155
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,NON-RELATIVE,ALL SEXES,38576
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,NON-RELATIVE,MALE,23122
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,NON-RELATIVE,FEMALE,15328
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TOTAL,NON-RELATIVE,TRANSGENDER,126
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,HEAD,ALL SEXES,18878
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,HEAD,MALE,17476
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,HEAD,FEMALE,1319
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,HEAD,TRANSGENDER,83
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,SPOUSE,ALL SEXES,NA
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,SPOUSE,MALE,NA
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,SPOUSE,FEMALE,NA
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,SPOUSE,TRANSGENDER,NA
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,SON/DAUGHTER,ALL SEXES,559142
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,SON/DAUGHTER,MALE,316691
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,SON/DAUGHTER,FEMALE,242430
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,SON/DAUGHTER,TRANSGENDER,21
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,DAUGHTER/SON IN LAW,ALL SEXES,NA
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,DAUGHTER/SON IN LAW,MALE,NA
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,DAUGHTER/SON IN LAW,FEMALE,NA
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,DAUGHTER/SON IN LAW,TRANSGENDER,NA
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,GRAND SON/GRAND DAUGHTER,ALL SEXES,23486
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,GRAND SON/GRAND DAUGHTER,MALE,12595
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,GRAND SON/GRAND DAUGHTER,FEMALE,10888
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,GRAND SON/GRAND DAUGHTER,TRANSGENDER,3
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,FATHER/MOTHER,ALL SEXES,NA
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,FATHER/MOTHER,MALE,NA
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,FATHER/MOTHER,FEMALE,NA
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,FATHER/MOTHER,TRANSGENDER,NA
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,BROTHER/SISTER,ALL SEXES,66430
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,BROTHER/SISTER,MALE,38636
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,BROTHER/SISTER,FEMALE,27768
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,BROTHER/SISTER,TRANSGENDER,26
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEVER MARRIED,OTHER RELATIVE,ALL SEXES,35040
