province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up,area_acre
PUNJAB,045,SARGODHA DISTRICT,NA,NA,NA,YES,SARGODHA DISTRICT,NA,2608007,1316960,1290851,196,59.87,70.21,49.46,38.27,378119,263258,42,168976,99963,14,26685,26401,1,2574500,33507,1934564,1475554,198722,571082,1247378,1480108
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,NA,NA,YES,BHALWAL TEHSIL,NA,234249,117608,116627,14,63.04,72.01,54.11,35.71,34117,25879,2,14147,9263,2,2292,2457,0,233998,251,174726,133054,18781,54866,115523,193757
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,NA,YES,BHALWAL-I QH,NA,87045,43666,43374,5,62.76,72.04,53.54,60,12563,9660,2,5138,3195,0,813,799,0,86987,58,64780,48920,6793,17455,42540,42544
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,ABDAL PC,YES,ABDAL PC,NA,12273,6253,6020,0,59.6,72.05,46.99,0,1731,1221,0,656,306,0,81,55,0,12264,9,9129,6871,975,2142,5950,5821
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,ABDAL PC,NO,ABDAL,0000130,4689,2338,2351,0,58.26,69.17,47.62,0,642,492,0,267,145,0,37,29,0,4689,0,3567,2685,377,635,2213,2362
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,ABDAL PC,NO,BHIKHI KHURD,0000127,2956,1518,1438,0,52.55,68.93,35.88,0,335,190,0,126,32,0,16,5,0,2947,9,2215,1675,250,678,1667,1413
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,ABDAL PC,NO,CHAK NO 003/SB,0000132,1697,889,808,0,64.1,75.15,51.65,0,295,182,0,84,33,0,7,6,0,1697,0,1223,898,104,83,724,814
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,ABDAL PC,NO,CHAK NO 008-A/SB,0000129,2931,1508,1423,0,66.62,78.18,54.92,0,459,357,0,179,96,0,21,15,0,2931,0,2124,1613,244,746,1346,1232
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,CHAK NO 013/NB PC,YES,CHAK NO 013/NB PC,NA,16396,8065,8330,1,64.55,72.45,56.96,100,2627,2136,1,853,654,0,99,142,0,16380,16,12236,9209,1285,4146,8071,7541
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,CHAK NO 013/NB PC,NO,CHAK NO 002/NB,0000144,3845,1845,1999,1,69,75.42,63.12,100,601,539,1,196,198,0,30,35,0,3845,0,2842,2145,306,889,1844,1643
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,CHAK NO 013/NB PC,NO,CHAK NO 005/NB,0000145,1574,772,802,0,58.74,63.98,53.76,0,273,219,0,63,72,0,17,17,0,1563,11,1195,921,155,544,791,822
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,CHAK NO 013/NB PC,NO,CHAK NO 006/NB,0000146,3590,1800,1790,0,61.04,69.21,53.02,0,533,387,0,151,144,0,18,36,0,3588,2,2623,2010,275,859,1661,1717
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,CHAK NO 013/NB PC,NO,CHAK NO 013/NB,0000143,4994,2460,2534,0,64.75,71.71,57.91,0,792,688,0,286,168,0,22,42,0,4991,3,3747,2763,349,1254,2539,2064
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,CHAK NO 013/NB PC,NO,CHAK NO 014/NB,0000142,2393,1188,1205,0,66.05,79.64,52.9,0,428,303,0,157,72,0,12,12,0,2393,0,1829,1370,200,600,1236,1295
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,DEOWAL PC,YES,DEOWAL PC,NA,11528,5809,5718,1,59.12,71.31,46.93,100,1624,1200,1,783,328,0,123,69,0,11521,7,8590,6561,1014,1848,5765,7501
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,DEOWAL PC,NO,DEOWAL,0000126,11528,5809,5718,1,59.12,71.31,46.93,100,1624,1200,1,783,328,0,123,69,0,11521,7,8590,6561,1014,1848,5765,7501
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,MANDI BHALWAL PC,YES,MANDI BHALWAL PC,NA,20609,10430,10177,2,74.14,79.19,69.04,0,3032,2462,0,1329,1159,0,283,371,0,20585,24,15353,11536,1427,3715,10397,5024
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,MANDI BHALWAL PC,NO,CHAK NO 004/SB,0000124,3355,1707,1648,0,83.36,84.38,82.31,0,467,480,0,248,219,0,24,29,0,3332,23,2506,1879,249,866,1680,1488
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,MANDI BHALWAL PC,NO,CHAK NO 005/SB,0000123,4900,2565,2333,2,66.98,70.77,62.9,0,824,592,0,277,288,0,78,119,0,4900,0,3637,2607,296,881,2337,876
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,MANDI BHALWAL PC,NO,CHAK NO 006/SB,0000125,5638,2807,2831,0,80.36,86.75,73.91,0,760,568,0,281,216,0,77,58,0,5638,0,4149,3156,396,166,2878,1121
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,MANDI BHALWAL PC,NO,CHAK NO 007/NB,0000122,6716,3351,3365,0,69.63,76.62,62.91,0,981,822,0,523,436,0,104,165,0,6715,1,5061,3894,486,1802,3502,1539
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,BHALWAL-I QH,NABI SHAH BALA PC,YES,NABI SHAH BALA PC,NA,8369,4191,4178,0,58.9,69.84,47.87,0,1103,826,0,484,210,0,71,49,0,8369,0,6283,4747,627,1626,4218,5678
