province_name,district_code,district_name,area_name,area_type,information_source,count
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,573412
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,RADIO,15589
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,TV,400725
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,NEWSPAPER,27137
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,MOBILE,19116
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,TOTAL,COMPUTER/INTERNET,565885
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,398818
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,RURAL,RADIO,8967
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,RURAL,TV,251563
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,RURAL,NEWSPAPER,13134
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,RURAL,MOBILE,5734
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,RURAL,COMPUTER/INTERNET,393344
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,174594
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,URBAN,RADIO,6622
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,URBAN,TV,149162
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,URBAN,NEWSPAPER,14003
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,URBAN,MOBILE,13382
PUNJAB,045,SARGODHA DISTRICT,SARGODHA DISTRICT,URBAN,COMPUTER/INTERNET,172541
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,62271
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,TOTAL,RADIO,2419
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,TOTAL,TV,48716
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,TOTAL,NEWSPAPER,3862
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,TOTAL,MOBILE,1820
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,TOTAL,COMPUTER/INTERNET,61389
PUNJAB,045,SARGODHA DISTRICT,BHALWAL TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,40324
