province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_00_04,age_below_1,age_01,age_02,age_03,age_04,group_05_09,age_05,age_06,age_07,age_08,age_09,group_10_14,age_10,age_11,age_12,age_13,age_14,group_15_19,age_15,age_16,age_17,age_18,age_19,group_20_24,age_20,age_21,age_22,age_23,age_24,group_25_29,age_25,age_26,age_27,age_28,age_29,group_30_34,age_30,age_31,age_32,age_33,age_34,group_35_39,age_35,age_36,age_37,age_38,age_39,group_40_44,age_40,age_41,age_42,age_43,age_44,group_45_49,age_45,age_46,age_47,age_48,age_49,group_50_54,age_50,age_51,age_52,age_53,age_54,group_55_59,age_55,age_56,age_57,age_58,age_59,group_60_64,age_60,age_61,age_62,age_63,age_64,group_65_69,age_65,age_66,age_67,age_68,age_69,group_70_74,age_70,age_71,age_72,age_73,age_74,group_75_and_up
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,ALL SEXES,1542601,196785,35652,37891,39524,42234,41484,200095,41416,38570,40993,37776,41340,173769,34394,38637,32766,35255,32717,164064,33296,33067,36572,28568,32561,141158,28157,31131,27083,28625,26162,122937,23496,25522,25318,23753,24848,105913,21384,22448,21495,20487,20099,87703,17559,18134,16924,18004,17082,72372,15428,15089,14209,14177,13469,63582,12421,12686,11816,13516,13143,61056,12213,12703,12155,12618,11367,44317,9782,9589,8383,8654,7909,37414,7184,7977,7737,7715,6801,27635,6000,5431,5347,5822,5035,19762,4277,4359,3975,4094,3057,24039
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,MALE,771969,101097,18406,19563,20218,21491,21419,103453,21042,19803,21349,19630,21629,90829,17935,20313,16920,18556,17105,83290,16961,16988,18083,14542,16716,69228,14095,15209,13187,14191,12546,57312,11337,11906,11559,11201,11309,49530,9952,10375,9870,9763,9570,41958,8506,8684,7785,8851,8132,34984,7474,7322,6689,6875,6624,30838,6020,6310,5736,6458,6314,30840,5994,6225,6195,6384,6042,23301,5216,5134,4520,4467,3964,18918,3627,4028,3990,3878,3395,14258,3126,2806,2739,2984,2603,10121,2195,2236,2038,2080,1572,12012
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,FEMALE,770502,95688,17246,18328,19306,20743,20065,96642,20374,18767,19644,18146,19711,82940,16459,18324,15846,16699,15612,80754,16332,16077,18484,14020,15841,71916,14060,15918,13894,14432,13612,65610,12154,13612,13756,12552,13536,56368,11428,12070,11622,10721,10527,45734,9048,9447,9138,9151,8950,37384,7951,7766,7520,7302,6845,32735,6398,6374,6079,7057,6827,30210,6216,6478,5960,6232,5324,21006,4561,4455,3862,4184,3944,18489,3554,3947,3746,3837,3405,13369,2870,2624,2607,2837,2431,9637,2081,2122,1936,2013,1485,12020
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,TRANSGENDER,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,2,5,6,4,14,2,4,2,2,4,15,5,4,3,0,3,15,4,3,3,3,2,11,5,3,1,2,0,4,3,1,0,0,0,9,3,2,1,1,2,6,3,0,0,2,1,10,5,0,1,3,1,7,3,2,1,0,1,8,4,1,1,1,1,4,1,1,1,1,0,7
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,ALL SEXES,1214789,158595,28590,30806,31716,34027,33456,161749,33533,31120,33083,30784,33229,140136,28018,31090,26521,28202,26305,130628,26763,26418,29004,22680,25763,109856,22325,24192,21132,21982,20225,94551,18308,19558,19336,18320,19029,80913,16461,17116,16350,15579,15407,66869,13515,13864,12844,13619,13027,55426,11903,11543,10844,10858,10278,49118,9642,9832,9121,10429,10094,47458,9534,9822,9476,9791,8835,34307,7601,7491,6463,6688,6064,28702,5641,6095,5852,5843,5271,21505,4680,4192,4201,4533,3899,15618,3418,3478,3096,3215,2411,19358
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,MALE,605990,81514,14697,15911,16228,17352,17326,83613,17054,15966,17234,16012,17347,73326,14613,16388,13675,14878,13772,66292,13608,13543,14283,11569,13289,53615,11106,11810,10237,10834,9628,43596,8715,8998,8810,8550,8523,37200,7515,7734,7342,7370,7239,31597,6544,6559,5818,6594,6082,26306,5673,5518,4999,5156,4960,23596,4613,4856,4381,4947,4799,23900,4645,4815,4848,4912,4680,18042,4041,4021,3457,3467,3056,14567,2847,3107,3019,2964,2630,11023,2385,2157,2142,2348,1991,8032,1769,1800,1585,1643,1235,9771
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,FEMALE,608718,77081,13893,14895,15488,16675,16130,78136,16479,15154,15849,14772,15882,66810,13405,14702,12846,13324,12533,64326,13154,12874,14719,11106,12473,56233,11218,12381,10894,11146,10594,50949,9590,10559,10525,9770,10505,43704,8943,9380,9007,8207,8167,35264,6967,7304,7025,7023,6945,29118,6228,6025,5845,5702,5318,25516,5026,4975,4740,5481,5294,23553,4887,5007,4628,4877,4154,16257,3556,3470,3005,3218,3008,14130,2793,2986,2832,2879,2640,10474,2291,2034,2058,2184,1907,7584,1648,1678,1511,1571,1176,9583
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,TRANSGENDER,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,2,5,1,8,1,1,1,2,3,6,3,1,1,0,1,9,3,2,1,2,1,8,4,1,1,2,0,2,2,0,0,0,0,6,3,1,0,1,1,5,2,0,0,2,1,8,4,0,1,3,0,5,1,2,1,0,1,8,4,1,1,1,1,2,1,0,0,1,0,4
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,URBAN,ALL SEXES,327812,38190,7062,7085,7808,8207,8028,38346,7883,7450,7910,6992,8111,33633,6376,7547,6245,7053,6412,33436,6533,6649,7568,5888,6798,31302,5832,6939,5951,6643,5937,28386,5188,5964,5982,5433,5819,25000,4923,5332,5145,4908,4692,20834,4044,4270,4080,4385,4055,16946,3525,3546,3365,3319,3191,14464,2779,2854,2695,3087,3049,13598,2679,2881,2679,2827,2532,10010,2181,2098,1920,1966,1845,8712,1543,1882,1885,1872,1530,6130,1320,1239,1146,1289,1136,4144,859,881,879,879,646,4681
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,URBAN,MALE,165979,19583,3709,3652,3990,4139,4093,19840,3988,3837,4115,3618,4282,17503,3322,3925,3245,3678,3333,16998,3353,3445,3800,2973,3427,15613,2989,3399,2950,3357,2918,13716,2622,2908,2749,2651,2786,12330,2437,2641,2528,2393,2331,10361,1962,2125,1967,2257,2050,8678,1801,1804,1690,1719,1664,7242,1407,1454,1355,1511,1515,6940,1349,1410,1347,1472,1362,5259,1175,1113,1063,1000,908,4351,780,921,971,914,765,3235,741,649,597,636,612,2089,426,436,453,437,337,2241
