province_name,district_code,district_name,area_name,area_type,gender,count
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,BOTH SEXES,23340
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,MALE,14372
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,FEMALE,8968
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,BOTH SEXES,17429
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,MALE,10354
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,FEMALE,7075
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,URBAN,BOTH SEXES,5911
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,URBAN,MALE,4018
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,URBAN,FEMALE,1893
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,TOTAL,BOTH SEXES,7067
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,TOTAL,MALE,5755
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,TOTAL,FEMALE,1312
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,RURAL,BOTH SEXES,4991
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,RURAL,MALE,3773
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,RURAL,FEMALE,1218
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,URBAN,BOTH SEXES,2076
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,URBAN,MALE,1982
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,URBAN,FEMALE,94
PUNJAB,046,MIANWALI DISTRICT,MIANWALI TEHSIL,TOTAL,BOTH SEXES,13447
PUNJAB,046,MIANWALI DISTRICT,MIANWALI TEHSIL,TOTAL,MALE,6879
PUNJAB,046,MIANWALI DISTRICT,MIANWALI TEHSIL,TOTAL,FEMALE,6568
PUNJAB,046,MIANWALI DISTRICT,MIANWALI TEHSIL,RURAL,BOTH SEXES,10176
PUNJAB,046,MIANWALI DISTRICT,MIANWALI TEHSIL,RURAL,MALE,5250
PUNJAB,046,MIANWALI DISTRICT,MIANWALI TEHSIL,RURAL,FEMALE,4926
PUNJAB,046,MIANWALI DISTRICT,MIANWALI TEHSIL,URBAN,BOTH SEXES,3271
PUNJAB,046,MIANWALI DISTRICT,MIANWALI TEHSIL,URBAN,MALE,1629
PUNJAB,046,MIANWALI DISTRICT,MIANWALI TEHSIL,URBAN,FEMALE,1642
PUNJAB,046,MIANWALI DISTRICT,PIPLAN TEHSIL,TOTAL,BOTH SEXES,2826
PUNJAB,046,MIANWALI DISTRICT,PIPLAN TEHSIL,TOTAL,MALE,1738
PUNJAB,046,MIANWALI DISTRICT,PIPLAN TEHSIL,TOTAL,FEMALE,1088
PUNJAB,046,MIANWALI DISTRICT,PIPLAN TEHSIL,RURAL,BOTH SEXES,2262
PUNJAB,046,MIANWALI DISTRICT,PIPLAN TEHSIL,RURAL,MALE,1331
PUNJAB,046,MIANWALI DISTRICT,PIPLAN TEHSIL,RURAL,FEMALE,931
PUNJAB,046,MIANWALI DISTRICT,PIPLAN TEHSIL,URBAN,BOTH SEXES,564
PUNJAB,046,MIANWALI DISTRICT,PIPLAN TEHSIL,URBAN,MALE,407
PUNJAB,046,MIANWALI DISTRICT,PIPLAN TEHSIL,URBAN,FEMALE,157
