province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
PUNJAB,046,MIANWALI DISTRICT,NA,NA,NA,YES,MIANWALI DISTRICT,NA,186878,128230,38855,19793,150374,163636,6969,145779,157103,150581,6.44
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,NA,NA,YES,ISAKHEL TEHSIL,NA,41924,27177,8918,5829,24111,33886,145,33514,36647,32445,6.84
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,NA,YES,ISA KHEL QH,NA,4121,2182,979,960,3546,3531,14,2734,3325,3059,7.38
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,BHAT PC,YES,BHAT PC,NA,204,123,47,34,2,194,0,150,194,5,6.44
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,BHAT PC,NO,BHAT,0000059,204,123,47,34,2,194,0,150,194,5,6.44
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,BHOR PC,YES,BHOR PC,NA,568,307,108,153,475,528,2,408,523,500,7.08
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,BHOR PC,NO,BHOR,0000026,568,307,108,153,475,528,2,408,523,500,7.08
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,DHULIAN WALA PC,YES,DHULIAN WALA PC,NA,59,0,2,57,59,0,0,33,36,1,6.24
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,DHULIAN WALA PC,NO,BAN MHEA,0000031,22,0,1,21,22,0,0,22,22,1,6.41
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,DHULIAN WALA PC,NO,DHULIAN WALA,0000066,30,0,1,29,30,0,0,4,10,0,6
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,DHULIAN WALA PC,NO,GAJRAN WALA,0000033,7,0,0,7,7,0,0,7,4,0,6.71
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,KACHA ATTOCK PANIYALA PC,YES,KACHA ATTOCK PANIYALA PC,NA,60,4,9,47,58,0,0,5,11,22,9.68
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,KACHA ATTOCK PANIYALA PC,NO,KACHA ATTOCK PANIYALA,0000032,60,4,9,47,58,0,0,5,11,22,9.68
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,KACHA KUNDAL PC,YES,KACHA KUNDAL PC,NA,47,3,4,40,41,0,0,3,7,8,7.62
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,KACHA KUNDAL PC,NO,KACHA AHIRAN,0000029,6,0,1,5,6,0,0,0,0,0,10.17
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,KACHA KUNDAL PC,NO,KACHA KUNDAL,0000030,41,3,3,35,35,0,0,3,7,8,7.24
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,KHAGLANWALA PC,YES,KHAGLANWALA PC,NA,142,120,12,10,95,142,0,135,139,141,6.51
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,KHAGLANWALA PC,NO,KHAGLANWALA,0000065,142,120,12,10,95,142,0,135,139,141,6.51
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,MASIT PC,YES,MASIT PC,NA,648,452,121,75,623,565,0,401,617,513,8
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,MASIT PC,NO,MASIT,0000060,648,452,121,75,623,565,0,401,617,513,8
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,PACCA ATTOCK PANIYALA PC,YES,PACCA ATTOCK PANIYALA PC,NA,147,20,77,50,145,131,0,19,9,8,10.13
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,PACCA ATTOCK PANIYALA PC,NO,PACCA ATTOCK PANIYALA,0000027,147,20,77,50,145,131,0,19,9,8,10.13
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,PACCA KUNDAL PC,YES,PACCA KUNDAL PC,NA,694,267,231,196,555,522,3,150,335,459,8.09
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,PACCA KUNDAL PC,NO,PACCA KUNDAL,0000028,694,267,231,196,555,522,3,150,335,459,8.09
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,QAZI WALA PC,YES,QAZI WALA PC,NA,57,16,4,37,53,3,0,42,44,21,7.58
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,QAZI WALA PC,NO,QAZI WALA,0000037,57,16,4,37,53,3,0,42,44,21,7.58
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,SARKIYA PC,YES,SARKIYA PC,NA,207,38,164,5,190,190,0,166,188,145,9.3
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,SARKIYA PC,NO,SARKIYA,0000058,207,38,164,5,190,190,0,166,188,145,9.3
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,SARWAR KHEL PC,YES,SARWAR KHEL PC,NA,337,288,26,23,335,320,7,334,334,336,5.83
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,SARWAR KHEL PC,NO,SARWAR KHEL,0000064,337,288,26,23,335,320,7,334,334,336,5.83
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,SHARIF ABAD PC,YES,SHARIF ABAD PC,NA,384,162,108,114,354,372,2,353,350,340,6.8
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,SHARIF ABAD PC,NO,CHORANWALA (SHARIF ABAD),0000061,384,162,108,114,354,372,2,353,350,340,6.8
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,SHEIKH MAHMOOD PC,YES,SHEIKH MAHMOOD PC,NA,567,382,66,119,561,564,0,535,538,560,6.41
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,SHEIKH MAHMOOD PC,NO,GIDRANWALA,0000063,78,4,19,55,72,76,0,50,50,73,6.63
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,SHEIKH MAHMOOD PC,NO,SHEIKH MAHMOOD,0000057,478,373,45,60,478,477,0,477,478,477,6.38
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,ISA KHEL QH,SHEIKH MAHMOOD PC,NO,WIAL SHEIKH BAHADER,0000062,11,5,2,4,11,11,0,8,10,10,6
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,KALA BAGH QH,NA,YES,KALA BAGH QH,NA,15189,10582,2906,1701,5192,10868,44,12611,13160,11116,6.18
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,KALA BAGH QH,GANDA PC,YES,GANDA PC,NA,671,639,4,28,661,584,0,666,655,639,6.18
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,KALA BAGH QH,GANDA PC,NO,GANDA,0000044,671,639,4,28,661,584,0,666,655,639,6.18
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,KALA BAGH QH,JALAL PUR PC,YES,JALAL PUR PC,NA,1073,881,137,55,676,1007,8,766,891,879,6.85
PUNJAB,046,MIANWALI DISTRICT,ISAKHEL TEHSIL,KALA BAGH QH,JALAL PUR PC,NO,JALAL PUR,0000045,1073,881,137,55,676,1007,8,766,891,879,6.85
