province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,1 PERSON,1,4628,1.94,1.97,44474,18.69,4.63,2194
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,2 PERSONS,1,16130,6.78,2,44474,18.69,4.63,6470
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,3 PERSONS,1,20622,8.67,2.14,44474,18.69,4.63,6942
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,4 PERSONS,1,28959,12.17,2.32,44474,18.69,4.63,7650
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,5 PERSONS,1,35204,14.79,2.52,44474,18.69,4.63,7299
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,6 PERSONS,1,34691,14.58,2.69,44474,18.69,4.63,5555
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,7 PERSONS,1,28298,11.89,2.88,44474,18.69,4.63,3621
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,8 PERSONS,1,20953,8.81,3.08,44474,18.69,4.63,2057
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,9 PERSONS,1,14581,6.13,3.3,44474,18.69,4.63,1204
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,33886,14.24,4.15,44474,18.69,4.63,1482
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,1 PERSON,2,4628,1.94,1.97,79929,33.59,5.67,1383
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,2 PERSONS,2,16130,6.78,2,79929,33.59,5.67,5984
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,3 PERSONS,2,20622,8.67,2.14,79929,33.59,5.67,7974
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,4 PERSONS,2,28959,12.17,2.32,79929,33.59,5.67,11593
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,5 PERSONS,2,35204,14.79,2.52,79929,33.59,5.67,13591
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,6 PERSONS,2,34691,14.58,2.69,79929,33.59,5.67,13136
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,7 PERSONS,2,28298,11.89,2.88,79929,33.59,5.67,9996
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,8 PERSONS,2,20953,8.81,3.08,79929,33.59,5.67,6713
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,9 PERSONS,2,14581,6.13,3.3,79929,33.59,5.67,3979
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,10 PERSONS AND ABOVE,2,33886,14.24,4.15,79929,33.59,5.67,5580
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,1 PERSON,3,4628,1.94,1.97,52819,22.2,6.64,555
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,2 PERSONS,3,16130,6.78,2,52819,22.2,6.64,2160
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,3 PERSONS,3,20622,8.67,2.14,52819,22.2,6.64,3372
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,4 PERSONS,3,28959,12.17,2.32,52819,22.2,6.64,5582
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,5 PERSONS,3,35204,14.79,2.52,52819,22.2,6.64,7967
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,6 PERSONS,3,34691,14.58,2.69,52819,22.2,6.64,8602
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,7 PERSONS,3,28298,11.89,2.88,52819,22.2,6.64,7267
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,8 PERSONS,3,20953,8.81,3.08,52819,22.2,6.64,5731
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,9 PERSONS,3,14581,6.13,3.3,52819,22.2,6.64,3989
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,10 PERSONS AND ABOVE,3,33886,14.24,4.15,52819,22.2,6.64,7594
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,1 PERSON,4,4628,1.94,1.97,30305,12.74,7.63,267
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,2 PERSONS,4,16130,6.78,2,30305,12.74,7.63,873
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,3 PERSONS,4,20622,8.67,2.14,30305,12.74,7.63,1379
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,4 PERSONS,4,28959,12.17,2.32,30305,12.74,7.63,2420
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,5 PERSONS,4,35204,14.79,2.52,30305,12.74,7.63,3677
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,6 PERSONS,4,34691,14.58,2.69,30305,12.74,7.63,4164
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,7 PERSONS,4,28298,11.89,2.88,30305,12.74,7.63,4081
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,8 PERSONS,4,20953,8.81,3.08,30305,12.74,7.63,3369
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,9 PERSONS,4,14581,6.13,3.3,30305,12.74,7.63,2744
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,10 PERSONS AND ABOVE,4,33886,14.24,4.15,30305,12.74,7.63,7331
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,1 PERSON,5,4628,1.94,1.97,13967,5.87,8.44,103
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,2 PERSONS,5,16130,6.78,2,13967,5.87,8.44,309
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,3 PERSONS,5,20622,8.67,2.14,13967,5.87,8.44,501
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,4 PERSONS,5,28959,12.17,2.32,13967,5.87,8.44,915
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,5 PERSONS,5,35204,14.79,2.52,13967,5.87,8.44,1416
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,6 PERSONS,5,34691,14.58,2.69,13967,5.87,8.44,1739
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,7 PERSONS,5,28298,11.89,2.88,13967,5.87,8.44,1722
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,8 PERSONS,5,20953,8.81,3.08,13967,5.87,8.44,1510
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,9 PERSONS,5,14581,6.13,3.3,13967,5.87,8.44,1260
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,10 PERSONS AND ABOVE,5,33886,14.24,4.15,13967,5.87,8.44,4492
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,1 PERSON,6,4628,1.94,1.97,7730,3.25,9.38,42
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,2 PERSONS,6,16130,6.78,2,7730,3.25,9.38,155
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,3 PERSONS,6,20622,8.67,2.14,7730,3.25,9.38,213
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,4 PERSONS,6,28959,12.17,2.32,7730,3.25,9.38,401
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,5 PERSONS,6,35204,14.79,2.52,7730,3.25,9.38,643
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,6 PERSONS,6,34691,14.58,2.69,7730,3.25,9.38,812
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,7 PERSONS,6,28298,11.89,2.88,7730,3.25,9.38,835
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,8 PERSONS,6,20953,8.81,3.08,7730,3.25,9.38,820
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,9 PERSONS,6,14581,6.13,3.3,7730,3.25,9.38,720
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,10 PERSONS AND ABOVE,6,33886,14.24,4.15,7730,3.25,9.38,3089
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,1 PERSON,7,4628,1.94,1.97,3662,1.54,9.49,42
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,2 PERSONS,7,16130,6.78,2,3662,1.54,9.49,87
