province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,utility,source,total_by_source,percent_by_source,count
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,INSIDE WATER,TAP,63194,29.47,1901
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,INSIDE WATER,ELECTRIC/HAND PUMP,114410,53.36,1284
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,INSIDE WATER,PROTECTED WELL,897,0.42,14
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,INSIDE WATER,UN-PROTECTED WELL,1416,0.66,22
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,INSIDE WATER,OTHERS,13088,6.1,182
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,OUTSIDE WATER,TAP,2856,1.33,48
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,OUTSIDE WATER,ELECTRIC/HAND PUMP,5080,2.37,41
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,OUTSIDE WATER,PROTECTED WELL,901,0.42,6
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,OUTSIDE WATER,UN-PROTECTED WELL,2137,1,22
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,OUTSIDE WATER,SPRING,898,0.42,4
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,OUTSIDE WATER,CANAL/RIVER/POND,937,0.44,8
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,OUTSIDE WATER,OTHERS,8586,4,156
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,COOKING FUEL,WOOD,191792,89.46,3367
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,COOKING FUEL,GAS,19312,9.01,281
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,COOKING FUEL,KEROSENE OIL,80,0.04,2
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,COOKING FUEL,OTHERS,3216,1.5,38
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,LIGHTING SOURCE,ELECTRICITY,193550,90.28,3411
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,LIGHTING SOURCE,KEROSENE OIL,4803,2.24,85
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,LIGHTING SOURCE,GAS LAMP,178,0.08,2
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,UNDER CONSTRUCTION,3688,1.72,LIGHTING SOURCE,OTHERS,15869,7.4,190
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,INSIDE WATER,TAP,63194,29.47,5949
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,INSIDE WATER,ELECTRIC/HAND PUMP,114410,53.36,11837
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,INSIDE WATER,PROTECTED WELL,897,0.42,79
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,INSIDE WATER,UN-PROTECTED WELL,1416,0.66,101
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,INSIDE WATER,OTHERS,13088,6.1,1178
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,OUTSIDE WATER,TAP,2856,1.33,307
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,OUTSIDE WATER,ELECTRIC/HAND PUMP,5080,2.37,578
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,OUTSIDE WATER,PROTECTED WELL,901,0.42,82
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,OUTSIDE WATER,UN-PROTECTED WELL,2137,1,163
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,OUTSIDE WATER,SPRING,898,0.42,125
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,OUTSIDE WATER,CANAL/RIVER/POND,937,0.44,60
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,OUTSIDE WATER,OTHERS,8586,4,915
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,COOKING FUEL,WOOD,191792,89.46,19216
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,COOKING FUEL,GAS,19312,9.01,1755
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,COOKING FUEL,KEROSENE OIL,80,0.04,8
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,COOKING FUEL,OTHERS,3216,1.5,395
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,LIGHTING SOURCE,ELECTRICITY,193550,90.28,18014
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,LIGHTING SOURCE,KEROSENE OIL,4803,2.24,834
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,LIGHTING SOURCE,GAS LAMP,178,0.08,35
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,LESS THAN 5 YEARS,21374,9.97,LIGHTING SOURCE,OTHERS,15869,7.4,2491
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,5-10 YEARS,60639,28.28,INSIDE WATER,TAP,63194,29.47,17653
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,5-10 YEARS,60639,28.28,INSIDE WATER,ELECTRIC/HAND PUMP,114410,53.36,33789
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,5-10 YEARS,60639,28.28,INSIDE WATER,PROTECTED WELL,897,0.42,189
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,5-10 YEARS,60639,28.28,INSIDE WATER,UN-PROTECTED WELL,1416,0.66,225
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,TOTAL,5-10 YEARS,60639,28.28,INSIDE WATER,OTHERS,13088,6.1,3120
