province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up
PUNJAB,047,GUJRANWALA DISTRICT,NA,NA,NA,YES,GUJRANWALA DISTRICT,2949118,1496966,1451742,410,78.29,79.64,76.92,52.2,445290,378965,109,276395,285923,54,67950,92906,22,2856972,92146,2225322,1698692,164843,711585,1384074
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,NA,NA,YES,GUJRANWALA CITY TEHSIL,185874,93470,92388,16,71.48,73.05,69.92,18.75,28358,24695,1,12897,14233,0,2653,3992,0,181270,4604,137156,102899,10139,42961,82373
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,EMINABAD TC,NA,YES,EMINABAD TC,27363,13833,13524,6,73.29,76.17,70.4,50,3859,3350,1,2306,2271,0,491,683,0,27094,269,20383,15426,1570,4274,12033
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,EMINABAD TC,CHARGE NO 03,YES,CHARGE NO 03,27363,13833,13524,6,73.29,76.17,70.4,50,3859,3350,1,2306,2271,0,491,683,0,27094,269,20383,15426,1570,4274,12033
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,EMINABAD TC,CHARGE NO 03,NO,CIRCLE NO 01,14729,7413,7314,2,75.14,78.21,72.05,100,2186,1899,0,1212,1204,0,248,354,0,14478,251,10879,8227,842,3378,6470
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,EMINABAD TC,CHARGE NO 03,NO,CIRCLE NO 02,12634,6420,6210,4,71.17,73.84,68.52,25,1673,1451,1,1094,1067,0,243,329,0,12616,18,9504,7199,728,896,5563
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,LUDHEWALA WARAICH MC,NA,YES,LUDHEWALA WARAICH MC,92020,46858,45157,5,63.95,65.01,62.86,0,13708,11846,0,4592,5262,0,652,953,0,89799,2221,66699,49658,4551,22361,39199
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,LUDHEWALA WARAICH MC,CHARGE NO 04,YES,CHARGE NO 04,92020,46858,45157,5,63.95,65.01,62.86,0,13708,11846,0,4592,5262,0,652,953,0,89799,2221,66699,49658,4551,22361,39199
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,LUDHEWALA WARAICH MC,CHARGE NO 04,NO,CIRCLE NO 01,10946,5581,5365,0,54.73,55.17,54.28,0,1423,1235,0,432,522,0,62,80,0,10088,858,7955,5974,570,3102,4592
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,LUDHEWALA WARAICH MC,CHARGE NO 04,NO,CIRCLE NO 02,17162,8796,8364,2,62.47,62.64,62.31,0,2418,2196,0,795,911,0,134,175,0,16492,670,12284,9105,735,4295,7342
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,LUDHEWALA WARAICH MC,CHARGE NO 04,NO,CIRCLE NO 03,13063,6730,6333,0,72.76,74.57,70.84,0,2427,2082,0,627,675,0,66,94,0,13053,10,9380,7007,629,3634,5453
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,LUDHEWALA WARAICH MC,CHARGE NO 04,NO,CIRCLE NO 04,20885,10643,10239,3,61.91,63.84,59.92,0,2891,2340,0,968,1166,0,117,182,0,20803,82,15097,11211,922,4348,9083
